Affy ID	Accession	Gene Symbol	Description	BC mean	BC SD	SD/mean BC	TC+KC mean	TC+KC SD	SD/mean TC+KC	BC/(TC+KC)	direction	P-value
237239_at	AW183655		Transcribed sequences	0.84	0.32	0.39	1.15	0.43	0.38	0.73	down	0.00754
242113_at	AW468298		Transcribed sequence with moderate similarity to protein ref:NP_055301.1 (H.sapiens)  neuronal thread protein [Homo sapiens]	0.89	0.17	0.19	1.07	0.18	0.17	0.83	down	0.00166
234156_at	AK026905		flavoprotein oxidoreductase MICAL2	0.79	0.24	0.3	1.21	0.33	0.27	0.65	down	0.000587
239679_at	AI871160		Transcribed sequences	0.96	0.31	0.32	1.13	0.2	0.18	0.85	down	0.0381
202251_at	NM_004698	HPRP3P	PRP3 pre-mRNA processing factor 3 homolog (yeast) /// PRP3 pre-mRNA processing factor 3 homolog (yeast)	0.91	0.16	0.18	1.33	0.33	0.24	0.68	down	0.002
212400_at	AL043266		hypothetical protein MGC50853	0.84	0.18	0.21	1.2	0.21	0.18	0.7	down	0.0211
1561973_at	AL833124	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	0.98	0.16	0.16	1.14	0.33	0.29	0.86	down	0.0211
203288_at	NM_014686	FLJ21369	KIAA0355	0.86	0.16	0.19	1.08	0.19	0.18	0.79	down	0.002
242644_at	BE676000	EVER2	epidermodysplasia verruciformis 2	0.88	0.22	0.25	1.18	0.22	0.18	0.74	down	0.000528
221865_at	BF969986	DKFZp547P234	chromosome 9 open reading frame 91	0.85	0.22	0.26	1.15	0.3	0.26	0.74	down	0.0107
1569527_at	BC017275	C22orf1; 239AB; FAM1A	---	0.93	0.19	0.2	1.17	0.35	0.3	0.8	down	0.000343
242539_at	AW665509		Transcribed sequence with weak  similarity to protein ref:NP_110386.1 (H.sapiens)  nuclear receptor binding factor-2 [Homo sapiens]	0.95	0.48	0.5	1.36	0.42	0.31	0.7	down	0.00696
229111_at	AA033699	MASP2	mannan-binding lectin serine protease 2	0.92	0.17	0.18	1.18	0.19	0.16	0.78	down	0.0115
239808_at	AI084489		Transcribed sequences	0.87	0.26	0.3	1.18	0.16	0.13	0.74	down	0.000705
201875_s_at	NM_024569	MPZL1	myelin protein zero-like 1	0.91	0.31	0.34	1.36	0.52	0.38	0.67	down	0.015
202116_at	NM_006268	REQ	D4, zinc and double PHD fingers family 2 /// D4, zinc and double PHD fingers family 2	0.91	0.19	0.21	1.21	0.29	0.24	0.75	down	0.015
227208_at	BF446390	na	similar to DLNB14	0.91	0.2	0.22	1.16	0.24	0.21	0.79	down	0.0115
1557799_at	AF085883	SELH	selenoprotein H	0.86	0.22	0.25	1.11	0.23	0.21	0.78	down	0.00874
226959_at	AL137430	na	MRNA; cDNA DKFZp761D1624 (from clone DKFZp761D1624)	0.87	0.27	0.31	1.45	0.69	0.47	0.6	down	0.00938
214351_x_at	AA789278		ribosomal protein L13	0.87	0.21	0.24	1.04	0.15	0.14	0.84	down	0.027
224610_at	AL530869		RNA, U22 small nucleolar	0.87	0.21	0.24	1.11	0.28	0.26	0.79	down	0.00333
212901_s_at	BF732638	CSTF2T	cleavage stimulation factor, 3 pre-RNA, subunit 2, 64kDa, tau variant	0.91	0.19	0.21	1.1	0.26	0.23	0.83	down	0.0381
232436_at	AI057616	ZNF274	zinc finger protein 274	0.87	0.16	0.19	1.2	0.24	0.2	0.72	down	2.81E-05
221601_s_at	AI084226	TOSO	regulator of Fas-induced apoptosis	0.87	0.37	0.43	1.27	0.41	0.32	0.68	down	0.00938
241751_at	AW292752	OFD1	oral-facial-digital syndrome 1	0.94	0.31	0.33	1.08	0.21	0.19	0.87	down	0.0107
213340_s_at	AI073551	KIAA0495	KIAA0495	0.89	0.13	0.15	1.15	0.22	0.19	0.78	down	0.000856
201027_s_at	NM_015904	IF2	eukaryotic translation initiation factor 5B	0.88	0.24	0.27	1.25	0.31	0.24	0.7	down	0.00128
227603_at	N95430	HKR1	CDNA FLJ41385 fis, clone BRCAN2022191	0.9	0.18	0.2	1.21	0.26	0.22	0.75	down	0.036
238656_at	AA877043	RAD50	RAD50 homolog (S. cerevisiae)	0.92	0.26	0.28	1.08	0.25	0.24	0.85	down	0.0304
202217_at	NM_004649	C21orf33	chromosome 21 open reading frame 33 /// chromosome 21 open reading frame 33	0.84	0.23	0.27	1.19	0.22	0.18	0.71	down	0.0036
230913_at	BE674309		Full length insert cDNA clone ZE12B03	0.9	0.25	0.27	1.09	0.24	0.22	0.83	down	0.0254
225187_at	AK022661	DBC-1	p30 DBC protein	0.82	0.19	0.23	1.16	0.16	0.14	0.71	down	0.0287
227981_at	AI741458	FLJ39035	cytochrome b-561 domain containing 1	0.94	0.1	0.11	1.19	0.16	0.14	0.79	down	0.0101
214298_x_at	AL568374	6-Sep	septin 6	0.95	0.37	0.39	1.35	0.4	0.3	0.71	down	0.0254
