Print Order	Name	ID	Name
374	13CDNA73	H09111	putative gene product
6433	AA885783	AA885783	AA885783
8288	AARS	AA156571	alanyl-tRNA synthetase
803	AFP	T59043	alpha-fetoprotein
10013	AI356415	MIRP2	POTASSIUM CHANNEL, VOLTAGE-GATED, ISK-RELATED SUBFAMILY, MEMBER 3; KCNE3
7484	ARHGEF6	AA236957	Rac/Cdc42 guanine exchange factor (GEF) 6
1163	BIRC5	AA460685	baculoviral IAP repeat-containing 5 (survivin)
9892	BRCA2	H48122	breast cancer 2, early onset
10232	BTD	R17765	biotinidase
8149	BTG2	H69583	BTG family, member 2
9298	C20ORF140	R10903	C20ORF140
3100	C4A	AA664406	complement component 4A
440	CALU	R78586 | R78585	calumenin
1978	CD24	H59916	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
467	CD3D	AA055946	CD3D antigen, delta polypeptide (TiT3 complex)
8594	CDH1	H97778	cadherin 1, type 1, E-cadherin (epithelial)
10345	CDH15	AI571806	cadherin 15, M-cadherin (myotubule)
97	CDH3	AA425217	cadherin 3, type 1, P-cadherin (placental)
3506	CKTSF1B1	AI041650	cysteine knot superfamily 1, BMP antagonist 1
2796	clone RP11-287A8 on chromosome 9	RP11-287A8	clone RP11-287A8 on chromosome 9
5407	COL4A5	AA029997	collagen, type IV, alpha 5 (Alport syndrome)
955	COL4A6	AI680557	collagen, type IV, alpha 6
2302	CSE1L	N69204	chromosome segregation 1 (yeast homolog)-like
1481	CYP4B1	AA291484	cytochrome P450, subfamily IVB, polypeptide 1
7177	DAZ	AA129397 | AI732428	deleted in azoospermia
274	DHRS4	DHRS4	dehydrogenase/reductase (SDR family) member 4
2384	DHRS4	DHRS4	dehydrogenase/reductase (SDR family) member 4
8433	DHRS4	DHRS4	dehydrogenase/reductase (SDR family) member 4
2060	DKFZp434D08018	N95578	Homo sapiens mRNA; cDNA DKFZp434D0818 (from clone DKFZp434D0818)
5152	DKFZP564O0463	AI371514	DKFZP564O0463 protein
4918	DO	N70349	Dombrock blood group (ART4, DOK1)
8110	E2-EPF	AA464729	ubiquitin carrier protein
6540	EPS15	AA490223	epidermal growth factor receptor pathway substrate 15
499	ERBA	ERBA	thyroid hormone receptor, alpha (avian erythroblastic leukemia viral (v-erb-a) oncogene homolog)
3739	ERBB2	AA443351	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)
6341	ESR1	AA291749	estrogen receptor 1
8922	ESR1	AA291749	estrogen receptor 1
7090	FACL3	AI206454	fatty-acid-Coenzyme A ligase, long-chain 3
6896	FADD	AA433944	Fas (TNFRSF6)-associated via death domain
2220	FLJ20580	AI369287	hypothetical protein FLJ20580
9011	GALK1	AI015566	galactokinase 1
10102	GLDC	N58494	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)
4149	GLUL	AI000103	glutamate-ammonia ligase (glutamine synthase)
8159	GMFB	H22653	glia maturation factor, beta
4919	GNAL	H49592	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type
1794	GNAS1	AA112660	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
2609	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
2639	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
2909	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
4229	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
4259	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
6281	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
6652	GNAS1	AA035620	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
8675	GNAS1	AA496877	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
9156	GNAS1	AA112660	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
6440	GSTM1	R84981	glutathione S-transferase M1
2326	GYPA	N70285	glycophorin A (includes MN blood group)
3972	H1F0	H57830	H1 histone family, member 0
6786	H2AFZ	AI668800	H2A histone family, member Z
8789	H58945	H58945	H58945
5969	H60298	H60298	ESTs, Weakly similar to 2115357A TYKi protein [M.musculus]
5111	HLF	T65872	hepatic leukemia factor
1820	HNRPAB	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B
