Category	Affymetrix ID	GeneBank	Gene name	Gene description	Fold differences^a C(+) vs C(-)	Fold differences^a C(-) vs NM	Fold differences^a C(+) vs NM	Expression
 Metabolism	1371_s_at	M29874	CYP2B6	Cytochrome P450-IIB	6.1	-3.7		GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	41706_at	AJ130733	AMACR	A-methylacyl-CoA racemase	4.7			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	32972_at	Z83819	NOX1	Nicotinamide adenine dinucleotide phosphate oxidase 1	4.6			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	37978_at	D78177	QPRT	Quinolinate phosphoribosyltransferase	4.3			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	35345_at	X83618	HMGCS2	Coenzyme A synthase	3.8			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	35831_at	AB014511	ATP9A	Adenosine triphosphatase class II type 9A	3.4			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	36779_at	X90908	FABP6	Fatty acid binding protein 6	2.9			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	41352_at	X62822	SIAT1	Sialyltransferase 1	2.8			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	40376_at	X83573	ARSE	Arylsulfatase E	2.8			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	35966_at	X71125	QPCT	Glutamine cyclotransferase	2.6			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	37263_at	U55206	GGH	--glutamyl hydrolase	2.6		2.3	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	33936_at	D86181	GALC	Galactosylceramidase	2.5			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	35194_at	X53463	GPX2	Glutathione peroxidase 2	2.5		2.2	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Metabolism	34719_at	AB020645	GLS	Glutaminase	2.2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	38582_at	AI961220	SPINK1	Serine protease inhibitor	4.6			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	39666_at	U31382	GNG4	Guanine nucleotide binding protein	4			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	32649_at	X59871	TCF7/TCF1	Transcription factor 7	3.5		4.2	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	36618_g_at	X77956	ID1	Inhibitor of DNA binding 1	3.6	-4.2		GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
