Function	Symbol	Gene name	GenBank no.
Angiogenesis	ANGPT1	Angiopoietin 1	NM_001146
Angiogenesis	ANGPT2	Angiopoietin 2	NM_001147
Angiogenesis	VEGF	Vascular endothelial growth factor	M27281
Oncogene	FES	Feline sarcoma oncogene	NM_002005
Oncogene	JUN	v-jun sarcoma virus 17 oncogene homologue (avian)	BC002646
Oncogene	MERTK	c-mer proto-oncogene tyrosine kinase	NM_006343
Oncogene	NRAS	Neuroblastoma RAS viral (v-ras) oncogene homologue	NM_002524
Oncogene	RRAS2	Related RAS viral (r-ras) oncogene homologue 2	AI431643
Oncogene	SRC	v-Src sarcoma viral oncogene homologue (avian)	AK024281
Growth factor	EGFR	Epidermal growth factor receptor	NM_005228
Growth factor	FGF1	Fibroblast growth factor 1 (acidic)	NM_033136
Growth factor	FGFR1	Fibroblast growth factor receptor 1	M63889
Cell cycle	CDC25C	Cell division cycle 25C	NM_001790
Cell cycle	CDC27	Cell division cycle 27	NM_001256
Cell cycle	CDCA4	Cell division cycle associated 4	NM_017955
Cell cycle	GADD45A	Growth arrest and DNA damage–inducible, a	NM_001924
Stem cell	MSI2	Musashi homologue 2 (Drosophila)	BC001526
Stem cell	WNT3	Wingless-type MMTVintegration site family, member 3	AA463626
Apoptosis	BCL10	B cell CLL/lymphoma 10	AF082283
Apoptosis	BCL2L1	BCL2-like 1	NM_001191
Apoptosis	BIRC4	Baculoviral IAP repeat-containing 4	N30645
Apoptosis	FAIM	Fas apoptotic inhibitory molecule	NM_018147
Notch signaling	HDAC3	Histone deacetylase 3	AF059650
Notch signaling	JAG2	Jagged 2	AF029778
Notch signaling	NUMB	Numb homologue (Drosophila)	NM_003744
Notch signaling	APH1B	Anterior pharynx defective 1 homologue B (C. elegans)	NM_031301
Notch signaling	HES4	Hairy and enhancer of split 4 (Drosophila)	NM_021170
Notch signaling	PSEN1	Presenilin 1 (Alzheimer disease 3)	NM_007318
miRNA	EIF2C2	Eukaryotic translation initiation factor 2C, 2	BF223464
miRNA	MIRN21	MicroRNA 21	BF674052
