Symbol	UGCluster	Cytoband	log2D	p-value	q-value
DUFD1	Hs.121536	6q23.2	0.5664916	0.00002	0.054349581
ASPM	Hs.121028	1q31	0.7039963	0.00004	0.054349581
SPAG5	Hs.514033	17q11.2	0.9497336	0.00004	0.054349581
FADD	Hs.86131	11q13.3	0.4676901	0.00005	0.054349581
BAALC	Hs.533446	8q22.3	0.4827148	0.00015	0.085068909
C10orf3	Hs.14559	10q23.33	0.5350704	0.00016	0.085068909
FLJ20641	Hs.330663	12q23.3	0.4788983	0.00018	0.085068909
BM039	Hs.283532	16q23.2	0.6283158	0.00022	0.085068909
MGC34923	Hs.61232	3q22.3	0.7696826	0.00024	0.085068909
KIAA0703	Hs.6168	16q24.1	0.5502916	0.00025	0.085068909
PSMD14	Hs.369125	2q24.2	0.4682127	0.00026	0.085068909
OMD	Hs.94070	9q22.31	-1.1427312	0.00027	0.085068909
A_23_P30055			0.3858851	0.00028	0.085068909
EBP	Hs.522636	Xp11.23-p11.22	0.3711366	0.00028	0.085068909
DCN	Hs.156316	12q13.2	-0.9372222	0.00032	0.085068909
EXO1	Hs.498248	1q42-q43	0.6752885	0.00036	0.085068909
SHMT2	Hs.75069	12q12-q14	0.436758	0.00038	0.085068909
MELK	Hs.184339	9p13.2	0.8717443	0.00038	0.085068909
FLJ14627	Hs.437195	12q24.22	0.5851056	0.00038	0.085068909
THC1964466			-0.3874957	0.00038	0.085068909
SHOX2	Hs.55967	3q25-q26.1	-0.7074424	0.00043	0.085068909
SMOC2	Hs.487200	6q27	-1.072436	0.00043	0.085068909
HSPC171	Hs.433203	16q22.1	0.4471607	0.00045	0.085068909
CDCA8	Hs.524571	1p34.3	0.3421881	0.00062	0.106283625
TIMELESS	Hs.118631	12q12-q13	0.4428381	0.00062	0.106283625
CDCA5	Hs.434886	11q12.1	0.7027102	0.00065	0.106283625
TNNC2	Hs.182421	20q12-q13.11	0.636255	0.00066	0.106283625
C1S	Hs.458355	12p13	-0.8490114	0.00071	0.108699162
KIAA0182	Hs.461647	16q24.1	0.6120885	0.00073	0.108699162
SPARCL1	Hs.62886	4q22.1	-0.830692	0.00075	0.108699162
CTPS	Hs.473087	1p34.1	0.4368531	0.00079	0.11067551
KIF20A	Hs.73625	5q31	0.3548744	0.00083	0.11067551
KNTC2	Hs.414407	18p11.32	0.563086	0.00084	0.11067551
XM_372508	Hs.533972	14q11.2	0.355356	0.00088	0.111804852
FA2H	Hs.461329	16q23	0.6577151	0.0009	0.111804852
CLDN1	Hs.439060	3q28-q29	-0.7942961	0.00098	0.118361309
UHRF1	Hs.108106	19p13.3	0.6011548	0.00111	0.129294792
SMARCA4	Hs.327527	19p13.2	0.3827563	0.00113	0.129294792
PTTG1	Hs.350966	5q35.1	0.4150151	0.00118	0.129902208
PSMD2	Hs.518464	3q27.1	0.3625362	0.00121	0.129902208
RASIP1	Hs.233955	19q13.33	0.4613044	0.00121	0.129902208
POLD1	Hs.279413	19q13.3	0.6289263	0.0013	0.132461304
NANOG	Hs.329296	12p13.31	-0.2914865	0.00131	0.132461304
TIF1	Hs.490287	7q32-q34	0.5007168	0.00139	0.137356213
FBLN1	Hs.24601	22q13.31	-0.7560912	0.00146	0.138000675
CART	Hs.1707	5q13.2	0.3133684	0.00146	0.138000675
CSAG2	Hs.522810	Xq28	0.9872916	0.00146	0.138000675
AQP5	Hs.298023	12q13	0.596025	0.00163	0.147649695
IPF1	Hs.32938	13q12.1	0.4333804	0.00171	0.150202478
RACGAP1	Hs.505469	12q13.12	0.3777977	0.00171	0.150202478
PRAME	Hs.30743	22q11.22	1.2843035	0.00199	0.169655946
MLLT1	Hs.234774	19p13.3	0.4946588	0.00217	0.173918659
AMH	Hs.112432	19p13.3	0.5421296	0.00222	0.173918659
THC1981357			0.6472113	0.00231	0.173918659
MYBL2	Hs.179718	20q13.1	0.485801	0.00234	0.173918659
CDV1	Hs.528382	12q24.13	-0.5370133	0.00235	0.173918659
DKFZP566E144	Hs.7527	11q23.1-q23.2	-0.4965	0.00235	0.173918659
MCEE	Hs.94949	2p13.3	-0.3454625	0.00238	0.173918659
TGFBR3	Hs.482390	1p33-p32	-0.8151322	0.00238	0.173918659
SEMA4C	Hs.516220	2q11.2	0.4634555	0.0024	0.173918659
A_23_P32583			0.2742704	0.00248	0.176769784
DCC1	Hs.315167	8q24.12	0.3150549	0.00254	0.178126368
HSPA14	Hs.534169	10p13	0.4057292	0.00281	0.193933107
BUB1	Hs.469649	2q14	0.606219	0.00286	0.194299751
CEBPD	Hs.440829	8p11.2-p11.1	-0.5429021	0.00299	0.197751956
ANXA5	Hs.480653	4q26-q28	-0.5528632	0.00304	0.197751956
SSR2	Hs.74564	1q21-q23	-0.3045576	0.00307	0.197751956
SOX11	Hs.432638	2p25	0.8467414	0.00307	0.197751956
HSPC150	Hs.5199	1q32.1	0.4038687	0.0032	0.201644822
TXNIP	Hs.533977	1q21.1	-0.5697469	0.00338	0.209944666
HS6ST2	Hs.385956	Xq26.2	0.3226332	0.00355	0.215611488
A_23_P9552	Hs.506415	12q23.1	0.463168	0.0036	0.215611488
FLJ22671	Hs.193745	2q37.3	0.8525734	0.00362	0.215611488
CILP	Hs.442180	15q22	-0.6488926	0.00384	0.221202794
OR5M3	Hs.553631	11q11	-0.3876548	0.00384	0.221202794
STX6	Hs.518417	1q25.3	0.3512505	0.00384	0.221202794
BTF3	Hs.529798	5q13.2	-0.4066076	0.00397	0.221202794
DNMT3B	Hs.251673	20q11.2	0.4092085	0.004	0.221202794
LNPEP	Hs.527199	5q15	0.3558661	0.004	0.221202794
PDGFC	Hs.148162	4q32	-0.4994651	0.00407	0.221202794
