Spot	GB Acc	Symbol	Gene/protein identity	Fold ch	Chrom loc	Cor	P-value
C_E09m	D78345	IGHG3	Membrane-bound and secreted immunoglobulin gamma heavy chain	100	14q32.33	ND	ND
C_E08k	U78095	SPINT2	Kunitz-type serine protease inhibitor 2	50	19q13.1	83.5	3.80E-04
C_D02h	U96136	CTNND2	Delta catenin	38.46	5p15.2	ND	ND
H_D01d	X53179	CHRNB2	Cholinergic receptor nicotinic beta polipeptide 2	25	1q21.3	ND	ND
H_D08e	J05252	PCSK2	Neuroendocrine convertase 2	20	20p11.2	ND	ND
H_D07h	L19761	SNAP25	25-kDa synaptosomal-associated protein	20	20p12–11.2	ND	ND
H_F06k	X51405	CPE	Carboxypeptidase H	11.11	4q32.3	ND	ND
H_B13d	D10924	CXCR4	CXC chemokine receptor type 4	11.11	2q21	ND	ND
C_E09h	AF003521	JAG2	Jagged homolog 2	11.11	14q32	ND	ND
C_A10n	U72649	BTG2	NGF-inducible anti-proliferative protein PC3	10	1q32	93.4	1.03E-06
H_A13n	U07139	CACNB3	Dihydropyridine-sensitive L-type calcium channel beta-3 subunit	9.09	12q13	ND	ND
H_B05f	X74979	DDR1	Epithelial discoidin domain receptor 1	8.33	6p21.3	ND	ND
C_F09a	U86759	NTN2L	Netrin-2	8.33	16p13.3	ND	ND
H_D01g	Y00757	SGNE1	Secretory granule endocrine protein I	8.33	15q13–14	ND	ND
C_B10h	L42374	PPP2R5B	Protein phosphatase 2A B56-beta	8.33	11q12	ND	ND
C_A04m	X80343	CDK5R1	Cyclin-dependent kinase 5 activator	7.69	17q11.2	ND	ND
C_D09j	AF011466	EDG4	G protein-coupled receptor EDG4	7.69	19p12	ND	ND
C_B13d	L07597	RPS6KA1	Ribosomal protein S6 kinase II alpha 1	7.69	3	ND	ND
C_C12k	U66197	FGF12	FHF-1	7.14	3q28	ND	ND
H_C05b	L05500	ADCY1	Adenylate cyclase type I	7.14	7p13–12	ND	ND
H_B14a	L14595	SLC1A4	Neutral amino-acid transporter A	6.67	2p15–13	ND	ND
H_C14e	M23410	JUP	Junction plakoglobin	6.67	17q21	94.5	1.12E-06
C_B02f	D50925	PASK	KIAA0135	6.67	2q37.3	ND	ND
C_C02l	Y11416	TP73	p73	6.67	1p36.33	ND	ND
C_F13b	L11931	SHMT1	Cytosolic serine hydroxylmethyltransferase	6.67	17p11.2	ND	ND
C_B08i	U27193	DUSP8	Dual-specificity protein phosphatase 8	6.25	11p15.5	ND	ND
C_C02f	L07540	RFC5	Replication factor C 36-kDa subunit	6.25	12q24.2–24.3	ND	ND
H_C12k	L09561	POLE	DNA polymerase II subunit A	6.25	12q24.3	ND	ND
C_F13n	U96876	INSIG1	Insulin-induced protein 1	5.89	7q36	ND	ND
C_D04l	Y08110	LR11	Low-density lipoprotein receptor-related protein LR11	5.56	11q23.2–24.2	ND	ND
C_C03b	U77352	MADD	MAPkinase-activating death domain protein	5.27	11p11.2	ND	ND
H_D07g	AF040255	DCX	Doublecortin	5.26	Xq22.3–23	ND	ND
C_A11f	AF006484	CDK2AP1	Putative oral tumor-suppressor protein	4.76	12q24.31	ND	ND
C_B13l	D84064	HGS	HRS	4.55	17q25	ND	ND
H_B03m	X80907	PIK3R2	Phosphatidylinositol 3-kinase regulatory beta subunit	4.55	19q13.2–13.4	ND	ND
H_E12f	U04810	TROAP	Trophinin-associated protein	4.55	12p11.1	ND	ND
H_A05k	U40343	CDKN2D	Cyclin-dependent kinase 4 inhibitor 2D	4.35	19p13	ND	ND
C_C08e	U86529	GSTZ1	Glutathione transferase zeta 1	4	14q24.3	ND	ND
H_C13k	D38073	MCM3	MCM3 DNA replication licensing factor	4	6p12	ND	ND
H_C08g	M93426	PTPRZ1	Protein-tyrosine phosphatase zeta	4	7q31.3	ND	ND
C_D11e	U24497	PKD1	Autosomal dominant polycystic kidney disease protein 1	3.57	16p13.3	ND	ND
H_C05e	X70326	MLP	MARCKS-like protein	3.33	1p34.3	75.8	2.67E-03
C_E05h	X61157	ADRBK1	Beta-adrenergic receptor kinase 1	3.33	11q13	ND	ND
H_B01a	X91906	CLCN5	Chloride channel protein 5	2.86	Xp11.23–11.22	ND	ND
H_A07n	U69883	KCNN1	Calcium-activated potassium channel HSK1	2.7	19p13.1	ND	ND
H_A08i	X60188	MAPK3	Mitogen-activated protein kinase 3	2.38	16p12–11.2	ND	ND
