Agilent accession	Genbank accession	Average fold difference	P (n = 3)	Gene description and symbol
A_51_P123405	NM_009772	0.025215827	0.996	Mus musculus budding uninhibited by benzimidazoles 1 homologue (Saccharomyces cerevisiae; Bub1), mRNA [NM_009772]
A_52_P558401	NM_172301	0.029716673	0.999	Mus musculus cyclin B1 (Ccnb1), mRNA [NM_172301]
A_52_P25599	NM_009860	0.04001378	1	Mus musculus cell division cycle 25 homologue C (S. cerevisiae; Cdc25c), mRNA [NM_009860]
A_52_P415299	NM_011623	0.040513812	0.985	Mus musculus topoisomerase (DNA) II? (Top2a), mRNA [NM_011623]
A_51_P415059	NM_011496	0.041450744	0.996	Mus musculus aurora kinase B (Aurkb), mRNA [NM_011496]
A_51_P130015	NM_007900	0.042157208	0.999	Mus musculus ect2 oncogene (Ect2), mRNA [NM_007900]
A_52_P162099	NM_001004140	0.042787931	0.993	Mus musculus cytoskeleton associated protein 2 (Ckap2), mRNA [NM_001004140]
A_51_P185688	NM_032006	0.047530595	0.92	Mus musculus matrix metalloproteinase 1a (interstitial collagenase; Mmp1a), mRNA [NM_032006]
A_51_P253803	XM_133912	0.051843002	0.999	Mus musculus mRNA for Ki-67 [X82786]
A_51_P481398	NM_010615	0.058657388	0.996	Mus musculus kinesin family member 11 (Kif11), mRNA [NM_010615]
A_51_P230103	NM_009689	0.06272923	1	Mus musculus baculoviral IAP repeat-containing 5 (Birc5), transcript variant 1, mRNA [NM_009689]
A_52_P18267	NM_009764	0.065913226	0.99	Mus musculus breast cancer 1 (Brca1), mRNA [NM_009764]
A_51_P279575	NM_009860	0.077246343	1	Mus musculus cell division cycle 25 homologue C (S. cerevisiae; Cdc25c), mRNA [NM_009860]
A_51_P326499	NM_007691	0.088213698	0.982	Mus musculus checkpoint kinase 1 homologue (S. pombe; Chek1), mRNA [NM_007691]
A_52_P58558	NM_001037134	0.091717737	0.991	Mus musculus cyclin E2, mRNA (cDNA clone MGC:60620 IMAGE:30061057), complete cds. [BC053727]
A_52_P243388	NM_008017	0.092834945	0.993	Mus musculus SMC2 structural maintenance of chromosomes 2-like 1 (yeast; Smc2l1), mRNA [NM_008017]
A_51_P366931	NM_145150	0.107044907	0.998	Mus musculus protein regulator of cytokinesis 1 (Prc1), mRNA [NM_145150]
A_51_P441426	NM_019932	0.118613552	0.905	Mus musculus chemokine (C-X-C motif) ligand 4 (Cxcl4), mRNA [NM_019932]
A_51_P324287	NM_024245	0.127708811	0.997	Mus musculus kinesin family member 23 (Kif23), mRNA [NM_024245]
A_52_P193265	NM_025676	0.132855012	0.966	Mus musculus minichromosome maintenance deficient 8 (S. cerevisiae; Mcm8), mRNA [NM_025676]
A_51_P448741	NM_009425	0.135304137	0.932	Mus musculus tumor necrosis factor (ligand) superfamily, member 10 (Tnfsf10), mRNA [NM_009425]
A_51_P324934	NM_008563	0.143838287	0.999	Mus musculus minichromosome maintenance deficient 3 (S. cerevisiae; Mcm3), mRNA [NM_008563]
A_52_P487686	NM_001001332	0.14482608	0.941	Mus musculus stefin A1 (Stfa1), mRNA [NM_001001332]
A_51_P328333	NM_007634	0.14891755	0.999	Mus musculus cyclin F (Ccnf), mRNA [NM_007634]
A_52_P170882	NM_009928	0.152664203	0.989	Mus musculus procollagen, type XV (Col15a1), mRNA [NM_009928]
A_52_P350148	NM_017392	0.158192173	0.98	Mus musculus cadherin EGF LAG seven-pass G-type receptor 2 (Celsr2), mRNA [NM_017392]
A_52_P219473	NM_011799	0.162001839	0.743	Mus musculus cell division cycle 6 homologue (S. cerevisiae; Cdc6), transcript variant 1, mRNA [NM_011799]
A_51_P377094	NM_007742	0.171042697	0.921	Mus musculus procollagen, type I, 1 (Col1a1), mRNA [NM_007742]
A_51_P150912	NM_011497	0.17334682	1	Mus musculus aurora kinase A (Aurka), mRNA [NM_011497]
A_52_P584302	NM_008696	0.180708637	0.993	Mus musculus mitogen-activated protein kinase kinase kinase kinase 4 (Map4k4), mRNA [NM_008696]
A_52_P299915	NM_011943	0.180804743	0.978	Mus musculus mitogen-activated protein kinase kinase 6 (Map2k6), mRNA [NM_011943]
A_51_P214557	NM_010959	0.2035635	0.881	Mus musculus oncoprotein induced transcript 3 (Oit3), mRNA [NM_010959]
A_51_P286665	NM_011249	0.20899749	1	Mus musculus retinoblastoma-like 1 (p107; Rbl1), mRNA [NM_011249]
A_51_P497332	NM_008709	0.209301423	0.967	Mus musculus neuroblastoma myc-related oncogene 1 (Nmyc1), mRNA [NM_008709]
A_51_P255699	NM_010809	0.211435537	0.986	Mus musculus matrix metalloproteinase 3 (Mmp3), mRNA [NM_010809]
A_52_P662752	NM_020570	0.211797223	0.938	Mus musculus X-ray repair complementing defective repair in Chinese hamster cells 2 (Xrcc2), mRNA [NM_020570]
A_52_P482897	NM_009704	0.21556259	0.986	Mus musculus amphiregulin (Areg), mRNA [NM_009704]
A_52_P582374	NM_178825	0.217340253	0.887	Mus musculus epithelial stromal interaction 1 (breast; Epsti1), transcript variant b, mRNA [NM_178825]
A_52_P329197	NM_010049	0.218103373	0.996	Mus musculus dihydrofolate reductase (Dhfr), mRNA [NM_010049]
A_52_P54218	NM_008371	0.24977048	0.979	Mus musculus interleukin 7 (Il7), mRNA [NM_008371]
A_51_P249957	NM_008005	0.256306007	0.93	Mus musculus fibroblast growth factor 18 (Fgf18), mRNA [NM_008005]
A_52_P796682	NM_007633	0.266689223	0.931	Mus musculus cyclin E1 (Ccne1), mRNA [NM_007633]
A_52_P117090	NM_016681	0.269876487	0.982	Mus musculus CHK2 checkpoint homologue (S. pombe; Chek2), mRNA [NM_016681]
A_51_P122356	NM_009878	0.281024733	0.996	Mus musculus cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4; Cdkn2d), mRNA [NM_009878]
A_51_P139978	NM_020612	0.284976833	0.949	Mus musculus cell matrix adhesion regulator (Cmar), mRNA [NM_020612]
A_51_P204454	NM_013787	0.288494197	0.991	Mus musculus SCF complex protein Skp2 mRNA, complete cds. [AF083215]
A_52_P463340	NM_178596	0.289607373	0.987	Mus musculus gap junction membrane channel protein 1 (Gjc1), mRNA [NM_178596]
A_51_P120275	NM_017378	0.300594087	0.983	Mus musculus protocadherin 12 (Pcdh12), mRNA [NM_017378]
A_52_P498608	NM_016710	0.302066697	0.995	Mus musculus nucleosome-binding protein 1 (Nsbp1), mRNA [NM_016710]
A_51_P202714	NM_018761	0.30690475	0.999	Mus musculus catenin (cadherin-associated protein), -like 1 (Ctnnal1), mRNA [NM_018761]
A_51_P480855	NM_021385	0.3082394	0.992	Mus musculus RAD18 homologue (S. cerevisiae; Rad18), mRNA [NM_021385]
A_51_P290290	NM_011102	0.314272293	0.976	Mus musculus protein kinase C, (Prkcc), mRNA [NM_011102]
A_52_P377750	NM_011053	0.320462427	1	Mus musculus programmed cell death protein 11 (Pdcd11), mRNA [NM_011053]
A_51_P298790	NM_010896	0.320510883	0.997	Mus musculus neurogenin 1 (Neurog1), mRNA [NM_010896]
A_52_P73307	NM_134092	0.323017367	1	Mus musculus Mdm2, transformed 3T3 cell double minute p53 binding protein (Mtbp), mRNA [NM_134092]
A_51_P113182	NM_013584	0.327713863	0.974	Mus musculus leukemia inhibitory factor receptor (Lifr), mRNA [NM_013584]
A_52_P590546	NM_011631	0.334020433	0.998	Mus musculus tumor rejection antigen gp96 (Tra1), mRNA [NM_011631]
