Accession number	Gene Name	Gene Symbol	Fold change (treated/control): 3 h	Fold change (treated/control): 6 h	Involved in
AA421716	mutS homolog 3 (E. coli)	MSH3	1.52	1.47	DNA repair
R91570	signal transducer and activator of transcription 4	STAT4	1.17	-1.57	Signal transduction
H01340	mitogen-activated protein kinase kinase kinase 10	MAP3K10	1.81	1.33	Signal transduction
R50953	mitogen-activated protein kinase kinase kinase kinase 2	MAP4K2	1.65	NA1	Signal transduction
R38343	protein tyrosine phosphatase, receptor type, G	PTPRG	1.56	1.05	Signal transduction
AA486533	early growth response 1	EGR1	8.66	1.29	Transcription regulation
AA600217	activating transcription factor 4 (tax-responsive enhancer element B67)	ATF4	1.94	NA	Transcription regulation
R83270	TGFB-induced factor (TALE family homeobox)	TGIF	-1.97	-1.06	Transcription regulation
AA733038	polymerase (RNA) I polypeptide C, 30 kDa	POLR1C	-1.66	-1.09	Transcription regulation
AA857163	amphiregulin (schwannoma-derived growth factor)	AREG	1.98	1.23	Growth factor (cell cycle)
R45059	vascular endothelial growth factor	VEGF	1.78	NA	Growth factor (cell cycle)
R54846	fibroblast growth factor receptor 1	FGFR1	1.78	NA	Cell growth (signal transduction)
AA877595	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	CDKN2A	1.72	NA	Cell cycle
AA450265	proliferating cell nuclear antigen	PCNA	-1.59	-1.09	Cell cycle
N74956	insulin-like growth factor binding protein 7	IGFBP7	-1.55	-1.39	Cell proliferation
AA180742	tubulin, alpha 1 (testis specific)	TUBA1	-1.53	-1.09	Cytoskeleton
AA480995	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	MTHFD2	1.79	1.56	Single carbon unit transfer
H23187	carbonic anhydrase II	CA2	-1.09	-1.69	Single carbon unit transfer
AA037229	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	ITGB3	-1.21	-1.5	Cell adhesion
AA485668	Integrin, beta 4	ITGB4	1.82	1.21	Cell adhesion
W56754	Integrin, beta 8	ITGB8	1.51	-1.08	Cell adhesion
R48796	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen	ITGAL	1.5	1.19	Cell adhesion
AA159577	mucin 5, subtype B, tracheobronchial	MUC5B	1.84	1.27	Extracellular matrix formation
AA490208	glutathione S-transferase theta 2	GSTT2	-1.56	-1.48	Xenobiotic metabolism
AA486570	glutathione S-transferase M4	GSTM4	-1.13	-1.54	Xenobiotic metabolism
AA448157	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	-1.74	-1.33	Xenobiotic metabolism
H56069	glutamate-cysteine ligase, catalytic subunit	GCLC	-1.16	1.52	Glutathione synthesis
AA759046	dual specificity phosphatase 2	DUSP2	2.31	1.24	Inactivation MAPK family kinases
AA187349	ferredoxin 1	FDX1	-1.57	NA	Electron transfer, metabolism
AA450205	translocation protein 1	TLOC1	-1.54	-1.54	Protein transport
H13691	major histocompatibility complex, class II, DM beta	HLA-DMB	1.51	-1.01	Immune-related
T70057	immunoglobulin J polypeptide	IGJ	-1.91	1.02	Immune-related
AA496359	immediate early protein	ETR101	1.54	1.1	Unknown
AA425687	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 1	DDX1	-1.56	NA	Unknown
