Rank	NKI ID	Symbol	Annotation	Accession no.
1	108691	ACK1	Activated p21cdc42Hs kinase	AA427891
2	109246	BCL2	B-cell CLL/lymphoma 2	W63749
3	109268	ALDH3A2	Aldehyde dehydrogenase 3 family, member A2	AA633569
4	109236	BTD	Biotinidase	R17765
5	108595	CCL19	Small inducible cytokine subfamily A (Cys-Cys), member 19	AA680186
6	100524	CELSR2	Cadherin, EGF LAG seven-pass G-type receptor 2, flamingo (Drosophila) homolog	H39187
7	126868	TMC4	DKFZP586J0619 protein	AA991211
8	100708	SLC39A6	LIV-1 protein, oestrogen regulated	H29315
9	109170	C4A	Complement component 4A	AA664406
10	109127	ESR1	Oestrogen receptor 1	AA291749
11	128702		EST	AI313031
12	121012	HSHIN1	Hin-1	AA902831
13	128095	PCSK6	Paired basic amino acid cleaving system 4	W85807
14	128052	ARHGEF7	PAK-interacting exchange factor beta	AA452871
15	128493	GMFG	Glia maturation factor, gamma	AI311932
16	123382	HIG1	Likely ortholog of mouse hypoxia induced gene 1	T74105
17	129689	C1orf21	Chromosome 1 open reading frame 21	AA406569
18	102289	ETFA	Electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	T57919
19	126124	FLJ20152	Hypothetical protein	AA918685
20	127815	PLAT	Plasminogen activator, tissue	R38933
21	101559	NPY1R	Neuropeptide Y receptor Y1	R43817
22	100260	MAL	Mal, T-cell differentiation protein	AA227885
23	127969	CRYAA	Crystallin, alpha A	H84722
24	128244	SERPINA3	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	AA704242
25	108649		Human clone 23948 mRNA sequence	H15114
26	106399	GRTP1	Hypothetical protein FLJ22474	N52651
27	123478	FLJ14712	Hypothetical protein FLJ14712	N79050
28	117207	EMP3	Epithelial membrane protein 3	W73810
29	111787	ZNF451	H. sapiens cDNA FLJ13010 fis, clone NT2RP3000542	AA486412
30	109502	KITLG	H. sapiens cDNA: FLJ21592 fis, clone COL07036	H11088
31	109315	UCP2	Uncoupling protein 2 (mitochondrial, proton carrier)	H61243
32	118532	NUPL1	PRO2463 protein	AA772502
33	100263	MYB	V-myb avian myeloblastosis viral oncogene homolog	N49284
34	128249	CD3E	CD3E antigen, epsilon polypeptide (TiT3 complex)	AA933862
35	131226	IL7R	Interleukin 7 receptor	T65739
36	100104	SELL	Selectin L (lymphocyte adhesion molecule 1)	H00662
37	108671	BCAT2	Branched chain aminotransferase 2, mitochondrial	AA436410
38	116984	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	AA708298
39	108376	LAMA3	Laminin, alpha 3 (nicein [150 kD], kalinin [165 kD], BM600 [150 kD], epilegrin)	AA001432
40	104944	SLC7A2	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	R26163
41	100840	THOC1	Nuclear matrix protein p84	AA129297
42	100650	SHFM1	Deleted in split-hand/split-foot 1 region	H85464
43	101429	SIAT1	Sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)	AA598652
