CLID	Gene Name	Gene Symbol	Accession number
AGI_MM_OLIGO_A_51_P485405	RIKEN cDNA 1700006H03 gene	1700006H03Rik	AK005675
AGI_MM_OLIGO_A_51_P405397	Extracellular matrix protein 1	Ecm1	NM_007899
AGI_MM_OLIGO_A_51_P353252	Mal, T-cell differentiation protein 2	Mal2	NM_178920
AGI_MM_OLIGO_A_51_P290399	Expressed sequence AI661453	LOC224833	NM_145489
AGI_MM_OLIGO_A_51_P448856	CDNA sequence BC042423	Elf4	NM_019680
AGI_MM_OLIGO_A_51_P118178	RIKEN cDNA 9530014D17 gene	9530014D17Rik	BU502810
AGI_MM_OLIGO_A_51_P491379	Casein alpha	Csna	NM_007784
AGI_MM_OLIGO_A_51_P368285	RIKEN cDNA 3110032G18 gene	3110032G18Rik	NM_028443
AGI_MM_OLIGO_A_51_P484111	Matrilin 2	Matn2	NM_016762
AGI_MM_OLIGO_A_51_P309307			ENSMUST00000062945
AGI_MM_OLIGO_A_51_P279552	Caveolin 2	Cav2	NM_016900
AGI_MM_OLIGO_A_51_P472829	RIKEN cDNA 2810003C17 gene	2810003C17Rik	NM_145144
AGI_MM_OLIGO_A_51_P424211	FXYD domain-containing ion transport regulator 3	Fxyd3	NM_008557
AGI_MM_OLIGO_A_51_P451546	Epiplakin 1	Eppk1	BC026387
AGI_MM_OLIGO_A_51_P450547	Peptidyl arginine deiminase, type III	Padi3	NM_011060
AGI_MM_OLIGO_A_51_P446179	Transmembrane protease, serine 4	Tmprss4	NM_145403
AGI_MM_OLIGO_A_51_P353213	Thrombospondin 4	Thbs4	NM_011582
AGI_MM_OLIGO_A_51_P207601	Aquaporin 5	Aqp5	NM_009701
AGI_MM_OLIGO_A_51_P366948	Serine (or cysteine) proteinase inhibitor, clade B, member 5	Serpinb5	NM_009257
AGI_MM_OLIGO_A_51_P486810	Phosphoglucomutase 2-like 1	Pgm2l1	NM_030677
AGI_MM_OLIGO_A_51_P135012	Rhophilin, Rho GTPase binding protein 2	Rhpn2	NM_027897
AGI_MM_OLIGO_A_51_P402943	S100 calcium binding protein A9 (calgranulin B)	S100a9	NM_009114
AGI_MM_OLIGO_A_51_P413995			AK032339
AGI_MM_OLIGO_A_51_P427472	RIKEN cDNA 1200013A08 gene	1200013A08Rik	NM_024263
AGI_MM_OLIGO_A_51_P181097			ENSMUST00000021282
AGI_MM_OLIGO_A_51_P131561	RIKEN cDNA 1600029D21 gene	1600029D21Rik	NM_029639
AGI_MM_OLIGO_A_51_P237668	Brain expressed X-linked 2	Bex2	NM_009749
AGI_MM_OLIGO_A_51_P462629	Gamma-aminobutyric acid (GABA-A) receptor, pi	Gabrp	BC027245
AGI_MM_OLIGO_A_51_P121397	Mitochondrial ribosomal protein S17	Mrps17	NM_025450
AGI_MM_OLIGO_A_51_P159962	Eph receptor A7	Epha7	NM_010141
AGI_MM_OLIGO_A_51_P376445	Placentae and embryos oncofetal gene	Pem	NM_008818
AGI_MM_OLIGO_A_51_P516626	GATA binding protein 2	Gata2	NM_008090
