Probe Set Identification	Gene Symbol	Gene Description	GO Molecular Function Description	pAUC	AUC	Fold Change R/NR
210731_s_at	LGALS8	Consensus includes gb:AL136105/DEF=human DNA sequence from clone RP4-670F13 on chromosome 1q42.2-43; contains the gene for Po66 carbohydrate binding protein similar to soluble galactoside-binding lectin 8 (galactin-8, LGALS8)	Sugar binding/sugar binding	0.083	0.907	1.83
212190_at	SERPINE2	Consensus includes gb:AL541302/FEA=EST/DB_XREF=gi:12872241/DB_XREF=est:AL541302/CLONE=CS0DE006YI10	Serine-type endopeptidase inhibitor activity/heparin binding	0.075	0.935~	2.31
213001_at	ANGPTL2	Consensus includes gb:AF007150.1/DEF=Homo sapiens clone 23,767 and 23,782 mRNA sequences	Receptor binding	0.092	0.972~	1.94
216954_x_at	ATP5O	Consensus includes gb:S77356.1/DEF= Homo sapiens oligomycin sensitivity conferral protein oscp-like protein mRNA, partial cds	Transporter activity/hydrolase activity/hydrogen-transporting ATP synthase activity	0.075	0.944~	1.61
220375_s_at	�	gb:NM_024752.1/DEF= Homo sapiens hypothetical protein FLJ23312 (FLJ23312), mRNA		0.092	0.981~	2.07
204398_s_at	EML2	gb:NM_012155.1/DEF= Homo sapiens microtubule-associated protein-like echinoderm EMAP (EMAP-2), mRNA	�	0.083	0.88	1.49
205756_s_at	F8	gb:NM_000132.2/DEF= Homo sapiens coagulation factor VIII, procoagulant component (hemophilia A) (F8), transcript variant 1, mRNA	Copper ion binding/oxidoreductase activity	0.083	0.917	1.82
208174_x_at	U2AF1L2	gb:NM_005089.1/DEF= Homo sapiens U2 small nuclear ribonucleoprotein auxiliary factor, small subunit 2 (U2AF1RS2), mRNA	Nucleotide binding/RNA binding	0.092	0.944~	1.32
208486_at	DRD5	gb:NM_000798.1/DEF= Homo sapiens dopamine receptor D5 (DRD5), mRNA	Rhodopsin-like receptor activity/receptor activity/dopamine receptor activity	0.083	0.889	1.33
208798_x_at	GOLGIN-67	gb:AF204231.1/DEF= Homo sapiens 88-kDa Golgi protein (GM88) mRNA, complete cds	�	0.083	0.926	1.67
209538_at	ZNF32	gb:U69645.1/DEF=Human zinc finger protein mRNA, complete cds	Nucleic acid binding/DNA binding/zinc ion binding	0.083	0.972~	2.09
209594_x_at	PSG9	gb:M34421.1/DEF=Human pregnancy-specific beta-1 glycoprotein mRNA, complete cds	�	0.083	0.87	1.62
236954_at	BOLL	Consensus includes gb:BF059752/FEA=EST/DB_XREF=gi:10813648/DB_XREF=est:7k65h06.x1/CLONE =IMAGE:3480442/UG=Hs.169797 ESTs	Nucleotide binding/nucleic acid binding/RNA binding	0.075	0.972~	70.75
241602_at	ZNF582	Consensus includes gb:BG432829/FEA=EST/DB_XREF=gi:13339335/DB_XREF=est:602496037F1/CLONE =IMAGE:4610000/UG=Hs.152174 ESTs	Nucleic acid binding/zinc ion binding	0.083	0.935~	161.31
