GeneID	LN_S	C42_S	LN_tpm	C42_tpm	C42_RT	LNCaP_RT	SYMBOL	GENENAME
65982	347	28	37	0	+	+	FLJ12895	hypothetical protein FLJ12895
6983	799	26	36	0	+	+	TRGV9	T cell receptor gamma variable 9
56133	542	29	28	0	+	+	PCDHB2	protocadherin beta 2
7291	224	14	28	0	+	+	TWIST1	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)
79739	299	2	28	0	+	+	FLJ23033	hypothetical protein FLJ23033
64708	137	7	27	0	+	+	COPS7B	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)
2115	1060	2	27	0	-	+	ETV1	ets variant gene 1
29103	352	30	20	0	+	+	DNAJD1	DnaJ (Hsp40) homolog, subfamily D, member 1
5058	108	70	15	0	-	+	PAK1	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)
148254	132	32	15	0	+	+	ZNF555	zinc finger protein 555
9175	105	3	15	0	+	+	MAP3K13	mitogen-activated protein kinase kinase kinase 13
26047	142	19	14	0	+	+	CNTNAP2	contactin associated protein-like 2
5819	212	62	13	0	+	+	PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)
79618	177	56	13	0	+	+	FLJ21616	hypothetical protein FLJ21616
2045	104	29	13	0	-	+	EPHA7	EphA7
54496	189	25	13	0	+	+	PRMT7	protein arginine N-methyltransferase 7
56848	126	99	11	0	+	+	SPHK2	sphingosine kinase 2
1837	191	30	11	0	+	+	DTNA	dystrobrevin, alpha
5256	156	7	11	0	+	+	PHKA2	phosphorylase kinase, alpha 2 (liver)
2588	207	9	10	0	+	+	GALNS	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)
284307	190	55	9	0	+	+	LOC284307	hypothetical protein LOC284307
8470	125	8	9	0	+	+	ARGBP2	Arg/Abl-interacting protein ArgBP2
83259	362	60	8	0	+	+	PCDH11Y	protocadherin 11 Y-linked
10150	640	58	8	0	+	+	MBNL2	muscleblind-like 2 (Drosophila)
23467	160	35	8	0	+	+	NPTXR	neuronal pentraxin receptor
117583	109	35	8	0	+	+	ALS2CR19	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 19
27328	730	30	8	0	+	+	PCDH11X	protocadherin 11 X-linked
84553	120	15	8	0	+	+	C6orf168	chromosome 6 open reading frame 168
221184	144	79	7	0	+	+	CPNE2	copine II
128710	122	79	7	0	+	+	LOC128710	similar to RIKEN cDNA 2210009G21
145815	270	10	7	0	+	+	MGC18216	hypothetical protein MGC18216
3486	309	6	7	0	+	+	IGFBP3	insulin-like growth factor binding protein 3
55601	203	72	6	0	+	+	FLJ20035	hypothetical protein FLJ20035
152789	168	63	6	0	+	+	MARLIN1	multiple coiled-coil GABABR1-binding protein
3397	1828	57	6	0	+	+	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
9922	189	34	6	0	+	+	KIAA0763	KIAA0763 gene product
84557	198	33	6	0	+	+	MAP1LC3A	microtubule-associated protein 1 light chain 3 alpha
25859	224	19	6	0	+	+	PART1	prostate androgen-regulated transcript 1
83700	125	9	6	0	+	+	JAM3	junctional adhesion molecule 3
57466	188	3	6	0	+	+	SFRS15	splicing factor, arginine/serine-rich 15
10514	275	86	5	0	+	+	MYBBP1A	MYB binding protein (P160) 1a
9486	193	64	5	0	+	+	CHST10	carbohydrate sulfotransferase 10
81285	104	30	5	0	+	+	OR51E2	olfactory receptor, family 51, subfamily E, member 2
26167	731	11	5	0	+	+	PCDHB5	protocadherin beta 5
8528	172	92	4	0	+	+	DDO	D-aspartate oxidase
4747	142	31	4	0	+	+	NEFL	neurofilament, light polypeptide 68kDa
58492	235	31	4	0	+	+	ZNF77	zinc finger protein 77 (pT1)
3070	179	29	4	0	-	+	HELLS	helicase, lymphoid-specific
1373	445	14	4	0	+	+	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial
2515	139	12	4	0	+	+	ADAM2	a disintegrin and metalloproteinase domain 2 (fertilin beta)
84947	126	9	4	0	+	+	SERAC1	serine active site containing 1
54972	211	8	4	0	+	+	HSPA5BP1	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) binding protein 1
55016	107	2	4	0	+	+	FLJ20668	hypothetical protein FLJ20668
2888	110	58	3	0	+	+	GRB14	growth factor receptor-bound protein 14
10098	110	48	3	0	+	+	TM4SF9	transmembrane 4 superfamily member 9
1290	128	40	3	0	+	+	COL5A2	collagen, type V, alpha 2
2635	140	36	3	0	+	+	GBP3	guanylate binding protein 3
596	103	23	3	0	+	+	BCL2	B-cell CLL/lymphoma 2
55061	195	16	3	0	+	+	FLJ10052	hypothetical protein FLJ10052
23263	157	15	3	0	+	+	MCF2L	MCF.2 cell line derived transforming sequence-like
23053	126	13	3	0	+	+	KIAA0913	KIAA0913 protein
63967	104	8	3	0	+	+	CLSPN	claspin homolog (Xenopus laevis)
79149	123	84	2	0	+	+	ZNF495	zinc finger protein 495
27445	258	82	2	0	+	+	PCLO	piccolo (presynaptic cytomatrix protein)
25943	102	69	2	0	+	+	C20orf194	chromosome 20 open reading frame 194
10718	168	10	2	0	+	+	NRG3	neuregulin 3
