Affymetrix U133A Probe Set	Gene Symbol
202148_s_at	PYCR1
203564_at	FANCG
209773_s_at	RRM2
202954_at	UBE2C
202095_s_at	BIRC5
202870_s_at	CDC20
221436_s_at	CDCA3
214096_s_at	SHMT2
218336_at	PFDN2
221520_s_at	CDCA8
214095_at	SHMT2
203145_at	SPAG5
204092_s_at	AURKA
218726_at	DKFZp762E1312
211881_x_at	IGL@
206472_s_at	TLE3
202107_s_at	MCM2
216913_s_at	KIAA0690
219215_s_at	SLC39A4
201710_at	MYBL2
201584_s_at	DDX39
204252_at	CDK2
219910_at	HYPE
201421_s_at	WDR77
213906_at	MYBL1
211576_s_at	COL18A1
218984_at	PUS7
205284_at	KIAA0133
220177_s_at	TMPRSS3
204489_s_at	CD44
204490_s_at	CD44
209835_x_at	CD44
205322_s_at	MTF1
218481_at	EXOSC5
220029_at	ELOVL2
208305_at	PGR
209273_s_at	HBLD2
220038_at	SGK3
204498_s_at	ADCY9
208922_s_at	STX5
218620_s_at	HEMK1
208688_x_at	EIF3S9
212022_s_at	MKI67
206364_at	KIF14
218663_at	HCAP-G
206976_s_at	HSPH1
218270_at	MRPL24
218009_s_at	PRC1
209408_at	KIF2C
204817_at	ESPL1
38158_at	ESPL1
204962_s_at	CENPA
203755_at	BUB1B
222039_at	LOC146909
204441_s_at	POLA2
212949_at	BRRN1
219502_at	NEIL3
210466_s_at	SERBP1
204633_s_at	RPS6KA5
203710_at	ITPR1
215193_x_at	HLA-DRB1
212473_s_at	MICAL2
213933_at	PTGER3
202464_s_at	PFKFB3
220266_s_at	KLF4
212848_s_at	C9orf3
202417_at	KEAP1
204792_s_at	IFT140
200706_s_at	LITAF
215273_s_at	TADA3L
221261_x_at	MAGED4
214736_s_at	ADD1
220935_s_at	CDK5RAP2
