Protein/gene name	location on array	GenBank no.	MGH-U1 (post/pre radiation)	S40b (post/pre radiation)
HSP90	(6E)	M16660	4.9	2.5
HSP27	(5K)	X54079	1	0.27
NNMT	(19G)	U08021	=	=
Vimentin	(7K)	X56134	5.3	=
Calreticulin Precursor (CRP55)	(6O)	M84739	2.3 (exp. 2) 0.5 (exp. 1)	2.26
Transformation-sensitive protein	(7D)	M86752	=	2.28
CDKN1A	(9O)	L25610	2.1	=
NM23-H1	(5C)	X17620	2.6	0.2
MAP Kinase Kinase 5	(4B)	U25265	2.7	=
GADD153	(15J)	S40706	=	3.1
MAP Kinase Kinase 2	(4D)	L11285	=	0.45
Heat shock transcription factor 1	(5D)	M64673	=	=
Heat shock 47-kDa protein	(5L)	X61598	=	2.5
FLAP endonuclease 1	(10B)	L37374	=	=
NADH-cytochrome B5 reductase	(23C)	Y09501	=	=
DNA-repair protein XRCC1	(11N)	M36089	=	=
UV excision repair protein protein, RAD23A	(12G)	D21235	=	=
Tumor necrosis factor type 1 receptor associated protein (TRAP1)	(4O)	U12595	0.37	=
HSC70 -interacting protein	(6J)	U28918	3.4	=
T-complex protein 1 epsilon subunit	(8C)	D43950	U2 (24)	=
