Gene response	Accession #	Expression
Protein kinase C-a b	X52479	A. Repression
41 kDa protein kinase related to rat ERK2b	Z11694	A. Repression
Type I b cGMP-dependent protein kinaseb	Y07512	A. Repression
Adenosine kinase short form	U90339	A. Repression
Phosphatidylinositol 3-kinase homolog	U26455	A. Repression
Protein tyrosine phosphatase PIR1	AF023917	A. Repression
Protein tyrosine phosphatase zeta	M93426	A. Repression
KIAA0369 gene	AB002367	A. Repression
Leukocyte common antigen T200	Y00638	A. Repression
Tyrosine receptor kinase type E mRNAb	X74979	B. Induction
Phosphoglycerate kinase	V00572	B. Induction
Adenylate kinase 2A	U84371	B. Induction
CDK8 protein kinase	X85753	B. Induction
Putative serine/threonine protein kinase	Y10032	B. Induction
Ribosomal protein kinase B	AJ10119	B. Induction
Mevalonate kinase	M88468	B. Induction
Protein tyrosine phosphatase	M25393	B. Induction
Prostatic acid phosphatase	M34840	B. Induction
Receptor-type protein tyrosine phosphatase g	L09247	B. Induction
Protein tyrosine phosphatase 1C	X62055	B. Induction
STE-20 related kinase SPAK	AF099989	B. Induction
IAR/receptor-like protein tyrosine phosphatase	AF007555	B. Induction
Pyrroline 5-carboxylate synthase	X94453	B. Induction
Glomerular epithelial protein 1	U20489	B. Induction
Platelet-derived growth factor A type receptor	M22734	B. Induction
