Entrez	Name	Title
207	AKT1	v-akt murine thymoma viral oncogene homolog 1
638	BIK	BCL2-interacting killer (apoptosis inducing)
682	BSG	Basigin (OK blood group)
780	DDR1	Discoidin domain receptor family, member 1
997	CDC34	Cell division cycle 34
1365	CLDN3	Claudin 3
1534	CYB561	Cytochrome b-561
2879	GPX4	Glutathione peroxidase 4
3182	HNRPAB	Heterogeneous nuclear ribonucleoprotein A/B
3927	LASP1	LIM and SH3 protein 1
4324	MMP15	Matrix metallopeptidase 15 (membrane-inserted)
4598	MVK	Mevalonate kinase (mevalonic aciduria)
4738	NEDD8	Neural precursor cell expressed
4758	NEU1	Sialidase 1 (lysosomal sialidase)
5127	PCTK1	PCTAIRE protein kinase 1
5447	POR	P450 (cytochrome) oxidoreductase
5580	PRKCD	Protein kinase C, delta
5819	PVRL2	Poliovirus receptor-related 2
6692	SPINT1	Serine peptidase inhibitor, Kunitz type 1
9040	UBE2M	Ubiquitin-conjugating enzyme E2M
10972	TMED10	Transmembrane emp24-like trafficking protein
11221	DUSP10	Dual specificity phosphatase 10
22883	CLSTN1	Calsyntenin 1
23203	PMPCA	Peptidase (mitochondrial processing) alpha
25855	BRMS1	Breast cancer metastasis suppressor 1
27134	TJP3	Tight junction protein 3 (zona occludens 3)
27237	ARHGEF16	Rho guanine exchange factor (GEF) 16
51094	ADIPOR1	Adiponectin receptor 1
54020	SLC37A1	Glycerol-3-phosphate transporter
54442	KCTD5	Potassium channel tetramerization
54472	TOLLIP	Toll interacting protein
55333	SYNJ2BP	Synaptojanin 2 binding protein
55658	RNF126	Ring-finger protein 126
57175	CORO1B	Coronin, actin-binding protein, 1B
