Gene	Accession	Tissue	Function	Fold	Description
TRA2B	U87836	Ubiquitous	Transcription	4.6	Splicing factor, arginine/serine-rich (transformer 2 Drosophila homologue) 10
P47	NM_002975	Ubiquitous	Cell signaling	3	Stem cell growth factor; lymphocyte secreted C-type lectin
ILT11	AF212842	Leukocytes	Cell signaling	2.5	Immunoglobulin-like transcript 11 protein
CD166	NM_001627	Ubiquitous	Others	2.5	Activated leukocyte cell adhesion molecule
PR3	NM_002777	Progenitor and myeloid cells	Cell cycle	2.5	Proteinase 3
GRO3	NM_002983	Macrophages	Cell signaling	2.4	Small inducible cytokine A3 (homologous to mouse Mip-1a)
grobeta	M57731	Monocytes and neutrophils	Cell cycle	2.4	GRO2 oncogene
PTX3	NM_002852	Macrophages and endothelium	Cell signaling	2,4	Pentaxin-related gene, rapidly induced by IL-1 beta
AZU	NM_001700	Promyelocyte stage of granulocytic differentation	Others	2.3	Azurocidin 1
NOS2A	L24553	Ubiquitous	Cell signaling	2.3	Nitric oxide synthase 2A (inducible, hepatocytes)
ASGR2	NM_001181	Hepatocytes	Transport	2.3	Asialoglycoprotein receptor 2
GEMIN2	NM_003616	Ubiquitous	Transcription	2.3	Survival of motor neuron protein interacting protein 1
CSPG2	D32039	Ubiquitous	Cell cycle	2.3	Chondroitin sulfate proteoglycan 2 (versican)
FYB	AF198052	T cell	Cell signaling	2.2	FYN-binding protein (FYB-120/130)
SERPINB2	NM_002575	Monocytes and macrophages	Cell cycle	2.2	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2
IL1B	M15330	Macrophages	Cell cycle	2.2	Human interleukin-1-beta (IL1B) mRNA, complete cds
S100P	NM_005980	Ubiquitous	Cell cycle	2.2	S100 calcium-binding protein P
POU2F2	BC006101	B cell	Transcription	2.2	POU domain, class 2, transcription factor 2
HL9	AF009634	Leukocytes	Cell signaling	2.1	Leukocyte immunoglobulin-like receptor, sub- family B (with TM and ITIM domains), member 3
LAT2	NM_003983	Embryonic	Transport	2.1	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
SCN12A	NM_014139	Nerve and muscle	Cell signaling	2.1	Sodium channel, voltage-gated, type XII, alpha polypeptide
AXSF	NM_000820	Monocytes	Cell cycle	2.1	Growth arrest-specific 6
IL21R	AF269133	Lymphoid tissues	Cell cycle	2.1	Interleukin 21 receptor
LAG1	NM_002984	Lymphocytes and monocytes	Transcription	2.1	Small inducible cytokine A4 (homologous to mouse Mip-1b)
CD127	NM_002185	B-cell precursors and T cells	Cell signaling	2	Interleukin 7 receptor
