Probeset ID	Gene Title	Gene Symbol	RefSeq Transcript ID	p-value(hcc vs. control)_comp1	FC (hcc vs. control) comp 1	p-value(tumor vs. hep) comp 2	FC (tumor vs. hep) comp 2	a	b	c
1451377_a_at	achalasia, adrenocortical insufficiency, alacrimia	Aaas	NM_153416	0.0151	2.0871	0.0592	1.34	Yes	No	No
1449818_at	ATP-binding cassette, sub-family B (MDR/TAP), member 4	Abcb4	NM_008830	0.0111	1.9732	0.0787	1.2186	Yes	No	No
1443870_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	Abcc4	NM_001033336	0.0256	5.4358	0.0921	1.9959	Yes	No	No
1421858_at	a disintegrin and metallopeptidase domain 17	Adam17	NM_009615	0.0142	1.9514	0.0505	1.3256	Yes	No	No
1439276_at	Adenosine deaminase, RNA-specific	Adar	NM_001038587	0.0029	2.0174	0.0296	1.1895	Yes	No	No
1450065_at	adenylate cyclase 7	Adcy7	NM_001037723	0.0422	1.9534	0.0355	1.8192	No	No	Yes
1456307_s_at	adenylate cyclase 7	Adcy7	NM_001037723	0.0498	3.7231	0.0993	2.0739	Yes	No	No
1451992_at	adrenergic receptor kinase, beta 1	Adrbk1	NM_130863	0.0027	1.5524	0.0793	1.0644	Yes	No	No
1418372_at	adenylosuccinate lyase	Adsl	NM_009634	0.0032	1.5215	0.0069	1.2599	Yes	No	No
1460726_at	adenylosuccinate synthetase, non muscle	Adss	NM_007422	0.0382	1.6853	0.5786	1.058	Yes	No	No
1427325_s_at	expressed sequence AI597013	AI597013	---	0.0021	1.8764	0.01	1.265	Yes	No	No
1434068_s_at	expressed sequence AI662270	AI662270	---	0.0467	1.5215	0.1118	1.2333	Yes	No	No
1450983_at	A kinase (PRKA) anchor protein 8	Akap8	NM_019774	0.0274	1.6049	0.2041	1.1292	Yes	No	No
1447040_at	Activated leukocyte cell adhesion molecule	Alcam	NM_009655	0.0222	2.2168	0.359	-1.1231	Yes	No	No
