Accession number 	Gene name 	PAM occur 	SAM score (R/RF) 	Fold change (R/RF) 	Gene title 	Functional pathway	 
NM_017761 	PNRC2 	0.98	-3.67	0.6	Proline-rich nuclear receptor coactivator 2	ER activity regulation	 
AK027663 	STC2	0.98	-3.36	0.43	Stanniocalcin 2 	Cell growth 	 
NM_014736 	KIAA0101/ p15(PAF)	0.97	3.46	1.69	PCNA-associated factor 	DNA repair; antiapoptosis 	 
NM_000165 	GJA1/CX43	0.96	-3.04	0.45	"Gap junction protein, a1, 43 kDa   (connexin 43) "	Cell growth;  adhesion; apoptosis 	 
BC015719 	OTUD7B	0.94	-3.03	0.6	OTU domain containing 7B 	Signalization; inflammation 	 
AK023933 	ZBTB44	0.92	-2.7	0.69	Zinc finger and BTB domain-containing protein 44	Unknown function 	 
NM_018154 	ASF1B	0.89	3.29	1.67	ASF1 anti-silencing function 1 homologue B (Saccharomyces cerevisiae)	DNA repair 	 
AL137566 		0.89	-2.87	0.54			 
AF085233 	SGK3/SGKL	0.89	-2.52	0.51	Serum/glucocorticoid regulated kinase 3	Signalization 	 
NM_002421 	MMP1 	0.88	2.79	2.27	Matrix metalloproteinase 1 	Invasion 	 
NM_004701 	CCNB2	0.88	2.78	1.43	Cyclin B2 	Mitosis; cell cycle 	 
NM_006103 	WFDC2/HE4 	0.87	-3.07	0.45	WAP four-disulfide core domain 2; epididymal secretory protein E4 	Immune response 	 
NM_012112 	TPX2	0.84	3.04	1.54	Microtubule-associated homologue (Xenopus laevis)	Mitosis; cell cycle 	 
NM_001034 	RRM2	0.84	2.81	1.69	Ribonucleotide reductase M2 polypeptide 	DNA repair 	 
NM_017680 	ASPN/SLRR1C 	0.83	-2.46	0.46	Asporin; small leucine-rich repeat class 1 	Adhesion 	 
NM_006197 	PCM1	0.82	-3.04	0.56	Pericentriolar material 1 	Cell growth; mitosis 	 
NM_007019 	UBE2C/UBCH10	0.82	2.85	1.49	E2 ubiquitin-conjugating enzyme 	Mitosis; cell cycle 	 
NM_004217 	AURKB/STK12	0.8	3.07	1.52	Aurora B kinase 	Mitosis; cell cycle 	 
NM_001461 	FMO5	0.78	-2.52	0.57	Flavin-containing monooxygenase 5 	Metabolism 	 
AF326917 	AUTS2	0.77	-2.7	0.57	Autism susceptibility candidate 2 	Unknown function 	 
NM_014056 	HIGD1A/HIG1	0.76	-2.97	0.49	"HIG1 domain family, member 1A; hypoxia-inducible gene 1"	Antiapoptosis 	 
NM_003981 	PRC1	0.74	3.04	1.56	Protein regulator of cytokinesis 1 	Mitosis; cell cycle 	 
AK001379 	ASPM	0.73	2.98	1.61	Abnormal spindle-like microcephaly-associated protein	Mitosis; cell cycle 	 
AB033114 	MTUS1/ATIP1	0.72	-2.78	0.63	Mitochondrial tumor suppressor 1; angiotensin II receptor-interacting protein	Cell growth; signalization	 
AL133047 	SH3D19	0.72	-2.9	0.65	SH3 domain protein D19 	Signalization 	 
NM_006570 	RRAGA	0.72	-3.37	0.63	Ras-related GTP-binding A 	Signalization 	 
NM_032471 	PKIB 	0.7	-2.57	0.47	Protein kinase A inhibitor h 	ER activity regulation; signalization	 
NM_016441 	CRIM1	0.68	-2.34	0.65	Cysteine-rich motor neuron 1; cysteine-rich transmembrane BMP regulator 1	Adhesion 	 
AF444143 	SPG3A/ATL1	0.68	-2.83	0.55	Atlastin-1; spastic paraplegia 3A; GTP-binding protein 3	Signalization; vesicle trafficking	 
NM_021999 	ITM2B/BRI2	0.67	-2.98	0.6	Integral membrane protein 2B; transmembrane protein BRI	Apoptosis 	 
NM_020038 	ABCC3/MRP3 	0.65	2.72	2.04	"ATP-binding cassette, subfamily C (CFTR/MRP) member"	Multidrug resistance 	 
NM_005824 	LRRC17/P37NB	0.65	-2.3	0.6	Leucine-rich repeat containing 17 	Unknown function 	 
NM_020347 	LZTFL1	0.64	-2.71	0.69	Leucine zipper transcription factor-like 1	Unknown function 	 
NM_003890 	FCGBP 	0.64	-2.45	0.53	Fc fragment IgG binding protein 	Immune response 	 
NM_003258 	TK1	0.63	2.43	1.33	Thymidine kinase 1 	DNA replication 	 
NM_001786 	CDC2/CDK1	0.63	2.43	1.32	"Cell division cycle 2, G1-S and G2-M; cyclin-dependent kinase 1"	Mitosis; cell cycle 	 
					 		 
							
							
							
