Genesymbol	UniGenea	GenBankb	Gene description	Clusterc	ZR-75·1	MCF-7	Functione
FLJ14201	Hs.193063	AA034414	Homo sapiens cDNA FLJ14201 fis, clone NT2RP3002955	1		A, C	Unnamed
ESTs AA156287	Hs.231518	AA156287	ESTs AA156287	1		C	Unnamed
MGC12335	Hs.97411	AA426092	Hypothetical protein MGC12335	1			Unnamed
ZNF217	Hs.155040	AA460802	Zinc finger protein 217	1		A, C	Transcription
EST AA478625 f	Hs.433012	AA478625	ESTs, moderately similar to hypothetical protein FLJ20378 (Homo sapiens)	1		A	Unknown
ESTs AA677934	Hs.117864	AA677934	ESTs AA677934	1		A, C	Unnamed
RAB9B f	Hs.43005	AA699329	RAB9B, member RAS oncogene family	1			Unnamed
FLJ13187	Hs.29724	AA713516	FLJ13187 Phafin 2	1		A, C	Unnamed
MYO1B	Hs.121576	AA768869	Myosin IB; myosin-I alpha (Homo sapiens)	1		A	Cell communication, adhesion or motility
ESTs AA814948	Hs.96343	AA814948	ESTs, weakly similar to hypothetical protein FLJ20489 (Homo sapiens)	1		C	Unnamed
RXRA	Hs.20084	AA865269	Retinoid X receptor, alpha	1	PCR	A, F	Cell death/ transcription
ESTs AA909818	Hs.241797	AA909818	EST, moderately similar to ALU6_HUMAN ALU (Homo sapiens)	1		C	Unnamed
KIAA0321	Hs.8663	AB002319	KIAA0321 protein	1			Unnamed
N4BP3	Hs.101761	AB002339	Nedd4 binding protein 3	1	SAGE	SAGE, A	Unknown
HBP1	Hs.10882	AF019214	HMG-box containing protein 1	1		C	Transcription
TAPBP	Hs.179600	AF029750	TAP binding protein (tapasin)	1	SAGE	A, F
LIM	Hs.154103	AF061258	LIM protein (similar to rat protein kinase C-binding enigma)	1		A	Unknown
FLJ31051	Hs.406199	AI079337	Homo sapiens cDNA FLJ31051 fis, clone HSYRA2000605, weakly similar to MYOSIN HEAVY CHAIN, CLONE 203	1			Unnamed
CCNG2	Hs.79069	AI271688	Cyclin G2	1		A, C, F	Cell cycle
ESTs AI374654	Hs.20996	AI374654	ESTs AI374654	1		C	Unnamed
SREC	Hs.57735	AI623132	Acetyl LDL receptor; SREC=scavenger receptor expressed by endothelial cells	1			low density lipoprotein metabolism
CEACAM6	Hs.73848	AI677998	Carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	1		A	Signal transduction
BAK1	Hs.93213	AI741331	BCL2-antagonist/killer 1	1	PCR/RNase	A, F	Cell death
MGC10500	Hs.271599	AI769018	Hypothetical protein MGC10500	1		A	Unnamed
SYTL2	Hs.92254	AI823970	Synaptotagmin-like 2	1		A, C	Unknown
HGS	Hs.24756	AI937435	Hepatocyte growth factor-regulated tyrosine kinase substrate	1			Signal transduction
OPHN1	Hs.109059	AJ001189	Oligophrenin 1	1		C	Signal transduction
WDR10	Hs.70202	AL041643	WD repeat domain 10	1		SAGE, A	Unknown
EPLIN	Hs.10706	AL048161	Epithelial protein lost in neoplasm beta	1		A, C	Unknown
ZNF33A	Hs.70617	D31763	Zinc finger protein 33a (KOX 31)	1		C	Transcription
TTC3	Hs.118174	D84294	Tetratricopeptide repeat domain 3	1		C	Unknown
PCM1	Hs.348501	H00568	Pericentriolar material 1	1		A, C	Unknown
ERBB3	Hs.199067	M29366	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	1	SAGE	A, C	Signal transduction
EFNA1	Hs.399713	M57730	Ephrin-A1	1		A, B, F	Signal transduction
COPA	Hs.75887	U24105	Coatomer protein complex, subunit alpha	1	SAGE	A	Transporters
SLC12A2	Hs.110736	U30246	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	1		A	Transporters
CREBBP	Hs.23598	U47741	CREB binding protein (Rubinstein-Taybi syndrome)	1		A	Transcription
HSXIAPAF1	Hs.139262	X99699	XIAP associated factor-1	1			Cell death
ATP2A3	Hs.5541	Z69881	ATPase, Ca++  transporting, ubiquitous	1		A	Transporters
MGC11034	Hs.103378	AA775792	Hypothetical protein MGC11034	2		A, C	Unnamed
CLDN4	Hs.5372	AB000712	Claudin 4	2	SAGE	A	Cell communication, adhesion or motility
CITED2	Hs.82071	AF109161	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	2	PCR SAGE		Transcription
CD24	Hs.375108	AI310309	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	2	PCR/SAGE	SAGE, A, C	Signal transduction
MUC1	Hs.89603	AI922289	Mucin 1, transmembrane	2			Cell communication, adhesion or motility
IGFBP5	Hs.180324	L27560	Insulin-like growth factor binding protein 5	2	SAGE	D	Signal transduction
PGM5	Hs.406261	L40933	Phosphoglucomutase 5	2		A	Cell communication, adhesion or motility
ACHE	Hs.154495	M55040	Acetylcholinesterase (YT blood group)	2		A, C	Signal transduction
ISGF3G	Hs.1706	M87503	Interferon-stimulated transcription factor 3, gamma (48 kDa)	2		A,B,C, F	Transcription
NMA	Hs.78776	U23070	Putative transmembrane protein	2			Signal transduction
ANXA2	Hs.217493	AA164741	Annexin A2	3	SAGE		Cell communication, adhesion or motility
ATP9A	Hs.406434	AA620508	ATPase, Class II, type 9A	3			Transporters
KIAA0492	Hs.406707	AB007961	KIAA0492 protein	3			Unnamed
EGFL4	Hs.158200	AB011541	EGF-like-domain, multiple 4	3			Unknown
BAG1	Hs.41714	AF022224	BCL2-associated athanogene	3	PCR		Cell death
IDS	Hs.172458	AF050145	Iduronate 2-sulfatase (Hunter syndrome)	3			Other enzymes
GTF2H2	Hs.191356	AI239815	General transcription factor IIH, polypeptide 2 (44 kDa subunit)	3		D	Transcription
TMSB10	Hs.76293	AI679377	Thymosin, beta 10	3		SAGE, F	Cell communication, adhesion or motility
