Probe set	UG	Symbol	Title	Fold Increase	P-value	Adj. P-value
93107_r_at	Mm.123831	Tcrb-V13	T-cell receptor beta, variable 13	155.76	<0.0001	0.001
93662_s_at	Mm.8038	Zap70	Zeta-chain (TCR) associated protein kinase	131.36	<0.0001	0.000
99030_at	Mm.389	Il7r	Interleukin 7 receptor	126.78	<0.0001	0.000
92683_at	Mm.4527	Cd3d	CD3 antigen, delta polypeptide	100.20	<0.0001	0.000
162410_s_at	Mm.333148	Cd8b1	CD8 antigen, beta chain 1	95.19	<0.0001	0.000
93106_i_at	Mm.123831	Tcrb-V13	Similar to T-cell receptor beta chain VNDNJC precursor	78.45	<0.0001	0.000
92203_s_at	Mm.290897	Cd6	CD6 antigen	66.38	<0.0001	0.000
93661_at	Mm.8038	Zap70	Zeta-chain (TCR) associated protein kinase	41.26	<0.0001	0.000
160629_at	Mm.18635	Rgs10	Regulator of G-protein signalling 10	40.31	<0.0001	0.000
96172_at	Mm.333048	Gimap4	GTPase, IMAP family member 4	34.99	0.0106	0.075
93077_s_at	Mm.1583	Ly6c	Lymphocyte antigen 6 complex, locus C	29.46	<0.0001	0.000
92471_i_at	Mm.278689	Slfn2	Schlafen 2	28.26	<0.0001	0.000
97098_at	Mm.3200	1300017K07Rik	RIKEN cDNA 1300017K07 gene	26.26	<0.0001	0.000
102975_at	Mm.1858	Cd8a	CD8 antigen, alpha chain	25.85	<0.0001	0.000
161968_f_at	Mm.14302	Ccr5	Chemokine (C-C motif) receptor 5	25.45	<0.0001	0.000
96881_at	Mm.250474	Commd6	COMM domain containing 6	24.41	<0.0001	0.000
99665_at	Mm.311655	Satb1	Special AT-rich sequence binding protein 1	23.73	0.0001	0.007
103443_at	Mm.292082	Aim1	Absent in melanoma 1	23.68	<0.0001	0.002
92356_at	Mm.395	Ptpn22	Protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	23.59	<0.0001	0.005
95373_at	Mm.22842	Cd2	CD2 antigen	23.58	<0.0001	0.000
92214_at	Mm.113590	Ctsw	Cathepsin W	22.48	<0.0001	0.000
96709_at	Mm.27608	1110008P14Rik	RIKEN cDNA 1110008P14 gene	21.15	0.0383	0.198
93647_at	Mm.324305	Gmip	Gem-interacting protein	21.01	0.0031	0.037
102971_at	Mm.210361	Cd3e	CD3 antigen, epsilon polypeptide	20.15	0.0001	0.004
93105_s_at	Mm.333026	Tcrb-V13	T-cell receptor beta, variable 13	19.68	<0.0001	0.000
100001_at	Mm.335106	Cd3g	CD3 antigen, gamma polypeptide	19.30	<0.0001	0.000
93677_at	Mm.8186	Klrd1	Killer cell lectin-like receptor, subfamily D, member 1	18.87	<0.0001	0.000
94136_at	Mm.371653	5830431A10Rik	RIKEN cDNA 5830431A10 gene	17.89	0.0280	0.167
98904_at	Mm.28579	Mrpl35	Mitochondrial ribosomal protein L35	17.81	0.0171	0.119
94464_at	Mm.259751	Clcn3	Chloride channel 3	17.79	0.0027	0.038
92795_at	Mm.217318	Mtap4	Microtubule-associated protein 4	17.29	0.0181	0.132
97332_at	Mm.238254	Pnkp	Polynucleotide kinase 3- phosphatase	17.21	<0.0001	0.000
95366_at	Unknown	Unknown	Unknown	17.20	<0.0001	0.000
100292_at	Mm.86361	Sh2d2a	SH2 domain protein 2A	16.98	<0.0001	0.000
95024_at	Mm.326911	Usp18	Ubiquitin specific protease 18	15.91	<0.0001	0.000
93484_at	Mm.24356	9130427A09Rik	RIKEN cDNA 9130427A09 gene	15.58	<0.0001	0.000
92718_at	Mm.271275	Ifi27	Interferon, alpha-inducible protein 27	15.39	<0.0001	0.000
98626_at	Mm.38746	1810017G16Rik	RIKEN cDNA 1810017G16 gene	14.82	0.0060	0.046
101176_at	Mm.123925	Lcn4	Lipocalin 4	14.80	<0.0001	0.000
104679_at	Mm.3264	Txk	TXK tyrosine kinase	14.64	<0.0001	0.000
97994_at	Mm.31630	Tcf7	Transcription factor 7, T-cell specific	14.54	<0.0001	0.000
94522_at	Mm.29025	Dctn3	Dynactin 3	14.41	0.0034	0.050
102809_s_at	Mm.293753	Lck	Lymphocyte protein tyrosine kinase	14.32	<0.0001	0.000
96791_at	Mm.34131	1500005K14Rik	RIKEN cDNA 1500005K14 gene	14.09	0.0013	0.028
97770_s_at	Mm.258484	D6Wsu176e	DNA segment, Chr 6, Wayne State University 176, expressed	13.95	0.0026	0.045
95984_at	Mm.25035	C79468	Expressed sequence C79468	13.84	<0.0001	0.000
103932_at	Mm.321937	Gm83	Gene model 83, (NCBI)	13.64	0.0071	0.031
100575_at	Mm.305796	Ard1	N-acetyltransferase ARD1 homolog (S. cerevisiae)	13.61	0.0035	0.051
93533_at	Mm.348506	1500011L16Rik	RIKEN cDNA 1500011L16 gene	13.45	<0.0001	0.003
98615_at	Mm.241387	0610041E09Rik	RIKEN cDNA 0610041E09 gene	13.40	0.0272	0.167
93963_at	Mm.132299	AI661017	Expressed sequence AI661017	13.31	<0.0001	0.003
99150_at	Mm.271062	Ict1	Immature colon carcinoma transcript 1	13.12	0.0197	0.125
102638_at	Mm.12965	Cst7	Cystatin F (leukocystatin)	12.94	0.0014	0.029
98859_at	Mm.46354	Acp5	Acid phosphatase 5, tartrate resistant	12.87	<0.0001	0.000
93584_at	Mm.342177	Igh-6	Immunoglobulin heavy chain 6 (heavy chain of IgM)	12.84	0.0098	0.029
100400_at	Mm.244512	4921531G14Rik	RIKEN cDNA 4921531G14 gene	12.66	0.0045	0.026
97944_f_at	Mm.213248	Tcra	T-cell receptor alpha chain	12.41	0.0016	0.028
103367_at	Mm.1853	Galgt1	UDP-N-acetyl-alpha-D-galactosamine:(N-acetylneuraminyl)-galactosylglucosylceramide-beta-1, 4-N-acetylgalactosaminyltransferase	12.40	0.0004	0.009
160775_at	Mm.359251	Tulp4	Tubby like protein 4	12.37	<0.0001	0.004
98334_at	Mm.42791	Crtam	Cytotoxic and regulatory T cell molecule	12.36	<0.0001	0.000
99510_at	Mm.207496	Prkcb1	Protein kinase C, beta 1	12.34	0.0106	0.065
