Rank	NKI ID	Symbol	Annotation	Accession no.
1	123776	PIAS4	Protein inhibitor of activated STAT protein	H30547
2	129658	MGC13045	DnaJ (Hsp40) homolog, subfamily C, member 4	AA996059
3	121937	FLJ10374	Hypothetical protein FLJ10374	AA676962
4	102847	YIF1	Putative transmembrane protein; homolog of yeast Golgi membrane protein Yif1p (Yip1p-interacting factor)	H79351
5	127755	TGFB2	Transforming growth factor, beta 2	W47556
6	117289	MMP11	Matrix metalloproteinase 11 (stromelysin 3)	AA045500
7	104973	SYNPO2	Synaptopodin 2	R31679
8	121066	DAPK3	Death-associated protein kinase 3	AA973730
9	128493	GMFG	Glia maturation factor, gamma	AI311932
10	105533	ARF1	ADP-ribosylation factor 1	W45572
11	132031		NY-REN-24 antigen	AA918005
12	127881	NFIC	Nuclear factor I/C (CCAAT-binding transcription factor)	T59427
13	120649	KCTD5	Potassium channel tetramerisation domain containing 5	AA521027
14	120934	EIF4G1	Eukaryotic translation initiation factor 4 gamma, 1	R37276
15	105453	PSAP	Prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	N72215
16	112695	SYNPO2	H. sapiens cDNA FLJ20767 fis, clone COL06986	AA043349
17	101577	BMI1	Murine leukaemia viral (bmi-1) oncogene homolog	AA478036
18	105479	BAT3	HLA-B-associated transcript-3	AA434416
19	123071	C9orf82	Hypothetical protein FLJ13657	AA135972
20	101638	ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	AA464856
21	115306	LRP16	LRP16 protein	AA456318
22	118143	STX1B2	ESTs, moderately similar to ST1B_HUMAN SYNTAXIN 1B [H. sapiens]	H41572
23	128106	DUSP6	Dual specificity phosphatase 6	AA455254
24	115676	RPS15A	Ribosomal protein S15a	AA411682
25	108595	CCL19	Small inducible cytokine subfamily A (Cys-Cys), member 19	AA680186
26	126589	C6orf166	Hypothetical protein FLJ10342	AA984953
27	131540	PRPF31	DKFZP566J153 protein	AI253017
28	109065	SYT5		H39018
29	128198	MMP11	Matrix metalloproteinase 11 (stromelysin 3)	AA954935
30	109364	MYST2	Histone acetyltransferase	H11938
31	106989	TNFSF13	Tumour necrosis factor (ligand) superfamily, member 13	AA443577
32	109798			T82459
33	131890	CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	AI671174
34	111513	COG3	H. sapiens clone 25226 mRNA sequence	AA461166
35	108645	HMGCS2	3-Hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	AA496149
36	101651	TRAP1	Heat shock protein 75	AA497020
37	105304	LRP16	LRP16 protein	W52182 | AA284285
38	105363	ARL7	ADP-ribosylation factor-like 7	AA485683
39	127890	PTMS	Parathymosin	AA458981
40	118682	NBS1	Nijmegen breakage syndrome 1 (nibrin)	H98655
41	108997	PTTG1IP	Pituitary tumour-transforming 1 interacting protein	AA156461
42	110281	HSPA1L	Heat shock 70-kD protein-like 1	H17513
43	125700	APC2	Adenomatous polyposis coli like	AA976241
44	117139	ALDOB	Aldolase B, fructose-bisphosphate	H72098
45	107595	SOX17	SRY-box 17	AA427400 | AI732705
46	107375	NUCKS	Similar to rat nuclear ubiquitous casein kinase 2	AA137266
47	109238	BSG	Basigin (OK blood group)	AA436440
48	122821	NSE2	ESTs	H30453
49	123689	LOC339123	STIP1 homology and U-Box containing protein 1	R54844
50	115953	LOC146542	Human Chromosome 16 BAC clone CIT987SK-A-635H12	AA455010
51	108960	GABRD		H41122
52	128222	GLUL	Glutamate-ammonia ligase (glutamine synthase)	AI000103
53	100222	NFIX	Nuclear factor I/X (CCAAT-binding transcription factor)	AA406269
54	105470	ISYNA1	Myo-inositol 1-phosphate synthase A1	AA454554
55	117998	RBM9	RNA binding motif protein 9	H03903
56	105404	GDF15	Prostate differentiation factor	N26311
57	127811	TOB1	Transducer of ERBB2, 1	W96163
58	105524	RPS6KA4	Ribosomal protein S6 kinase, 90-kD, polypeptide 4	AA443601
59	109232	BCKDHA	Branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)	AA477298
60	115741	APPL	Adaptor protein containing pH domain, PTB domain and leucine zipper motif	AA436158
61	100898	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific)	AA434373
62	101067	MAP7	Microtubule-associated protein 7	R77252 | R77251
63	109306	AQP1	Aquaporin 1 (channel-forming integral protein, 28 kD)	H24316
64	102326	CYC1	Cytochrome c-1	AA447774
65	108988	MALAT1	Histone deacetylase 3	H88540
66	102253	ACTG2	Actin, gamma 2, smooth muscle, enteric	T60048
67	116834	GPC1	Glypican 1	AA455896
68	105497	HNRPK	Heterogeneous nuclear ribonucleoprotein K	W85697
69	108372	LCP1	Lymphocyte cytosolic protein 1 (L-plastin)	W73144
70	128634	PRCP	Prolylcarboxypeptidase (angiotensinase C)	AI360366
71	106297	PHF17	Hypothetical protein FLJ22479	AA136664
72	101616	KRT19	Keratin 19	AA464250
73	128532	LTB	Lymphotoxin beta (TNF superfamily, member 3)	AI351740
74	102385	F13A1	Coagulation factor XIII, A1 polypeptide	AA449742
75	102673	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	T97900
76	109638	CXXC1	CpG binding protein	T60082
77	109116	FBL	Fibrillarin	AA663986
78	109425	TUBB	Tubulin, beta polypeptide	AA427899
79	117500		EST	AA621138
80	100656	UBE2C	Ubiquitin carrier protein E2-C	AA430504
