Probe ID	SYM	FDR	FC.A21.A14	Map
49452_at	ACACB	0.015314153	2.188823512	12q24.11
210962_s_at	AKAP9	0.085838727	-1.469857793	7q21-q22
204151_x_at	AKR1C1	0.011586374	1.756204116	10p15-p14
209699_x_at	AKR1C2	0.002554962	2.186417494	10p15-p14
211653_x_at	AKR1C2	0.025921568	1.82885696	10p15-p14
209160_at	AKR1C3	0.018016743	1.889376637	10p15-p14
202672_s_at	ATF3	0.011746902	2.397046708	1q32.3
219747_at	C4orf31	0.080356256	-1.703641799	4q27
216598_s_at	CCL2	0.042395008	3.467038892	17q11.2-q12
209396_s_at	CHI3L1	0.042499954	2.375309051	1q32.1
218142_s_at	CRBN	0.019304952	-2.031619635	3p26.3
202158_s_at	CUGBP2	0.029026442	4.185040395	10p13
205818_at	DBC1	0.019350123	2.195738029	9q32-q33
211478_s_at	DPP4	0.085838727	-8.749142815	2q24.3
212670_at	ELN	0.001439889	-6.377889848	7q11.23
210220_at	FZD2	0.048614986	-1.713608077	17q21.1
201141_at	GPNMB	0.080356256	-1.683754345	7p15
213170_at	GPX7	0.048614986	-1.442572322	1p32
205524_s_at	HAPLN1	0.011961899	-6.644391302	5q14.3
205523_at	HAPLN1	0.042395008	-2.52546318	5q14.3
206432_at	HAS2	0.007359324	-1.950238525	8q24.12
200799_at	HSPA1A	0.029026442	1.754151879	6p21.3
213418_at	HSPA6	0.007054919	37.48536041	1q23
210239_at	IRX5	0.0538866	-1.656720976	16q11.2-q13
52837_at	KIAA1644	0.019304952	-1.921955682	NA
201088_at	KPNA2	0.085838727	-1.646710794	17q24.2
36711_at	MAFF	0.029026442	2.124908695	22q13.1
209758_s_at	MFAP5	0.019304952	-2.097809884	12p13.1-p12.3
213764_s_at	MFAP5	0.019350123	-2.18553297	12p13.1-p12.3
213765_at	MFAP5	0.041175909	-2.600072587	12p13.1-p12.3
215058_at	MGC24039	0.002554962	-3.799862436	12p11.21
205246_at	PEX13	0.011586374	-2.716844404	2p14-p16
211737_x_at	PTN	0.042395008	-1.933303229	7q33-q34
203813_s_at	SLIT3	0.01215012	-2.692222014	5q35
209946_at	VEGFC	0.030647069	-1.580656079	4q34.1-q34.3
