Gene Symbol	Gene Description	6 h fold change	36 h fold change	72 h fold change
AF016050	VEGF 165 receptor/neuropilin	210.2	22.2	27.9
M63978	vascular endothelial growth factor	29.9	23.3	25
X74039	urokinase plasminogen activator receptor	22.3	28	28.5
U62801	protease M	22.2	210.6	215.6
J05070	type IV collagenase	23	26	26.6
L42379	bone-derived growth factor (BPGF-1)	22.4	23.7	26.4
U80811	lysophosphatidic acid receptor	218.5	217.3	28.7
U12471	thrombospondin-1 gene	23.2	227.9	226.1
X14787	mRNA for thrombospondin	24.8	212	217.5
U34038	proteinase-activated receptor-2	24.4	23.1	25.5
M19154	transforming growth factor-b2	25.5	222.3	217.3
M54995	connective tissue activation peptide III	1.4	2	3.1
X78947	connective tissue growth factor	1.2	1.5	2.3
