Affy ID	Gene Symbol	Gene name	Cellular location	Family	UniGene ID	RefSeq Transcript ID	MSC	MAPC- 1	MAPC-2	ESC
1448595_a_at	Rex3	brain expressed gene 1	Unknown	other	Mm.378997	NM_009052	5.5	8554.5	9922.1	10936.4
1452730_at	1110033J19Rik	RIKEN cDNA 1110033J19 gene			Mm.3572	NM_025405	1.4	5120.8	3912.0	5028.3
1437052_s_at	Slc2A3	solute carrier family 2 (facilitated glucose transporter), member 3	Plasma Membrane	transporter	Mm.269857	NM_011401	6.2	6262.4	7032.0	5602.4
1423429_at	Pem	placentae and embryos oncofetal gene		transcription regulator	Mm.6923	NM_008818	5.1	5131.4	5010.5	5178.5
1424152_at	Sall4	sal-like 4 (Drosophila)		transcription regulator	Mm.256916	NM_175303 /// NM_201395 /// NM_201396	3.3	4322.8	3841.9	4616.8
1434067_at	Ai662270	expressed sequence AI662270			---	---	0.7	2559.1	1514.5	2582.1
1460226_at	Trap1A	tumor rejection antigen P1A			Mm.1297	NM_011635	3.0	3406.3	3957.4	2383.5
1428209_at	Bexl1	brain expressed X-linked-like 1			Mm.336245	NM_212457	1.4	1198.4	2470.6	2729.0
1433924_at	Peg3	paternally expressed 3	Nucleus	kinase	Mm.7952	NM_001010988 /// NM_008817	5.5	1300.2	3797.2	5065.3
1437752_at	Lin28	lin-28 homolog (C. elegans)			Mm.302567	NM_145833	5.7	2637.0	2006.8	2886.9
1429701_at	2410003J06Rik	RIKEN cDNA 2410003J06 gene			Mm.379207	XM_135953	1.5	1899.7	1271.2	2482.1
1417155_at	Mycn	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	Nucleus	transcription regulator	Mm.16469	NM_008709	3.5	1813.1	1879.4	4554.9
1425035_s_at	Dnmt3L	DNA (cytosine-5-)-methyltransferase 3-like	Nucleus	transcription regulator	Mm.13433	NM_019448	7.0	2047.4	1713.1	2271.9
1416552_at	Dppa5	developmental pluripotency associated 5			---	NM_025274	14.5	1772.1	2962.2	9205.6
1457314_at	Ecat11	hypothetical protein FLJ10884			Mm.34340	XM_355549	11.4	1454.6	1727.7	5889.5
1448169_at	Krt18	keratin 18	Cytoplasm	other	Mm.22479	NM_010664	3.4	2721.4	3235.8	778.2
