Probe Set ID	Upregulated in	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
225764_at	Medullary	ETV6	ets variant gene 6 (TEL oncogene)	NM_001987	12p13
207535_s_at	Medullary	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NM_002502	10q24
239973_at	Medullary		Full-length cDNA clone CS0DJ013YE21 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human)
209397_at	Medullary	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	NM_002396	6p25-p24|18q21
222062_at	Medullary	IL27RA	interleukin 27 receptor, alpha	NM_004843	19p13.11
1559051_s_at	Medullary	C6orf150	chromosome 6 open reading frame 150	NM_138441	6q13
221185_s_at	Medullary	IQCG	IQ motif containing G	NM_032263	3q29
210154_at	Medullary	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	NM_002396	6p25-p24|18q21
210153_s_at	Medullary	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	NM_002396	6p25-p24|18q21
221698_s_at	Medullary	CLEC7A	C-type lectin domain family 7, member A /// C-type lectin domain family 7, member A	NM_022570 /// NM_197947 /// NM_197948 /// NM_197949 /// NM_197950 /// NM_197951 /// NM_197952 /// NM_197953 /// NM_197954	12p13.2-p12.3
205926_at	Medullary	IL27RA	interleukin 27 receptor, alpha	NM_004843	19p13.11
218746_at	Medullary	TAPBPL	TAP binding protein-like	NM_018009	12p13.31
218983_at	Medullary	C1RL	complement component 1, r subcomponent-like	NM_016546	12p13.31
202637_s_at	Medullary	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	NM_000201	19p13.3-p13.2
205205_at	Medullary	RELB	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	NM_006509	19q13.31-q13.32
201160_s_at	Medullary	CSDA	cold shock domain protein A	NM_003651	12p13.1
207375_s_at	Medullary	IL15RA	interleukin 15 receptor, alpha	NM_002189 /// NM_172200	10p15-p14
212771_at	Medullary	C10orf38	chromosome 10 open reading frame 38	XM_167709	10p13
213923_at	Medullary	RAP2B	RAP2B, member of RAS oncogene family	NM_002886	3q25.2
203828_s_at	Medullary	IL32	interleukin 32 /// interleukin 32	NM_001012631 /// NM_001012632 /// NM_001012633 /// NM_001012634 /// NM_001012635 /// NM_001012636 /// NM_001012718 /// NM_004221	16p13.3
1555756_a_at	Medullary	CLEC7A	C-type lectin domain family 7, member A	NM_022570 /// NM_197947 /// NM_197948 /// NM_197949 /// NM_197950 /// NM_197951 /// NM_197952 /// NM_197953 /// NM_197954	12p13.2-p12.3
202638_s_at	Medullary	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	NM_000201	19p13.3-p13.2
201161_s_at	Medullary	CSDA	cold shock domain protein A	NM_003651	12p13.1
227697_at	Medullary	SOCS3	suppressor of cytokine signaling 3	NM_003955	17q25.3
221680_s_at	Medullary	ETV7	ets variant gene 7 (TEL2 oncogene)	NM_016135	6p21
219265_at	Medullary	MOBKL2B	MOB1, Mps One Binder kinase activator-like 2B (yeast)	NM_024761	9p21.2
218747_s_at	Medullary	TAPBPL	TAP binding protein-like	NM_018009	12p13.31
221436_s_at	Medullary	CDCA3	cell division cycle associated 3 /// cell division cycle associated 3	NM_031299	12p13
223454_at	Medullary	CXCL16	chemokine (C-X-C motif) ligand 16	NM_022059	17p13
203422_at	Medullary	POLD1	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	NM_002691	19q13.3
209636_at	Medullary	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NM_002502	10q24
221477_s_at	Medullary	MGC5618	hypothetical protein MGC5618
215485_s_at	Medullary	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	NM_000201	19p13.3-p13.2
200039_s_at	Medullary	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2 /// proteasome (prosome, macropain) subunit, beta type, 2	NM_002794	1p34.2
235783_at	Medullary	C1orf33	Chromosome 1 open reading frame 33	NM_016183	1p36.13
202384_s_at	Medullary	TCOF1	Treacher Collins-Franceschetti syndrome 1	NM_000356 /// NM_001008656 /// NM_001008657	5q32-q33.1
229625_at	Medullary	GBP5	Guanylate binding protein 5	NM_052942	1p22.2
214427_at	Medullary	NOL1	nucleolar protein 1, 120kDa	NM_006170	12p13
215223_s_at	Medullary	SOD2	superoxide dismutase 2, mitochondrial	NM_000636	6q25.3
207740_s_at	Medullary	NUP62	nucleoporin 62kDa	NM_012346 /// NM_016553 /// NM_153718 /// NM_153719	19q13.33
201554_x_at	Medullary	GYG	glycogenin	NM_004130	3q24-q25.1
202510_s_at	Medullary	TNFAIP2	tumor necrosis factor, alpha-induced protein 2	NM_006291	14q32
202385_s_at	Medullary	TCOF1	Treacher Collins-Franceschetti syndrome 1	NM_000356 /// NM_001008656 /// NM_001008657	5q32-q33.1
211275_s_at	Medullary	GYG	glycogenin	NM_004130	3q24-q25.1
203927_at	Medullary	NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	NM_004556	6p21.1
225919_s_at	Medullary	C9orf72	chromosome 9 open reading frame 72	NM_018325 /// NM_145005	9p21.2
1554406_a_at	Medullary	CLEC7A	C-type lectin domain family 7, member A	NM_022570 /// NM_197947 /// NM_197948 /// NM_197949 /// NM_197950 /// NM_197951 /// NM_197952 /// NM_197953 /// NM_197954	12p13.2-p12.3
235056_at	Medullary	ETV6	ets variant gene 6 (TEL oncogene)	NM_001987	12p13
202963_at	Medullary	RFX5	regulatory factor X, 5 (influences HLA class II expression)	NM_000449	1q21
216841_s_at	Medullary	SOD2	superoxide dismutase 2, mitochondrial	NM_000636	6q25.3
218594_at	Medullary	FLJ10359	protein BAP28	XM_375853	1q43
202307_s_at	Medullary	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000593	6p21.3
218595_s_at	Medullary	FLJ10359	protein BAP28	XM_375853	1q43
204279_at	Medullary	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	NM_002800 /// NM_148954	6p21.3
205890_s_at	Medullary	UBD	ubiquitin D	NM_006398	6p21.3
204629_at	Medullary	PARVB	parvin, beta	NM_001003828 /// NM_013327	22q13.2-q13.33
204962_s_at	Medullary	CENPA	centromere protein A, 17kDa	NM_001809	2p24-p21
202964_s_at	Medullary	RFX5	regulatory factor X, 5 (influences HLA class II expression)	NM_000449	1q21
210538_s_at	Medullary	BIRC3	baculoviral IAP repeat-containing 3	NM_001165 /// NM_182962	11q22
202531_at	Medullary	IRF1	interferon regulatory factor 1	NM_002198	5q31.1
204725_s_at	Medullary	NCK1	NCK adaptor protein 1	NM_006153	3q21
213564_x_at	Medullary	LDHB	lactate dehydrogenase B	NM_002300	12p12.2-p12.1
37965_at	Medullary	PARVB	parvin, beta	NM_001003828 /// NM_013327	22q13.2-q13.33
201600_at	Medullary	PHB2	prohibitin 2	NM_007273	12p13
201030_x_at	Medullary	LDHB	lactate dehydrogenase B	NM_002300	12p12.2-p12.1
221586_s_at	Medullary	E2F5	E2F transcription factor 5, p130-binding	NM_001951	8q21.2
238010_at	Medullary	LOC339448	hypothetical protein LOC339448	NM_207356	1p36.32
206082_at	Medullary	HCP5	HLA complex P5	NM_006674	6p21.3
223414_s_at	Medullary	LYAR	hypothetical protein FLJ20425	NM_017816	4p16.3
