ID	Name	Symbol	Accession	UniGene	Gene	Ensembl	aveA	P400vsEGFP.M	P400vsEGFP.AdjP	P400vsEGFP.FDR	P400vsEGFP.B	Description	Coordinates	A	D	C	B
A_51_P409173	lactate dehydrogenase B	Ldhb	NM_008492	Mm.9745	16832	ENSMUST00000032373	15.579	-1.556	0.26	0	3.855	Mus musculus lactate dehydrogenase B (Ldhb), mRNA [NM_008492]	chr6:142578068-142578009	-1.326	1.886	-1.321	1.69
A_51_P401024	leucine rich repeat containing 34	Lrrc34	BC100519	Mm.45373	71827	ENSMUST00000029252	11.903	-1.536	0.818	0.001	2.569	Mus musculus leucine rich repeat containing 34, mRNA (cDNA clone MGC:118377 IMAGE:30919449), complete cds. [BC100519]	chr3:30436368-30436309	-1.577	1.363	-2.003	1.201
A_51_P240501	RIKEN cDNA 4930583H14 gene	4930583H14Rik	NM_026358	Mm.273339	67749	ENSMUST00000038154	11.414	-1.463	0.295	0	3.713	Mus musculus RIKEN cDNA 4930583H14 gene (4930583H14Rik), mRNA [NM_026358]	chr3:51513156-51513097	-1.205	1.574	-1.786	1.289
A_52_P88878	neighbor of Punc E11	Nope	NM_020043	Mm.209041	56741	ENSMUST00000035499	8.08	-1.372	0.017	0	6.818	Mus musculus neighbor of Punc E11 (Nope), mRNA [NM_020043]	chr9:65167156-65167215	-1.434	1.249	-1.312	1.492
A_51_P339331	NK6 transcription factor related, locus 3 (Drosophila)	Nkx6-3	AK147163	Mm.290028	74561	ENSMUST00000071588	8.413	-1.361	0.782	0.001	2.62	Mus musculus 17 days embryo stomach cDNA, RIKEN full-length enriched library, clone:I920192K22 product:hypothetical Homeobox containing protein, full insert sequence. [AK147163]	chr8:21943759-21943818	-1.135	1.734	-1.47	1.105
A_51_P412914	embryonal Fyn-associated substrate	Efs	NM_010112	Mm.236438	13644		11.15	-1.346	0.724	0.001	2.708	Mus musculus embryonal Fyn-associated substrate (Efs), mRNA [NM_010112]	chr14:49783450-49783391	-1.157	1.076	-1.714	1.436
A_52_P108850	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	St8sia1	NM_011374	Mm.260838	20449	ENSMUST00000032421	8.98	-1.345	0.029	0	6.25	Mus musculus ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 (St8sia1), mRNA [NM_011374]	chr6:142913081-142913022	-1.519	1.34	-1.316	1.207
A_52_P64383	Kruppel-like factor 15	Klf15	NM_023184	Mm.41389	66277	ENSMUST00000032174	10.607	-1.323	1	0.002	1.128	Mus musculus Kruppel-like factor 15 (Klf15), mRNA [NM_023184]	chr6:90553698-90553757	-0.868	1.183	-1.723	1.519
A_52_P177599	RIKEN cDNA 2810409K11 gene	2810409K11Rik	AK031040	Mm.159732	76373		11.175	-1.237	0.047	0	5.714	Mus musculus adult male thymus cDNA, RIKEN full-length enriched library, clone:5832424I11 product:weakly similar to ZFP71P homolog [Mus musculus], full insert sequence. [AK031040]	chr7:006686097-006686038	-1.134	1.199	-1.186	1.426
A_52_P586851	embryonal Fyn-associated substrate	Efs	NM_010112	Mm.236438	13644		10.837	-1.192	0.049	0	5.673	Mus musculus embryonal Fyn-associated substrate (Efs), mRNA [NM_010112]	chr14:49783532-49783473	-1.22	1.047	-1.339	1.162
A_51_P274465	synaptonemal complex protein 3	Sycp3	NM_011517	Mm.297977	20962		11.298	-1.183	0.129	0	4.632	Mus musculus synaptonemal complex protein 3 (Sycp3), mRNA [NM_011517]	chr10:88027463-88030553	-1.161	1.182	-1.393	0.997
A_52_P661982	expressed sequence AW822216	AW822216	NM_178884	Mm.236454	98733	ENSMUST00000027412	9.734	-1.177	0.394	0.001	3.392	Mus musculus expressed sequence AW822216 (AW822216), mRNA [NM_178884]	chr1:75716817-75716758	-1.167	0.879	-1.319	1.345
A_51_P431885	DnaJ (Hsp40) homolog, subfamily C, member 6	Dnajc6	NM_198412	Mm.76494	72685	ENSMUST00000038207	9.754	-1.166	0.632	0.001	2.861	Mus musculus DnaJ (Hsp40) homolog, subfamily C, member 6 (Dnajc6), mRNA [NM_198412]	chr4:101018867-101018926	-1.364	1.373	-0.932	0.995
A_52_P59285	RIKEN cDNA 2810410L24 gene	2810410L24Rik	AK162474	Mm.269766	76377		7.604	-1.164	0.052	0	5.619	Mus musculus 12 days embryo embryonic body between diaphragm region and neck cDNA, RIKEN full-length enriched library, clone:9430079N08 product:hypothetical protein, full insert sequence [AK162474]	chr11:120297559-120297500	-1.211	1.301	-1.113	1.029
A_51_P255657	RIKEN cDNA 2210011C24 gene	2210011C24Rik	XM_985599	Mm.41017	70134		10.448	-1.162	0.51	0.001	3.102	PREDICTED: Mus musculus RIKEN cDNA 2210011C24 gene (2210011C24Rik), mRNA [XM_985599]	chr8:82588078-82588019	-0.866	1.282	-1.377	1.124
A_51_P508259	expressed sequence C79127	C79127	NM_177691	Mm.134068	232941	ENSMUST00000032560	9.407	-1.133	1	0.001	2.231	Mus musculus expressed sequence C79127 (C79127), mRNA [NM_177691]	chr7:16959256-16959197	-0.914	1.451	-0.935	1.231
A_52_P67463	RIKEN cDNA 1810026B05 gene	1810026B05Rik	AK140938	Mm.34539	69170		8.019	-1.127	0.039	0	5.911	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130076G01 product:unclassifiable, full insert sequence [AK140938]	chr7:69392636-69392577	-1.094	1.256	-1.025	1.134
A_52_P570240	kelch repeat and BTB (POZ) domain containing 11	Kbtbd11	BC080858	Mm.46675	74901	ENSMUST00000069399	11.141	-1.123	0.338	0	3.561	Mus musculus kelch repeat and BTB (POZ) domain containing 11, mRNA (cDNA clone IMAGE:6852896), with apparent retained intron. [BC080858]	chr8:15007303-15007362	-0.95	1.249	-0.966	1.326
A_52_P387458	RIKEN cDNA 1810035L17 gene	1810035L17Rik	AJ293625	Mm.355701	380773	ENSMUST00000101175	9.496	-1.12	1	0.001	1.58	Mus musculus partial mRNA for hypothetical protein, clone Telethon(Italy_B41)_Strait04872_FL313. [AJ293625]	chr12:85670649-85670590	-0.751	1.418	-1.252	1.059
A_52_P408391	neurogenic differentiation 1	Neurod1	NM_010894	Mm.4636	18012	ENSMUST00000041099	7.103	-1.12	1	0.002	0.836	Mus musculus neurogenic differentiation 1 (Neurod1), mRNA [NM_010894]	chr2:79297239-79297180	-1.387	0.739	-0.954	1.401
A_51_P457196	secreted frizzled-related sequence protein 4	Sfrp4	NM_016687	Mm.42095	20379	ENSMUST00000002883	9.034	-1.105	1	0.001	2.115	Mus musculus secreted frizzled-related sequence protein 4 (Sfrp4), mRNA [NM_016687]	chr13:18999998-19000057	-1.012	1.447	-0.843	1.118
A_51_P385639	gap junction membrane channel protein beta 5	Gjb5	NM_010291	Mm.26859	14622	ENSMUST00000046498	10.244	-1.098	1	0.001	2.241	Mus musculus gap junction membrane channel protein beta 5 (Gjb5), mRNA [NM_010291]	chr4:126800127-126800068	-0.843	1.345	-1.27	0.935
A_52_P115787	growth factor receptor bound protein 10	Grb10	NM_010345	Mm.273117	14783	ENSMUST00000078449	12.584	-1.096	0.814	0.001	2.575	Mus musculus growth factor receptor bound protein 10 (Grb10), mRNA [NM_010345]	chr11:11883029-11882970	-1.353	1.059	-0.803	1.168
A_51_P325904	inhibin beta-B	Inhbb	NM_008381	Mm.3092	16324	ENSMUST00000038765	11.489	-1.09	0.057	0	5.514	Mus musculus inhibin beta-B (Inhbb), mRNA [NM_008381]	chr1:119276084-119276025	-0.944	1.151	-1.087	1.179
A_51_P331805	potassium channel tetramerisation domain containing 15	Kctd15	NM_146188	Mm.214380	233107	ENSMUST00000032709	11.766	-1.085	1	0.002	0.678	Mus musculus potassium channel tetramerisation domain containing 15 (Kctd15), mRNA [NM_146188]	chr7:31526647-31526588	-0.6	1.255	-1.201	1.285
A_52_P510821	RIKEN cDNA 9630008K15 gene	9630008K15Rik	BC096464	Mm.68286	269637	ENSMUST00000094936	10.575	-1.083	0.657	0.001	2.816	Mus musculus RIKEN cDNA 9630008K15 gene, mRNA (cDNA clone MGC:106203 IMAGE:6390940), complete cds. [BC096464]	chr5:27235164-27235105	-1.354	1.157	-0.897	0.923
A_51_P257743	RIKEN cDNA 2810451A06 gene	2810451A06Rik	NM_176835	Mm.30544	72778	ENSMUST00000061295	8.902	-1.069	0.517	0.001	3.087	Mus musculus RIKEN cDNA 2810451A06 gene (2810451A06Rik), mRNA [NM_176835]	chr15:99089866-99089925	-0.921	1.346	-1.085	0.925
A_51_P320523	protein phosphatase 2, regulatory subunit B (B56), gamma isoform	Ppp2r5c	NM_012023	Mm.240396	26931	ENSMUST00000065483	11.758	-1.058	1	0.002	0.444	Mus musculus protein phosphatase 2, regulatory subunit B (B56), gamma isoform (Ppp2r5c), mRNA [NM_012023]	chr12:108088967-108089026	-0.947	0.738	-1.517	1.031
A_51_P490247	FXYD domain-containing ion transport regulator 6	Fxyd6	NM_022004	Mm.208287	59095	ENSMUST00000085939	10.574	-1.057	1	0.002	0.736	Mus musculus FXYD domain-containing ion transport regulator 6 (Fxyd6), mRNA [NM_022004]	chr9:45349041-45349809	-0.766	0.903	-1.076	1.485
A_51_P160754	apolipoprotein B editing complex 1	Apobec1	NM_031159	Mm.3333	11810	ENSMUST00000043216	9.579	-1.037	0.148	0	4.477	Mus musculus apolipoprotein B editing complex 1 (Apobec1), mRNA [NM_031159]	chr6:122614881-122614822	-1.021	1.23	-0.933	0.963
