ProbeID	Description	GeneBank/RefSeq Id
A_23_P20223	ribonucleotide reductase M2 B (TP53 inducible) A	L137348
A_23_P14734	ribosomal protein S27-like	NM_015920
A_23_P214222	myristoylated alanine-rich protein kinase C substrate	NM_002356
A_23_P86653	proteoglycan 1, secretory granule	NM_002727
A_23_P122144	hypothetical protein FLJ34658	NM_152404
A_23_P118065	hydroxysteroid (17-beta) dehydrogenase 2	NM_002153
A_23_P32249	formin binding protein 1 A	K001616
A_23_P84219	lipase, member H A	K074229
A_23_P41344	epiregulin	NM_001432
A_23_P203498	tripartite motif-containing 22 B	C035582
A_23_P11543	fucosidase, alpha-L- 1, tissue	NM_000147
A_23_P129389	zinc finger, DHHC domain containing 7	NM_017740
A_23_P63032	guanylate cyclase activator 2B (uroguanylin)	NM_007102
A_23_P84483	chromosome 7 open reading frame 10 A	K021870
A_23_P30582	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3	NM_004174
A_23_P254645	F-box and WD-40 domain protein 2 A	F176698
A_23_P163440	A	B095929
A_23_P102731	chromosome 20 open reading frame 16	NM_175839
A_23_P218928	hypothetical protein DKFZp434L142	NM_016613
A_23_P128486	chromosome 12 open reading frame 5	NM_020375
A_23_P251730	hypothetical protein FLJ34233 A	K091552
A_23_P37375	ribosomal protein S6 kinase, 90kDa, polypeptide 5	NM_004755
A_23_P70915	chromosome 7 open reading frame 19 B	C009183
A_23_P212099	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	L07077
A_23_P206018	tropomyosin 1 (alpha)	Z24727
A_23_P59005	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000593
A_23_P111701	guanine nucleotide binding protein (G protein), gamma 11	NM_004126
A_23_P106656	carbonic anhydrase VII	NM_005182
A_23_P113283	p53 target zinc finger protein A	K022358
A_23_P11520	CGI-30 protein A	K000146
A_23_P80068	BTG family, member 3	NM_006806
A_23_P211926	wingless-type MMTV integration site family, member 5A A	K090582
A_23_P204937	RGC32 protein	NM_014059
A_23_P201551	vav 3 oncogene	NM_006113
A_23_P132914	hypothetical protein BC001096 B	C001096
A_23_P78170	MYB binding protein (P160) 1a	NM_014520
