Operon Probe	U133A	Symbol	Description	Map	Genbank	Biological process	Recurrence  P value	Recurrence  HR	Ca-related death  P value	Ca-related death  HR
H200003874	210907_s_at	PDCD10	Programmed cell death 10	3q26.1	NM_007217	apoptosis	0.0107	0.3	0.0034	0.26
H200004567	219036_at	BITE	P10-binding protein	3q22-q23	NM_024491	binding	0.0064	2.63	0.0095	2.44
H200020763	218686_s_at	RHBDF1	Rhomboid 5 homolog 1 (Drosophila)	16p13.3	AK056708	binding	0.0439	2.13	0.0071	2.78
H200000790		RAB11FIP4	RAB11 family interacting protein 4 (class II)	17	AB058724	binding	0.0032	0.18	0.0908	0.5
H200010823	205979_at	SCGB2A1	Secretoglobin, family 2A, member 1	11q13	NM_002407	binding	0.0078	0.09	0.0151	0.14
H200004340	219983_at	HRASLS	HRAS-like suppressor	3q29	NM_020386	cell cycle & DNA repair	0.0042	3.23	0.0005	3.57
H200008447	217569_x_at	FLJ21836	Homo sapiens cDNA: FLJ21836 fis, clone HEP01654	2p24.2	AK025489	cell cycle & DNA repair	0.0025	0.37	0.0006	0.26
H200003875	222233_s_at	DCLRE1C	DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)	10p13	NM_022487	cell cycle & DNA repair; immune response apoptosis; cell cycle & DNA repair; cell proliferation, motility & adhesion; signal transduction & cell communication; kinase activity	0.0036	0.21	0.031	0.29
H200007904	212587_s_at	PTPRC	Protein tyrosine phosphatase, receptor type, C	1q31-q32	NM_002838		0.0092	2.7	0.0147	2.86
H200003528	204503_at	EVPL	Envoplakin	17q25	NM_001988	cell differentiation	0.0091	5	0.0134	5
H200018087	210913_at	CDH20	Cadherin 20, type 2	18q22-q23	NM_031891	cell proliferation, motility & adhesion cell proliferation, motility & adhesion; cellular localization; transcription, cellular process & metabolism	0.0008	5.56	0.0001	7.69
H200006894	203476_at	TPBG	Trophoblast glycoprotein	6q14-q15	NM_006670		0.0014	3.85	0.0003	6.25
H200008968	09493_at	PDZD2	PDZ domain containing 2	5p13.3	AK021922	cell proliferation, motility & adhesion cell proliferation, motility & adhesion; cellular localization; immune response	0.0032	3.45	0.0024	3.85
H200004846	213160_at	DOCK2	Dedicator of cytokinesis 2	5q35.1	BC016996		0.004	3.7	0.0187	3.45
H200010464	207481_at	C11orf10	Chromosome 11 open reading frame 10	11q12-q13.1	NM_014206	cell proliferation, motility & adhesion cell proliferation, motility & adhesion; immune response; development	0.0051	4	0.0099	3.13
H200005086	207802_at	CRISP3	Cysteine-rich secretory protein 3	6p12.3	NM_006061		0.0087	3.33	0.0694	2.27
H200010852	209744_x_at	ITCH	Atrophin-1 interating protein 4	20q11.21	NM_031483	cell proliferation, motility & adhesion; transcription, cellular process & metabolism	0.0188	2.56	0.0075	2.94
H200015112	201654_s_at	HSPG2	Heparan sulfate proteoglycan 2 (perlecan)	1p36.1-p34	NM_005529	cell proliferation, motility & adhesion cell proliferation, motility & adhesion;	0.0238	3.23	0.0049	6.25
H200016313		LMLN	Leishmanolysin-like (metallopeptidase M8 family)	3q29	NM_033029		0.013	0.29	0.0079	0.29
H200001686	209656_s_at	TMEM47	Transmembrane protein 47	Xp11.4	NM_031442	cellular localization	0.0032	6.25	0.0004	7.14
H200001427	221221_s_at	KLHL3	Kelch-like 3 (Drosophila)	5q31	NM_017415	cellular localization	0.0079	3.23	0.0077	3.33
H200002369	220774_at	DYM	Dymeclin	18q12-q21.1	NM_017653	cellular localization	0.0031	0.31	0.0256	0.41
H200014204	208475_at	FRMD4A	Ferm domain containing 4A	10p13	AB037715	cellular localization	0.0058	0.29	0.0057	0.3
H200014944	207910_at	SCGB1D1	Secretoglobin, family 1D, member 1	11q13	NM_006552	cellular localization	0.0099	0.32	0.0282	0.38
H200003384	205953_at	LRIG2	Leucine-rich repeats and immunoglobulin-like domains 2	1p13.1	NM_014813	cellular localization	0.0503	0.47	0.0088	0.31
H200007432	218587_s_at	C3orf9	Chromosome 3 open reading frame 9	3q13.33	NM_020231	cellular localization	0.0064	7.14	0.0453	3.7
H200020826	203672_x_at	C18orf15	Chromosome 18 open reading frame 15	18p11.2	AK055900	cellular localization	0.0247	2.86	0.0062	3.03
H200012168	210190_at	STX11	Syntaxin 11	6q24.2	NM_003764	cellular localization; energy & transport	0.0026	4.76	0.0192	4.76
H200005447	205542_at	STEAP1	Six transmembrane epithelial antigen of the prostate	7q21	NM_012449	energy & transport	0.015	3.57	0.0091	4
H200003917	218361_at	GOLPH3L	Golgi phosphoprotein 3-like	1q21.2	NM_018178	energy & transport	0.0015	0.24	0.0004	0.18
H200010820	205761_s_at	PP35	Protein similar to E.coli yhdg and R. capsulatus nifR3	7q22-q31	NM_007016	energy & transport	0.0304	0.45	0.0055	0.3
H200019476	216682_s_at	P38IP	Transcription factor (p38 interacting protein)	13q13.3	NM_017569	protein biosynthesis	0.0057	0.19	0.0046	0.22
H200002011		FAM11A	Family with sequence similarity 11, member A	Xq28	AF353675	protein biosynthesis	0.0616	0.43	0.0079	0.3
H200018390	218977_s_at	TRSPAP1	tRNA selenocysteine associated protein 1	1p35.3	AF118082	RNA processing & translation; protein biosynthesis	0.0621	2.13	0.0067	3.13
H200003976	200892_s_at	SFRS10	Splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	3q26.2-q27	NM_004593	RNA processing & translation	0.138	0.6	0.0076	0.18
H200011904	219654_at	PTPLA	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	10p14-p13	NM_014241	signal transduction & cell communication; transcription, cellular process & metabolism; kinase activity	0.0034	4.35	0.0038	3.7
H200015606	205798_at	IL7R	Interleukin 7 receptor	5p13	NM_002185	signal transduction & cell communication; transcription, cellular process & metabolism; immune reponse	0.0132	4.35	0.0065	4.76
H200010328	214921_at	KCNMA1	Potassium large conductance calcium-activated channel, subfamily M, alpha member 1	10q22.3	U11058	signal transduction & cell communication; energy & transport	0.0085	0.25	0.0049	0.24
H200008523	202063_s_at	SEL1L	Sel-1 suppressor of lin-12-like (C. elegans)	14q24.3-q31	AB020335	signal transduction & cell communication	0.0095	0.33	0.1629	0.58
H200009701	219996_at	ASB7	ankyrin repeat and SOCS box-containing 7	15	AK000966	signal transduction & cell communication apoptosis; signal transduction & cell communication; transcription, cellular process & metabolism; kinase activity	0.0682	2.27	0.003	5.26
H200000489	210476_s_at	PRLR	Prolactin receptor	5p14-p13	NM_000949		0.0051	0.31	0.0103	0.4
H200012099	215927_at	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	20q13.13	NM_006420	signal transduction & cell communication; energy & transport	0.0099	0.29	0.0034	0.2
H200006897	206409_at	TIAM1	T-cell lymphoma invasion and metastasis 1	21q22.1|21q22. 11	U90902	signal transduction & cell communication	0.0195	0.34	0.008	0.32
H200012061	221160_s_at	CABP3	Calcium binding protein 3	19q13.33	NM_016367	signal transduction & cell communication	0.0275	0.4	0.005	0.28
H200015360	221550_at	COX15	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	10q24	NM_004376	transcription, cellular process & metabolism transcription, cellular process & metabolism; energy & transport	0.001	5	0.0135	4
H200015106	203505_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	9q31.1	NM_005502		0.0044	3.7	0.0273	2.7
H200014106	205438_at	PTPN21	Protein tyrosine phosphatase, non-receptor type 21	14q31.3	NM_007039	transcription, cellular process & metabolism; kinase activity	0.0054	2.5	0.0068	2.5
H200017717	213398_s_at	HCDI	HCDI protein	14q12	NM_020195	transcription, cellular process & metabolism	0.0067	2.56	0.0273	2.13
H200009392	222203_s_at	RDH14	Retinol dehydrogenase 14 (all-trans and 9-cis)	2p24.2	NM_020905	transcription, cellular process & metabolism	0.0069	5.88	0.003	6.67
H200020640		PPM1B	Protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	2p21	AK057711	transcription, cellular process & metabolism; kinase activity	0.0092	3.7	0.1115	2.22
H200016196		KIAA0372	Homo sapiens clone HQ0663 PRO0663 mRNA, partial cds	5q15	AF090944	transcription, cellular process & metabolism	0.0092	4	0.0004	9.09
H200008342		ENPP6	Ectonucleotide pyrophosphatase/phosphodiesterase 6	4q35.1	AK021943	transcription, cellular process & metabolism	0.0113	3.13	0.0075	3.23
H200009894	202982_s_at	ACOT2	ACYL-CoA thioesterase 2	14q24.3	NM_006821	transcription, cellular process & metabolism	0.0123	2.44	0.0066	2.7
H200011893	204809_at	CLPX	ClpX caseinolytic protease X homolog (E. coli)	15q22.2-q22.3	NM_006660	transcription, cellular process & metabolism; energy & transport; protein biosynthesis	0.0216	4.17	0.0029	9.09
H200004478	211890_x_at	CAPN3	Calpain 3, (p94)	15q15.1-q21.1	NM_000070	transcription, cellular process & metabolism; development; protein biosynthesis	0.0081	0.38	0.0358	0.29
H200008510		RSPRY1	Ring finger and SPRY domain containing 1	16q13	AK027549	transcription, cellular process & metabolism	0.0319	0.48	0.0071	0.44
H200008107	212366_at	ZNF292	Zinc finger protein 292	6q15	AB011102	transcription, cellular process & metabolism	0.0011	7.14	0.0024	5
H200018907	213293_s_at	TRIM22	Tripartite motif-containing 22	11p15	NM_006074	transcription, cellular process & metabolism	0.0028	3.03	0.0027	2.86
H200004585	215887_at	ZNF277	Zinc finger protein 277	7q31.1	NM_021994	transcription, cellular process & metabolism	0.0093	6.67	0.0007	14.29
H200017610	206653_at	POLR3G	Polymerase (RNA) III (DNA directed) polypeptide G (32kD)	6	AK025490	transcription, cellular process & metabolism	0.0096	2.7	0.0336	2.22
H200004393	209750_at	NR1D2	Nuclear receptor subfamily 1, group D, member 2	3p24.2	BC015929	transcription, cellular process & metabolism	0.04	2.44	0.0055	3.33
H200004342	203461_at	CHD2	Chromodomain helicase DNA binding protein 2	15q26	NM_001271	transcription, cellular process & metabolism	0.0097	0.35	0.0381	0.44
H200010497	212411_at	IMP4	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	2q21.1	NM_033416	RNA processing & translation	0.0047	3.7	0.0417	3.33
H200016612	205095_s_at	ATP6N1A	ATPase, H+ transporting, lysosomal (vacuolar proton pump) non-catalytic accessory protein 1A (110/11	17q21	NM_005177	energy & transport	0.0078	2.78	0.0297	2.38
