ProbeID	Description	GeneBank/RefSeq Id
A_23_P144872	GM2 ganglioside activator protein	X61095
A_23_P61149	inositol polyphosphate-5-phosphatase, 145kDa	NM_005541
A_23_P60393	Notch homolog 1, translocation-associated (Drosophila) A	F308602
A_23_P33733	inositol polyphosphate-5-phosphatase, 145kDa	X98429
A_23_P22332	inositol polyphosphate-5-phosphatase, 145kDa	U57650
A_23_P45999	F-box only protein 2	NM_012168
A_23_P62620	chloride channel, calcium activated, family member 2 A	B026833
A_23_P126908	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	NM_003820
A_23_P49499	sialyltransferase	NM_006456
A_23_P47863	transmembrane 7 superfamily member 3 A	K002031
A_23_P154605	similar to glucosamine-6-sulfatases	NM_018837
A_23_P35845	NAD synthetase 1 B	C003638
A_23_P2922	MAP3K12 binding inhibitory protein 1	NM_016586
A_23_P96149	keratin 17 B	C000159
A_23_P59208	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	U03106
A_23_P78122	TGFB1-induced anti-apoptotic factor 1	NM_078471
A_23_P62901	BTG family, member 2	NM_006763
A_23_P118065	hydroxysteroid (17-beta) dehydrogenase 2	NM_002153
A_23_P209043	FXYD domain containing ion transport regulator 3	U28249
A_23_P8913	carbonic anhydrase II	NM_000067
A_23_P93942	phosphoglycerate mutase 2 (muscle) B	C001904
