Probeseta	Gene	Unigene	Pvalue	Fold-change	Genedescription
205048_s_at	PSPH	Hs.512656	0.00007	9	Phosphoserine phosphatase
212777_at	SOS1	Hs.278733	0.00007	2	Son of sevenless homolog 1 (Drosophila)
216203_at	SPTLC2	Hs.435661	0.0002	1.4	Serine palmitoyltransferase, long chain base subunit 2
212894_at	SUPV3L1	Hs.106469	0.0003	1.4	Suppressor of var1, 3-like 1 (S. cerevisiae)
1255_g_at	GUCA1A	Hs.92858	0.0003	2.4	Guanylate cyclase activator 1A (retina)
221344_at	OR12D2	Hs.247862	0.0006	1.7	Olfactory receptor, family 12, subfamily D, member 2
214971_s_at	SIAT1	Hs.207459	0.0007	2.4	ST6 beta-galactosamide alpha-2,6-sialytranferase 1
206035_at	REL	Hs.370620	0.0008	1.7	v-rel reticuloendotheliosis viral oncogene homolog (avian)
221442_at	MC3R	Hs.248018	0.0009	2.5	Melancortin 3 receptor
205435_s_at	AAK1	Hs.552584	0.0009	1.5	AP2 associated kinase 1
204938_s_at	EML2	Hs.24178	0.0009	1.7	Echinoderm microtubule associated protein like 2
