EntrezGene.ID	HUGO.gene.symbol	agilent	affy	coefficient	NMSE
5328	PLAU	NM_002658	211668_s_at	1	0
649	BMP1	NM_001199	207595_s_at	0.69	0.53
4323	MMP14	NM_004995	202827_s_at	0.67	0.56
7070	THY1	NM_006288	208850_s_at	0.61	0.63
1290	COL5A2	NM_000393	221730_at	0.57	0.63
8038	ADAM12	NM_003474	202952_s_at	0.55	0.66
23452	ANGPTL2	AF007150	219514_at	0.57	0.66
4237	MFAP2	NM_017459	203417_at	0.57	0.67
871	SERPINH1	NM_004353	207714_s_at	0.55	0.68
1291	COL6A1	X15880	212091_s_at	0.55	0.7
3671	ISLR	NM_005545	207191_s_at	0.51	0.73
9260	PDLIM7	NM_005451	214121_x_at	0.53	0.74
55742	PARVA	NM_018222	217890_s_at	0.48	0.74
25903	OLFML2B	AL050137	213125_at	0.52	0.74
6876	TAGLN	NM_003186	205547_s_at	0.5	0.75
5476	CTSA	NM_000308	200661_at	0.48	0.76
5159	PDGFRB	NM_002609	202273_at	0.48	0.77
54587	MXRA8	AL050202	213422_s_at	0.44	0.78
9180	OSMR	NM_003999	205729_at	0.43	0.79
1281	COL3A1	NM_000090	201852_x_at	0.45	0.81
26585	GREM1	NM_013372	218468_s_at	0.43	0.81
2191	FAP	NM_004460	209955_s_at	0.45	0.81
1627	DBN1	NM_004395	217025_s_at	0.43	0.81
23299	BICD2	AB014599	209203_s_at	0.43	0.81
51330	TNFRSF12A	NM_016639	218368_s_at	0.44	0.82
7421	VDR	NM_000376	204253_s_at	0.42	0.82
6591	SNAI2	Contig1585_RC	213139_at	0.41	0.82
2037	EPB41L2	NM_001431	201718_s_at	0.42	0.83
55033	FKBP14	NM_017946	219390_at	0.43	0.83
4681	NBL1	NM_005380	201621_at	0.41	0.84
10487	CAP1	NM_006367	213798_s_at	0.41	0.84
526	ATP6V1B2	NM_001693	201089_at	0.39	0.85
2050	EPHB4	NM_004444	216680_s_at	0.34	0.85
9697	TRAM2	NM_012288	202369_s_at	0.37	0.85
4921	DDR2	NM_006182	205168_at	0.38	0.85
9945	GFPT2	NM_005110	205100_at	0.42	0.85
4811	NID1	NM_002508	202007_at	0.43	0.86
8481	OFD1	NM_003611	203569_s_at	-0.34	0.88
23705	IGSF4	NM_014333	209030_s_at	0.33	0.88
23166	STAB1	AJ275213	204150_at	0.35	0.88
8459	TPST2	NM_003595	204079_at	0.29	0.88
23645	PPP1R15A	NM_014330	202014_at	0.33	0.88
27295	PDLIM3	NM_014476	209621_s_at	0.34	0.89
93974	ATPIF1	NM_016311	218671_s_at	-0.33	0.89
51592	TRIM33	NM_015906	212435_at	-0.33	0.9
4314	MMP3	NM_002422	205828_at	0.3	0.9
1833	EPYC	NM_004950	206439_at	0.34	0.9
157567	ANKRD46	U79297	212731_at	-0.32	0.9
8904	CPNE1	NM_003915	206918_s_at	0.32	0.9
602	BCL3	NM_005178	204907_s_at	0.3	0.9
2720	GLB1	NM_000404	201576_s_at	0.32	0.91
59286	UBL5	Contig65670_RC	218011_at	-0.27	0.91
8408	ULK1	NM_003565	209333_at	0.27	0.92
55035	NOL8	NM_017948	218244_at	-0.27	0.92
7042	TGFB2	NM_003238	220407_s_at	0.29	0.92
5155	PDGFB	NM_002608	204200_s_at	0.27	0.93
10409	BASP1	NM_006317	202391_at	0.24	0.93
10993	SDS	NM_006843	205695_at	0.25	0.93
6233	RPS27A	NM_002954	200017_at	-0.26	0.93
8507	ENC1	NM_003633	201340_s_at	0.23	0.93
176	AGC1	NM_013227	217161_x_at	0.21	0.94
9849	ZNF518	NM_014803	204291_at	-0.28	0.94
51463	GPR89A	NM_016334	222140_s_at	-0.25	0.94
6141	RPL18	NM_000979	222297_x_at	-0.24	0.94
4205	MEF2A	NM_005587	208328_s_at	0.21	0.94
1774	DNASE1L1	NM_006730	203912_s_at	0.23	0.95
4430	MYO1B	AK000160	212364_at	0.23	0.95
57158	JPH2	NM_020433	220385_at	0.16	0.95
