RefSeq Transcript ID	Symbol	Gene Name	Chr.	Fold Change
NM_0010138360	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	7p22	-4.27
NM_004883	NRG2	Neuregulin 2	5q31	-3.95
NM_001001331	ATP2B2	ATPase, Ca++ transporting, plasma membrane 2	3p25	-2.88
NM_001719	BMP7	Bone morphogenetic protein 7 (osteogenic protein 1)	20q13	-2.56
NM_032932	RAB11FIP4	RAB11 family interacting protein 4 (class II)	17q11	-2.49
NM_014914	CENTG2	Centaurin, gamma 2	2q37	-2.3
NM_013372	GREM1	Gremlin 1, cysteine knot superfamily, homolog	15q13	-2.28
XM_373734	---	Hypothetical LOC388388	3p13	-2.28
NM_020761	Raptor	Raptor	17q25.3	-2.26
NM_001031693	HHLA3	HERV-H LTR-associating 3	---	-2.2
NM_003598	TEAD2	TEA domain family member 2	19q13	-2.18
NM_022773	FLJ12681	Hypothetical protein FLJ12681	16p13.3	-2.18
NM_004389	CTNNA2	Catenin (cadherin-associated protein), alpha 2	2p12	-2.09
XM_032996	MICAL3	Microtubule associated monoxygenase, calponin and LIM domain containing 3	22q11	-2.08
NM_000620	NOS1	Nitric oxide synthase 1 (neuronal)	12q24	-2.06
NM_006567	FARS2	Phenylalanine-tRNA synthetase 2	6p25	-1.2
NM_003466	PAX8	Paired box 8	2q13	-1.99
NM_006613	GRAP	GRB2-related adaptor protein-like	17p11	-1.97
NM_022138	SMOC2	SPARC related modular calcium binding 2	6q27	-1.96
NM_017594	DIRAS2	DIRAS family, GTP-binding RAS-like 2	9q22	-1.96
NM_021018	HIST1H3F	Histone 1, H3f	6p22	-1.92
NM_004192	ASMTL	Acetylserotonin O-methyltransferase-like	Xp22	-1.92
NM_002412	MGMT	O-6-methylguanine-DNA methyltransferase	10q26	-1.91
NM_001466	FZD2	Frizzled homolog 2 (Drosophila)	17q21	-1.91
XM_498471	LOC147727	Hypothetical protein LOC147727	19p13	-1.9
NM_003562	SLC25A11	Solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11	17p13	-1.88
NM_004565	PEX14	Peroxisomal biogenesis factor 14	1p36	-1.87
NM_003955	SOCS3	Suppressor of cytokine signaling 3	17q25	-1.87
NM_007037	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif, 8	11q24	-1.85
NM_022479	WBSCR17	Williams-Beuren syndrome chromosome region 17	7q11	-1.84
