Name	Symbol	Accession no.	-Megabase (from pter)	Locus	OCA17 Expression (fold change)	OCA19 Expression (fold change)	OCA21A Expression (fold change)
Ribosomal protein L32	RPL32	W24343	15.66	3p25.1	-2.7	-1.94	-2.57
Hypothetical protein	KIAA0084	AA127738	19.49	3p24.3	-2.02	-2.19	-2.14
Transforming growth factor beta Receptor Type II	TGFBR2	AA028183	31.31	3p22.3	-1.35	-1.92	-2.38
ADP/ATP translocase 3	ANT3	AA017412	39.14	3p21.32	-1.59	-2.22	-3.85
Vasoactive intestinal polypeptide receptor 1	VIPR1	H14880	43.27	3p21.32	-1.59	-1.87	-2.06
Microtubule-associated protein 4	MAP4	H50895	48.68	3p21.31	-1.59	-1.59	-2.86
Laminin, ß2	LAMS	AA029359	50.25	3p21.31	-3.04	-2.23	-2.97
Glycogen branching enzyme	GBE1	T98705	84.98	3p12.2	2.67	2.39	2.74
Ribosomal protein L24	RPL24	N94916	103.73	3q12.3	-1.96	-1.97	-2.62
Homogentisate 1,2-dioxygenase	HGD	T83013	123.39	3q13.33	2.32	2.83	2.64
Calcium-sensing receptor	CASR	W56898	125.28	3q21.1	2.43	2.96	2.58
Transmembrane 4 superfamily member 4	TM4SF	T83911	154.04	3q25.1	4.35	1.32	1.47
Somatostatin	SST	R20699	193.05	3q28	1.04	4.83	1
Farnesyldiphosphate farnesyltransferase 1	FDFT1	W94208	11.24	8p23.1	-1.56	-2.07	-2.21
Dual specificity mitogen-activated protein kinase kinase 1	MAPKK1	T87961	30.51	8p12	2.42	3.04	3.08
Serine/threonine protein phosphatase	P2AB	N31088	31.75	8p12	-1.67	-2.08	-1.57
Tissue plasminogen activator	TPA	H10533	42.8	8p11.1	-1.55	-1.84	-2
Minichromosome maintenance, homologue of CDC21	MCM4	N35453	46.71	8q11.21	3.41	2.7	2.39
CCAAT/enhancer-binding protein, delta	CEBPD	AA044627	46.9	8q11.21	-1.25	-2.25	-3.33
Hypothetical protein	KIAA0112	AA147503	65.76	8q12.3	2.34	1	1.45
MYB-related protein A	MYBA	H13357	65.87	8q12.3	2	3.35	2.48
Myo-inositol monophosphatase 1	IMPA1	H03789	81.02	8q21.13	1.3	2.11	1.03
Serine exchange enzyme	PSS1	T80295	95.97	8q22.1	2.44	2.68	2.1
Syndecan-2	SDC2	AA114890	96.25	8q22.1	-3.49	-2.07	-2.72
Exostosin Type I	EXT	W03422	117.25	8q23	2.66	3.28	2.85
Zinc finger protein 7	ZNF7	AA005274	142.96	8q24.3	-1.11	-2.51	-1.93
