Well id	Clone	Description	UniGene id	Gene	Map
200502	811029	KIAA0365 gene product	Hs.190452	KIAA0365	19p12
200719	204755	splicing factor, arginine/serine-rich 11	Hs.11482	SFRS11	1p21-p34
28429	469345	Kinase insert domain receptor (a type III receptor tyrosine kinase)	Hs.12337	KDR	4q11-q12
28398	205633	MIP-1 beta=SCAY2=G-26=HC21=pAT 744=LAG-1=Act-2=H400=SIS-gamma=chemokine	Hs.75703	SCYA4	17q21
28410	205633	MIP-1 beta=SCAY2=G-26=HC21=pAT 744=LAG-1=Act-2=H400=SIS-gamma=chemokine	Hs.75703	SCYA4	17q21
208263	361323	regulator of G-protein signalling 1	Hs.75256	RGS1	1q31
28267	686248	BL34=RGS1=regulator of G-protein signaling which inhibits SDF-1 directed B cell migration	Hs.75256	RGS1	1q31
28288	470132	A28-RGS14p=G protein signaling regulator	Hs.183601	RGS16	1q25-q31
28300	470132	A28-RGS14p=G protein signaling regulator	Hs.183601	RGS16	1q25-q31
202483	841282	frizzled related protein frpHE	Hs.105700	SFRP4	7p14.3-p14.1
28331	786041	PC-1 = alkaline nucleotide pyrophosphatase	Hs.11951	ENPP1	6q22-q23
27789	773439	Platelet-derived growth factor receptor, beta polypeptide=fused to TEL in t(5;12)(q33;p13) chronic myelomonocytic leukemia	Hs.76144	PDGFRB	5q31-q32
201281	768168	bone morphogenetic protein 6	Hs.285671	BMP6	6p24-p23
28353	786029	MMP-13=Matrix metalloproteinase 13=CL-3=Collagenase 3	Hs.2936	MMP13	11q22.3
202107	75254	cysteine and glycine-rich protein 2	Hs.10526	CSRP2	12q21.1
28800	149373	Wnt-2	Hs.89791	WNT2	7q31
205095	149373	Wnt-2	Hs.89791	WNT2	7q31
209309	740907	APEX nuclease (multifunctional DNA repair enzyme)	Hs.73722	APEX	14q11.2-q12
201509	740130	polymerase (RNA) II (DNA directed) polypeptide A (220kD)	Hs.171880	POLR2A	17p13.1
208957	34102	golgi autoantigen, golgin subfamily a, 1	Hs.172647	GOLGA1	9q33.1-q33.3
209200	854138	casein kinase 1, epsilon	Hs.79658	CSNK1E	22q13.1
207326	810343	CGI-09 protein	Hs.128791	LOC51605	20pter-p12.1
207324	346947	zinc finger protein 211	Hs.15110	ZNF211	19q13.4
202077	628955	forkhead box O1A (rhabdomyosarcoma)	Hs.170133	FOXO1A	13q14.1
28141	285742	ZF5=POZ domain zinc finger protein	Hs.156000	ZFP161	18pter-p11.2
201342	687820	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)	Hs.606	ATP7A	Xq13.2-q13.3
207851	810795	hypothetical protein FLJ21940	Hs.104916	FLJ21940	5
208970	770000	trinucleotide repeat containing 12	Hs.306094	TNRC12	12q24.33
28565	71727	scl=tal-1=T-cell acute lymphocytic leukemia 1	Hs.73828	TAL1	1p32
27579	609445	SRC-1=steroid receptor coactivator	Hs.74002	NCOA1	2p23
202111	739993	brain and reproductive organ-expressed (TNFRSF1A modulator)	Hs.80426	BRE	2
208707	741891	RAB2, member RAS oncogene family-like	Hs.170160	RAB2L	6p21.3
202122	739625	syntrophin associated serine/threonine kinase	Hs.227489	SAST	19p13.2
27628	665279	CD103 alpha=Integrin alpha-E	Hs.851	ITGAE	17p13
27910	687990	KIAA0006	Hs.79307	ARHGEF6	Xq26
208704	854581	transcription factor 4	Hs.326198	TCF4	18q21.1
205566	809824	transmembrane, prostate androgen induced RNA	Hs.83883	TMEPAI	20q13.31-q13.33
27759	243816	CD36	Hs.75613	CD36	7q11.2
208298	322160	MMAC1=PTEN=Tumor suppressor gene at 10q23.3 that is Mutated in Multiple Advanced Cancers=Phosphatase and tensin homolog	Hs.10712	PTEN	10q23.3
208297	361840	phosphodiesterase 6A, cGMP-specific, rod, alpha	Hs.182240	PDE6A	5q31.2-q34
27545	564503	CD83=B-G antigen IgV domain homolog=B-cell activation protein=HB15	Hs.79197	CD83	6p23
207410	430068	hypothetical protein FLJ10701	Hs.146589	FLJ10701	12
209343	52226	B/K protein	Hs.26971	LOC51760	16p13.13-16p12.3
201510	785605	PI-3-kinase-related kinase SMG-1	Hs.110613	SMG1	16
207351	302286	wingless-type MMTV integration site family member 2	Hs.89791	WNT2	7q31
27697	701422	IL-7	Hs.72927	IL7	8q12-q13
202969	248485	crumbs (Drosophila) homolog 1	Hs.169745	CRB1	1q31-q32.1
200789	563598	gamma-aminobutyric acid (GABA) A receptor, pi	Hs.70725	GABRP	5q33-q34
202868	303035	plexin A2	Hs.300622	PLXNA2	1
203002	125148	RNA cyclase homolog	Hs.113052	RNAC	9p24.1-p23
200753	25588	CUG triplet repeat, RNA-binding protein 1	Hs.81248	CUGBP1	11p11
200199	128143	paraoxonase 1	Hs.1898	PON1	7q21.3
27619	649654	Death effector domain-associated factor=Binds to Caspase 10 DED domain=Homolog of mouse RYBP repressor protein that interacts with Polycomb complex and YY1=YAF2 homolog=DEDAF=YAF2 homolog=MLNewGene3	Hs.7910	RYBP	3p21.1-cen
27759	243816	CD36	Hs.75613	CD36	7q11.2
203033	80095	hypothetical protein FLJ21661	Hs.334718	FLJ21661	5
