ProbeID	Description	GeneBank/RefSeq Id
A_23_P20223	ribonucleotide reductase M2 B (TP53 inducible) A	L137348
A_23_P154605	similar to glucosamine-6-sulfatases	NM_018837
A_23_P136063	p53 target zinc finger protein A	K022358
A_23_P93562	sestrin 1	NM_014454
A_23_P16523	prostate differentiation factor	NM_004864
A_23_P30254	serum-inducible kinase	NM_006622
A_23_P206079	hypothetical protein FLJ12484 A	K022546
A_23_P14734	ribosomal protein S27-like	NM_015920
A_23_P154758	zinc finger protein 337	NM_015655
A_23_P59208	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	U03106
A_23_P45365	collagen, type IV, alpha 5 (Alport syndrome)	NM_033380
A_23_P57779	claudin 1 A	F101051
A_23_P116202	hypothetical protein FLJ21827 B	C012802
A_23_P72487	Xg blood group (pseudoautosomal boundary-divided on the X chromosome)	NM_175569
A_23_P112531	Homo sapiens, Similar to expressed sequence AI426465, clone MGC:50853 IMAGE:5763298, mRNA, complete cds B	C047949
A_23_P14083	amphoterin induced gene 2	NM_181847
A_23_P643	A	B015329
A_23_P217339	protein kinase, X-linked	NM_005044
A_23_P148297	SH3 domain binding glutamic acid-rich protein like B	C016709
A_23_P2041	hypothetical protein FLJ14966	NM_032867
A_23_P62901	BTG family, member 2	NM_006763
A_23_P254254	N-sulfoglucosamine sulfohydrolase (sulfamidase)	U30894
A_23_P105212	Homo sapiens, thyroid hormone responsive (SPOT14 homolog, rat), clone MGC:21659 IMAGE:4745757, mRNA, complete cds B	C031989
A_23_P257296	trefoil factor 3 (intestinal) B	C017859
A_23_P12405	espin	NM_031475
A_23_P518	immune costimulatory protein B7-H4	NM_024626
A_23_P168882	tumor protein p53 inducible nuclear protein 1	NM_033285
A_23_P150053	actin, alpha 2, smooth muscle, aorta	NM_001613
A_23_P18123	neuroligin 1	NM_014932
A_23_P106002	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NM_020529
A_23_P128403	hypothetical protein HSPC132 B	C002638
A_23_P200252	hypothetical protein MGC13186	NM_032324
A_23_P151956	carbonic anhydrase XII B	C023981
A_23_P136775	apolipoprotein D B	C007402
A_23_P68777	proline dehydrogenase (oxidase) 1	U79754
A_23_P99853	hypothetical protein FLJ10980 A	B037791
A_23_P35845	NAD synthetase 1 B	C003638
A_23_P212089	molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL), homolog of mouse	NM_031419
A_23_P38154	ferredoxin reductase	NM_004110
A_23_P145895	TP53 activated protein 1	NM_007233
A_23_P205997	anterior pharynx defective 1B-like	NM_031301
A_23_P16976	annexin A4	NM_001153
A_23_P56369	ATP-binding cassette, sub-family A (ABC1), member 12 A	Y033486
A_23_P110167	microsomal glutathione S-transferase 2	NM_002413
A_23_P100790	hypothetical protein MGC16063 B	C008044
A_23_P15564	hypothetical protein LOC51321	NM_016627
A_23_P106973	MLL septin-like fusion	NM_006640
A_23_P93871	calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) A	F088868
A_23_P23346	ALL1-fused gene from chromosome 1q	NM_006818
A_23_P169030	tumor necrosis factor receptor superfamily, member 10b A	F018658
A_23_P23221	growth arrest and DNA-damage-inducible, alpha	NM_001924
A_23_P128486	chromosome 12 open reading frame 5	NM_020375
A_23_P255685	epiplakin 1 A	B051895
A_23_P201789	putative DNA/chromatin binding motif A	J243706
A_23_P36416	liver mitochondrial glutaminase A	F223944
A_23_P59005	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000593
A_23_P120883	heme oxygenase (decycling) 1	NM_002133
A_23_P256724	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	NM_003841
A_23_P211445	LIM domain kinase 2	NM_016733
A_23_P258132	adlican A	F245505
A_23_P48570	dehydrogenase/reductase (SDR family) member 2 A	K000345
