Phaseb	Symbol	UniGene	Gene description	Clusterd	Function
M/G1	CCND1	Hs.82932	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	5	Cell cycle
M/G1	PRC1	Hs.344037	Protein regulator of cytokinesis 1	6	Cell cycle
M/G1	RAN	Hs.10842	RAN, member RAS oncogene family	8	Cell cycle
M/G1	NSAP1	Hs.155489	NS1-associated protein 1	7	mRNA processing
M/G1	AMD1	Hs.262476	S-adenosylmethionine decarboxylase 1	7	Other enzymes
M/G1	E2-EPF	Hs.174070	Ubiquitin carrier protein	7	Protein degradation
M/G1	HSPA8	Hs.180414	Heat shock 70 kDa protein 8	5	Protein folding
M/G1	DKC1	Hs.4747	Dyskeratosis congenita 1, dyskerin	7	Ribosome biogenesis
M/G1	PTTG1	Hs.252587	Pituitary tumor-transforming 1	8	Signal transduction
M/G1	HMGCR	Hs.11899	3-Hydroxy-3-methylglutaryl-Coenzyme A reductase	8	Sterol metabolism
M/G1	ILF2	Hs.75117	Interleukin enhancer binding factor 2, 45 kDa	8	Transcription
M/G1	NXF1	Hs.323502	Nuclear RNA export factor 1	7	Transporters
M/G1	KPNB1	Hs.180446	Karyopherin (importin) beta 1	8	Transporters
G1/S	MCM2	Hs.57101	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	7	DNA replication and repair
G1/S	UNG	Hs.78853	Uracil-DNA glycosylase	7	DNA replication and repair
G1/S	SFRS7	Hs.184167	Homo sapiens splicing factor, arginine/serine-rich 7 (SFRS7) gene, complete cds	5	RNA splicing
G1/S	HSU53209	Hs.24937	Transformer-2 alpha (htra-2 alpha)	7	RNA splicing
S	EXO1	Hs.47504	Exonuclease 1	6	DNA replication and repair
S	FEN1	Hs.4756	Flap structure-specific endonuclease 1	7	DNA replication and repair
S	RAD51	Hs.343807	RAD51 homolog (RecA homolog, E. coli)(S. cerevisiae)	8	DNA replication and repair
S	RRM1	Hs.2934	Ribonucleotide reductase M1 polypeptide	7	Purine and pyrimidine metabolism
S	ZNF217	Hs.155040	Zinc finger protein 217	1	Transcription
S	ZWINT	Hs.42650	ZW10 interactor	7	Unknown
S	ESTs AL050331	Hs.237225	Homo sapiens, clone MGC:24302 IMAGE:3996246, mRNA, complete cds (hypothetical protein HT023)	3	Unnamed
S	KIAA0101	Hs.81892	KIAA0101 gene product	8	Unnamed
G2	MUC1	Hs.89603	Mucin 1, transmembrane	2	Cell communication, adhesion or motility
G2	TUBA1	Hs.75318	Tubulin, alpha 1 (testis specific)	7	Cell communication, adhesion or motility
G2	TUBB	Hs.336780	Tubulin, beta polypeptide	7	Cell communication, adhesion or motility
G2	STK12	Hs.180655	Serine/threonine kinase 12	7	Cell cycle
G2	KNSL4	Hs.119324	Kinesin-like 4	8	Cell cycle
G2	MAD2L1	Hs.79078	MAD2 mitotic arrest deficient-like 1 (yeast)	8	Cell cycle
G2	CDC25C	Hs.656	Cell division cycle 25C	8	Cell cycle
G2	PSMD11	Hs.90744	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	8	Protein degradation
G2	HMG2	Hs.80684	High-mobility group (nonhistone chromosomal) protein 2	6	Transcription
G2	KPNA2	Hs.159557	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	8	Transporters
G2	TMPO	Hs.11355	Thymopoietin	7	Unknown
G2	KIAA0074	Hs.1192	KIAA0074 protein	8	Unnamed
G2/M	BUB1B	Hs.36708	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	7	Cell cycle
G2/M	CDC20	Hs.82906	CDC20 cell division cycle 20 homolog (S. cerevisiae)	7	Cell cycle
G2/M	CENPA	Hs.1594	Centromere protein A (17 kDa)	7	Cell cycle
G2/M	STK15	Hs.250822	Serine/threonine kinase 15	8	Cell cycle
G2/M	KNSL6	Hs.69360	Kinesin-like 6 (mitotic centromere-associated kinesin)	8	Cell cycle
G2/M	CKS2	Hs.83758	CDC28 protein kinase 2	8	Cell cycle
G2/M	PLK	Hs.77597	Polo-like kinase (Drosophila)	8	Cell cycle
G2/M	BIRC5	Hs.1578	Baculoviral IAP repeat-containing 5 (survivin)	8	Cell death
G2/M	TSN	Hs.75066	Translin	7	DNA replication and repair
G2/M	RAD51C	Hs.11393	RAD51 homolog C (S. cerevisiae)	8	DNA replication and repair
G2/M	SFPQ	Hs.180610	Splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	8	RNA splicing
G2/M	TRIP13	Hs.6566	Thyroid hormone receptor interactor 13	6	Transcription
G2/M	FOXM1	Hs.239	Forkhead box M1	8	Transcription
G2/M	ANP32B	Hs.84264	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	8	Unknown
