Probe Set ID	Upregulated in	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
225764_at	Medullary	ETV6	ets variant gene 6 (TEL oncogene)	AI762695	12p13
218983_at	Medullary	C1RL	complement component 1, r subcomponent-like /// complement component 1, r subcomponent-like	NM_016546	12p13.31
1559051_s_at	Medullary	C6orf150	chromosome 6 open reading frame 150	AK097148	6q14.1
207535_s_at	Medullary	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) /// nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NM_002502	10q24
215630_at	Medullary	na	CDNA FLJ14102 fis, clone MAMMA1000940	AU147528	na
222062_at	Medullary	IL27RA	interleukin 27 receptor, alpha	AI983115	19p13.11
221549_at	Medullary	GRWD1	glutamate-rich WD repeat containing 1	AF337808	19q13.33
205926_at	Medullary	IL27RA	interleukin 27 receptor, alpha	NM_004843	19p13.11
210385_s_at	Medullary	ARTS-1	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	AF106037	5q15
1568609_s_at	Medullary	FLJ21308	hypothetical protein FLJ21308	AL118843	5q11.2
229625_at	Medullary	GBP5	guanylate binding protein 5	BG545653	1p22.2
225919_s_at	Medullary	C9orf72	chromosome 9 open reading frame 72	AI832598	9p21.1
218894_s_at	Medullary	FLJ10292	hypothetical protein FLJ10292	NM_018048	12p13.31
210154_at	Medullary	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	M55905	18q21
227015_at	Medullary	LOC57168	similar to aspartate beta hydroxylase (ASPH)	Z99714	22q12.1
202384_s_at	Medullary	TCOF1	Treacher Collins-Franceschetti syndrome 1	AW167713	5q32-q33.1
211275_s_at	Medullary	GYG	glycogenin /// glycogenin	AF087942	3q24-q25.1
239196_at	Medullary	ANKRD22	ankyrin repeat domain 22	AI097229	10q23.31-q23.32
218627_at	Medullary	FLJ11259	hypothetical protein FLJ11259	NM_018370	12q23.3
239973_at	Medullary	na	Transcribed sequence with moderate similarity to protein ref:NP-060265.1 (H.sapiens)  hypothetical protein FLJ20378 [Homo sapiens]	AW450675	na
202385_s_at	Medullary	TCOF1	Treacher Collins-Franceschetti syndrome 1	NM_000356	5q32-q33.1
201554_x_at	Medullary	GYG	glycogenin	NM_004130	3q24-q25.1
203920_at	Medullary	NR1H3	nuclear receptor subfamily 1, group H, member 3 /// nuclear receptor subfamily 1, group H, member 3	NM_005693	11p11.2
221807_s_at	Medullary	PP2447	hypothetical protein PP2447	BG399562	22q13.33
209397_at	Medullary	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial /// malic enzyme 2, NAD(+)-dependent, mitochondrial	BC000147	18q21
228445_at	Medullary	AMID	apoptosis-inducing factor (AIF)-like mitochondrion-associated inducer of death	AI922797	10q22.2
1555756_a_at	Medullary	CLECSF12	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12	AF400600	12p13.2-p12.3
202963_at	Medullary	RFX5	regulatory factor X, 5 (influences HLA class II expression)	AW027312	1q21
202531_at	Medullary	IRF1	interferon regulatory factor 1 /// interferon regulatory factor 1	NM_002198	5q31.1
222163_s_at	Medullary	SPATA5L1	spermatogenesis associated 5-like 1	BE890973	15q15.1
203079_s_at	Medullary	CUL2	cullin 2	NM_003591	10p11.22
218746_at	Medullary	TAPBPL	TAP binding protein-like	NM_018009	12p13.31
206173_x_at	Medullary	GABPB2	GA binding protein transcription factor, beta subunit 2, 47kDa /// GA binding protein transcription factor, beta subunit 2, 47kDa	NM_002041	15q21.2
220651_s_at	Medullary	MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	NM_018518	10p13
204962_s_at	Medullary	CENPA	centromere protein A, 17kDa /// centromere protein A, 17kDa	NM_001809	2p24-p21
41037_at	Medullary	TEAD4	TEA domain family member 4	U63824	12p13.2-p13.3
213088_s_at	Medullary	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	BE551340	10q22.3
222666_s_at	Medullary	RCL1	RNA terminal phosphate cyclase-like 1	BC001025	9p24.1-p23
221185_s_at	Medullary	DKFZp434B227	hypothetical protein DKFZp434B227	NM_025111	3q29
213923_at	Medullary	RAP2B	RAP2B, member of RAS oncogene family	AW005535	3q25.2
221586_s_at	Medullary	E2F5	E2F transcription factor 5, p130-binding	U15642	8q21.2
1554406_a_at	Medullary	CLECSF12	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12	BC013385	12p13.2-p12.3
202510_s_at	Medullary	TNFAIP2	tumor necrosis factor, alpha-induced protein 2 /// tumor necrosis factor, alpha-induced protein 2	NM_006291	14q32
221698_s_at	Medullary	CLECSF12	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12 /// C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12	AF313468	12p13.2-p12.3
222592_s_at	Medullary	ACSL5	acyl-CoA synthetase long-chain family member 5	AW173691	10q25.1-q25.2
207375_s_at	Medullary	IL15RA	interleukin 15 receptor, alpha /// interleukin 15 receptor, alpha	NM_002189	10p15-p14
221696_s_at	Medullary	STYK1	protein kinase STYK1 /// protein kinase STYK1	AF251059	12p13.31
229390_at	Medullary	na	Full length insert cDNA clone ZA84A12	AV734646	na
1564204_at	Medullary	na	Similar to hypothetical protein MGC8902 (LOC391088), mRNA	AK090660	1q21.3
222464_s_at	Medullary	C10orf119	chromosome 10 open reading frame 119	BC004183	10q26.13
206082_at	Medullary	HCP5	HLA complex P5 /// HLA complex P5	NM_006674	6p21.3
221648_s_at	Medullary	PNAS-4	CGI-146 protein	AK025651	1q44
206687_s_at	Medullary	PTPN6	protein tyrosine phosphatase, non-receptor type 6 /// protein tyrosine phosphatase, non-receptor type 6	NM_002831	12p13
206662_at	Medullary	GLRX	glutaredoxin (thioltransferase) /// glutaredoxin (thioltransferase)	NM_002064	5q14
214427_at	Medullary	NOL1	nucleolar protein 1, 120kDa /// nucleolar protein 1, 120kDa	NM_006170	12p13
213309_at	Medullary	PLCL2	phospholipase C-like 2	AL117515	3p25.1-p24.3
227606_s_at	Medullary	AMSH-LP	associated molecule with the SH3 domain of STAM (AMSH) like protein	AI638611	10q23.32
1570197_at	Medullary	na	Clone IMAGE:5111803, mRNA	BC019872	na
217497_at	Medullary	ECGF1	endothelial cell growth factor 1 (platelet-derived)	AW613387	22q13.33
229437_at	Medullary	BIC	BIC transcript	BG231961	21q21
220888_s_at	Medullary	C20orf32	chromosome 20 open reading frame 32 /// chromosome 20 open reading frame 32	NM_020356	20q13.31
235056_at	Medullary	ETV6	ets variant gene 6 (TEL oncogene)	AV722693	12p13
218451_at	Medullary	CDCP1	CUB domain-containing protein 1	NM_022842	3p21.32
223307_at	Medullary	CDCA3	cell division cycle associated 3	BC002551	12p13
209040_s_at	Medullary	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7) /// proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)	U17496	6p21.3
220030_at	Medullary	STYK1	protein kinase STYK1	NM_018423	12p13.31
221436_s_at	Medullary	CDCA3	cell division cycle associated 3 /// cell division cycle associated 3	NM_031299	12p13
209636_at	Medullary	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	BC002844	10q24
201274_at	Medullary	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5 /// proteasome (prosome, macropain) subunit, alpha type, 5	NM_002790	1p13
238439_at	Medullary	ANKRD22	ankyrin repeat domain 22	AI925518	10q23.31-q23.32
223586_at	Medullary	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	AF256215	12p12.2-p11.2
1569868_s_at	Medullary	na	Similar to hypothetical protein 6820428D13 (LOC390668), mRNA	BC041011	na
222428_s_at	Medullary	LARS	leucyl-tRNA synthetase	D84223	5q32
218595_s_at	Medullary	FLJ10359	protein BAP28	NM_018072	1q42.3
216834_at	Medullary	RGS1	regulator of G-protein signalling 1 /// regulator of G-protein signalling 1	S59049	1q31
1552623_at	Medullary	HSH2D	hematopoietic SH2 domain containing	BC025237	19p13.12
221680_s_at	Medullary	ETV7	ets variant gene 7 (TEL2 oncogene) /// ets variant gene 7 (TEL2 oncogene)	AF147782	6p21
205671_s_at	Medullary	HLA-DOB	major histocompatibility complex, class II, DO beta /// major histocompatibility complex, class II, DO beta	NM_002120	6p21.3
227103_s_at	Medullary	MGC2408	hypothetical protein MGC2408	BE646208	3q27.3
229391_s_at	Medullary	na	Full length insert cDNA clone ZA84A12	AV734646	na
235783_at	Medullary	na	Transcribed sequence with strong similarity to protein ref:NP-057267.2 (H.sapiens)  ribosomal protein P0-like protein; 60S acidic ribosomal protein PO [Homo sapiens]	BG107419	na
202988_s_at	Medullary	RGS1	regulator of G-protein signalling 1	NM_002922	1q31
200628_s_at	Medullary	WARS	tryptophanyl-tRNA synthetase	M61715	14q32.31
227014_at	Medullary	LOC57168	similar to aspartate beta hydroxylase (ASPH)	BE550881	22q12.1
225538_at	Medullary	ZCCHC9	zinc finger, CCHC domain containing 9	BE539792	5q14.1
203196_at	Medullary	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	AI948503	13q32
218747_s_at	Medullary	TAPBPL	TAP binding protein-like	NM_018009	12p13.31
200629_at	Medullary	WARS	tryptophanyl-tRNA synthetase /// tryptophanyl-tRNA synthetase	NM_004184	14q32.31
220658_s_at	Medullary	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2 /// aryl hydrocarbon receptor nuclear translocator-like 2	NM_020183	12p12.2-p11.2
