RefSeq Transcript ID	Symbol	Gene Name	Chr.	Fold Change
NM_001351	DAZL	Deleted in azoospermia-like	3p24	27.52
NM_052957	ACRC	Acidic repeat containing	Xq13	27.07
NM_144594	FLJ32942	Hypothetical protein FLJ32942	12q13	22.73
NM_032858	MAEL	Maelstrom homolog	1q24	18.75
NM_002364	MAGEB2	Melanoma antigen family B, 2	Xp21	18.73
NM_005363	MAGEA6	Melanoma antigen family A, 6	Xq28	16.31
NM_012253	TKTL1	Transketolase-like 1	Xq28	15.02
NM_023930	KCTD14	Potassium channel tetramerisation domain	11q14	11.34
NM_013453	SPANX	Sperm protein associated with the nucleus, X-linked	Xq27	10.99
NM_005362	MAGEA3	Melanoma antigen family A, 3	Xq28	10.56
NM_005335	HCLS1	Hematopoietic cell-specific Lyn substrate 1	3q13	10.41
NM_006228	PNOC	Prepronociceptin	8p21	9.89
NM_152578	FMR1NB	Fragile X mental retardation 1 neighbor	Xq27	9.24
NM_005367	MAGEA12	Melanoma antigen family A, 12	Xq28	8.81
NM_003289	TPM2	Tropomyosin 2 (beta)	9p13	7
NM_080618	CTCFL	CCCTC-binding factor (zinc finger protein)-like	20q13	6.39
NM_001011544	MAGEA11	Melanoma antigen family A, 11	Xq28	6.32
NM_005213	CSTA	Cystatin A	3q21	5.8
NR_002196	H19	H19, imprinted maternally expressed untranslated mRNA	11p15	5.71
NM_032048	EMILIN2	Elastin microfibril interfacer 2	18p11	5.41
NM_173571	LOC255313	Hypothetical protein LOC255313	Xq24	5.28
NM_003480	MFAP5	Microfibrillar associated protein 5	12p13	4.79
NM_001323	CST6	Cystatin E/M	11q13	4.79
NM_001327	CTAG1B&A	Cancer-testis antigen 1B/cancer-testis antigen 1A	Xq28	4.58
NM_001011548	MAGEA4	Melanoma antigen family A, 4	Xq28	4.48
NM_020826	SYT13	Synaptotagmin XIII	11p11	4.37
NM_013238	DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15	13q14	4.33
NM_005602	CLDN11	Claudin 11	3q26	4.23
NM_001002915	IGFL2	Insulin growth factor-like family member 2	19q13	4.09
NM_004988	MAGEA1	Melanoma antigen family A, 1 (directs expression of antigen MZ2-E)	Xq28	3.73
