Gene Symbol	Probe_ID	P1	P2	P3	P4	Status
HBB	32052_at	22.37	5.78	13.25	56.28	Upregulated Transcripts
SPP1	34342_s_at	24.16	26.78	4.75	5.39	Upregulated Transcripts
HBA1///HBA2	31525_s_at	15.14	4.47	13.65	108.11	Upregulated Transcripts
LGR4	43585_at	7.39	7.43	20.89	24.82	Upregulated Transcripts
AR	1577_at	14.35	12.97	12.24	14.78	Upregulated Transcripts
PRO1073	49666_s_at	4.56	13.25	10.01	13.5	Upregulated Transcripts
UTRN	42646_at	10.11	6.02	12.11	16.31	Upregulated Transcripts
HNT	59070_at	5.37	9.69	12.08	13.67	Upregulated Transcripts
SDCCAG3	43014_at	7.99	8.57	11.24	17.32	Upregulated Transcripts
LOC64744	42739_at	7.3	9.64	9.57	14.51	Upregulated Transcripts
---	1089_i_at	5.06	4.14	12.12	22.01	Upregulated Transcripts
SPP1	2092_s_at	14.05	12.94	3.35	4.07	Upregulated Transcripts
UBE2H	58777_at	9.5	7.45	6.55	15.13	Upregulated Transcripts
SRPK1	63687_at	6.06	4.36	10.61	12.82	Upregulated Transcripts
NCK2	33003_at	5	9.14	8.5	7.34	Upregulated Transcripts
HIST1H3H	36757_at	7.26	17.07	8.47	5.61	Upregulated Transcripts
PPP4R2	48663_at	5.09	6.97	8.59	16.16	Upregulated Transcripts
C8orf16	47339_at	6.54	8.15	9.53	7.39	Upregulated Transcripts
---	55943_at	3.41	7.47	15.31	8.01	Upregulated Transcripts
---	64642_s_at	8.25	6.42	7.04	10.6	Upregulated Transcripts
EP400	47518_at	5.94	9.27	4.51	9.32	Upregulated Transcripts
GOLT1A	45144_at	3.9	6.17	8.37	12.32	Upregulated Transcripts
---	52853_g_at	9.83	7.1	6.25	7.03	Upregulated Transcripts
LOC284058	44791_at	8.25	10.17	4.55	5.86	Upregulated Transcripts
DAPK1	51580_at	3.42	6.04	8.03	11.32	Upregulated Transcripts
NFATC2IP	38864_at	3.26	4.83	9.58	9.19	Upregulated Transcripts
SEL1L	40689_at	4.71	7.84	6.13	10.94	Upregulated Transcripts
TM4SF9	47746_at	3.43	6.26	8.92	7.52	Upregulated Transcripts
MLLT2	65205_at	3.43	7.13	6.57	13.01	Upregulated Transcripts
SC4MOL	46802_at	22.91	7.35	5.62	6.17	Upregulated Transcripts
