Genbank	0.01mM NS Ratio	0.01mM NS P-value	Description
NM_004864	14.24	0.001	growth differentiation factor 15
NM_005980	11.42	0.001	S100 calcium binding protein P
NM_000963	8.10	0.001	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
NM_000039	7.15	0.009	apolipoprotein A-I
NM_020311	6.85	0.006	chemokine orphan receptor 1
NM_031302	5.84	0.004	glycosyltransferase 8 domain containing 2
BM969117	5.72	0.048	Transmembrane emp24 protein transport domain containing 8
AK023507	5.45	0.025	Ligase III, DNA, ATP-dependent
NM_007115	5.24	0.002	tumor necrosis factor, alpha-induced protein 6
NM_005127	5.08	0.007	C-type lectin domain family 2, member B
NM_005143	4.82	0.037	haptoglobin
BU739569	4.73	0.036	Ribosomal protein L7a
NM_001122	4.60	0.002	adipose differentiation-related protein
NM_152779	4.49	0.017	GLI pathogenesis-related 1 like 1
NM_002153	4.41	0.021	hydroxysteroid (17-beta) dehydrogenase 2
NM_004054	4.40	0.007	complement component 3a receptor 1
NM_015576	4.28	0.007	ELKS/RAB6-interacting/CAST family member 2
BC031211	4.18	0.027	proprotein convertase subtilisin/kexin type 1
BU074299	4.14	0.001	Islet cell autoantigen 1, 69kDa
NM_021240	4.12	0.026	doublesex and mab-3 related transcription factor 3
BC023640	4.10	0.009	Homo sapiens, clone IMAGE:4890344, mRNA
NM_138705	4.05	0.014	calmodulin-like 6
NM_152474	3.94	0.005	chromosome 19 open reading frame 18
NM_003856	3.90	0.017	interleukin 1 receptor-like 1
BC023258	3.88	0.003	Microtubule associated monoxygenase, calponin and LIM domain containing 3
NM_001353	3.79	0.019	aldo-keto reductase family 1, member C1
NM_004362	3.75	0.044	calmegin
NM_138788	3.74	0.0003	transmembrane protein 45B
NM_000640	3.70	0.016	interleukin 13 receptor, alpha 2
NM_000410	3.69	0.0001	hemochromatosis
NM_017691	3.67	0.008	leucine rich repeat containing 49
NM_178539	3.59	0.006	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2
AI392805	3.52	0.033	Ceruloplasmin (ferroxidase)
NM_152390	3.41	0.041	hypothetical protein MGC33926
NM_005092	3.38	0.012	tumor necrosis factor (ligand) superfamily, member 18
NM_001629	3.32	0.009	arachidonate 5-lipoxygenase-activating protein
NM_003650	3.31	0.017	cystatin F (leukocystatin)
NM_024866	3.31	0.021	adrenomedullin 2
BC033543	3.29	0.003	Major histocompatibility complex, class I, B
NM_033297	3.29	0.012	NACHT, leucine rich repeat and PYD containing 12
NM_004944	3.25	0.037	deoxyribonuclease I-like 3
AA977908	3.17	0.014	Phosphotriesterase related
NM_001393	3.15	0.030	extracellular matrix protein 2, female organ and adipocyte specific
NM_020130	3.14	0.021	chromosome 8 open reading frame 4
BX097144	3.14	0.023	Transcribed locus
NM_173561	3.13	0.030	unc-5 homolog C (C. elegans)-like
CF135326	3.13	0.014	WDFY family member 4
NM_020962	3.11	0.008	likely ortholog of mouse neighbor of Punc E11
NM_177478	3.02	0.010	ferritin mitochondrial
BE501454	2.98	0.011	Promyelocytic leukemia
NM_004848	2.98	0.004	chromosome 1 open reading frame 38
NM_019891	2.96	0.007	ERO1-like beta (S. cerevisiae)
BG539998	2.96	0.008	Signal-regulatory protein beta 2
BX108834	2.94	0.002	Matrilin 3
NM_020858	2.94	0.029	sema domain, transmembrane domain (TM), and cytoplasmic domain
BC027954	2.94	0.032	T cell receptor gamma variable 7
AW971502	2.93	0.042	MADS box transcription enhancer factor 2
NM_024420	2.89	0.041	phospholipase A2, group IVA (cytosolic, calcium-dependent)
NM_033262	2.87	0.009	solute carrier family 8 (sodium-calcium exchanger), member 3
NM_001549	2.81	0.015	interferon-induced protein with tetratricopeptide repeats 3
AW015018	2.78	0.048	Arylsulfatase G
NM_002599	2.77	0.011	phosphodiesterase 2A, cGMP-stimulated
T83845	2.77	0.028	Chromosome X open reading frame 21
AK126330	2.75	0.009	NIMA (never in mitosis gene a)-related kinase 5
NM_181847	2.74	0.012	adhesion molecule with Ig-like domain 2
NM_006690	2.73	0.030	matrix metallopeptidase 24 (membrane-inserted)
NM_003937	2.73	0.005	kynureninase (L-kynurenine hydrolase)
NM_003914	2.72	0.0004	cyclin A1
NM_021229	2.72	0.042	netrin 4
BG254667	2.72	0.025	Homo sapiens, clone IMAGE:3897156, mRNA
AW516579	2.72	0.012	Bcl2 modifying factor
NM_003026	2.70	0.042	SH3-domain GRB2-like 2
AI271869	2.68	0.004	Family with sequence similarity 3, member B
AI821741	2.67	0.001	Transient receptor potential cation channel, subfamily M
AF511647	2.66	0.032	Chromosome 21 mRNA sequence
NM_000203	2.65	0.0005	iduronidase, alpha-L-
AK097266	2.64	0.002	apolipoprotein L, 6
NM_015995	2.64	0.009	Kruppel-like factor 13
BX108238	2.62	0.039	Zinc finger protein 503
NM_006096	2.62	0.001	N-myc downstream regulated gene 1
AK022877	2.59	0.042	Clone TUA8 Cri-du-chat region mRNA
NM_182971	2.58	0.023	cytochrome c oxidase subunit 8C
NM_052966	2.57	0.011	chromosome 1 open reading frame 24
NM_015526	2.57	0.028	CLIP-170-related protein
NM_004726	2.55	0.015	RALBP1 associated Eps domain containing 2
BI861409	2.55	0.0004	PTPRF interacting protein, binding protein 2 (liprin beta 2)
BQ636204	2.53	0.036	Far upstream element (FUSE) binding protein 1
AB046856	2.53	0.004	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
NM_032265	2.53	0.041	zinc finger, MYND-type containing 15
BG401339	2.52	0.024	Syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa)
NM_182920	2.50	0.014	ADAM metallopeptidase with thrombospondin type 1 motif, 9
AW204500	2.49	0.008	Chromosome 7 open reading frame 13
AK024270	2.48	0.022	kelch-like 24 (Drosophila)
NM_017712	2.47	0.006	pyroglutamyl-peptidase I
NM_002422	2.47	0.003	matrix metallopeptidase 3 (stromelysin 1, progelatinase)
NM_000212	2.46	0.001	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
NM_005543	2.43	0.031	insulin-like 3 (Leydig cell)
BX096472	2.43	0.019	Zinc finger protein 43
NM_173576	2.43	0.041	mohawk homeobox
NM_152775	2.42	0.015	KM-HN-1 protein
NM_006393	2.42	0.035	nebulette
NM_003264	2.41	0.005	toll-like receptor 2
