ProbeID	Description	GeneBank/RefSeq Id
A_23_P48669	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	NM_005192
A_23_P46539	differential display and activated by p53	NM_032636
A_23_P133123	GAJ protein	NM_032117
A_23_P163481	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	NM_001211
A_23_P139547	tubulin, alpha 3	NM_006009
A_23_P200866	stathmin 1/oncoprotein 18	NM_005563
A_23_P88331	discs, large homolog 7 (Drosophila)	NM_014750
A_23_P208880	ubiquitin-like, containing PHD and RING finger domains, 1	NM_013282
A_23_P140705	TRAF4 associated factor 1 B	C045739
A_23_P138507	cell division cycle 2, G1 to S and G2 to M	NM_001786
A_23_P50108	highly expressed in cancer, rich in leucine heptad repeats	NM_006101
A_23_P206059	protein regulator of cytokinesis 1	NM_003981
A_23_P206183	nucleolar protein ANKT A	F305711
A_23_P87351	ribonucleotide reductase M1 polypeptide	NM_001033
A_23_P52017	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	NM_018136
A_23_P168747	hypothetical protein FLJ20311	NM_017760
A_23_P118815	baculoviral IAP repeat-containing 5 (survivin) B	C000784
A_23_P74115	RAD54-like (S. cerevisiae)	NM_003579
A_23_P35871	hypothetical protein FLJ23311	NM_024680
A_23_P18579	pituitary tumor-transforming 2	NM_006607
A_23_P7636	pituitary tumor-transforming 1	NM_004219
A_23_P70007	hyaluronan-mediated motility receptor (RHAMM)	NM_012484
A_23_P155711	DNA glycosylase hFPG2	NM_018248
A_23_P107421	thymidine kinase 1, soluble	NM_003258
A_23_P155765	high-mobility group box 2	NM_002129
A_23_P60024	pituitary tumor-transforming 3 A	F095289
A_23_P157099	anillin, actin binding protein (scraps homolog, Drosophila) A	F273437
A_23_P45917	CDC28 protein kinase regulatory subunit 1B	NM_001826
A_23_P63789	ZW10 interactor	NM_032997
A_23_P254733	KSHV latent nuclear antigen interacting protein 1	NM_024629
A_23_P115482	HSPC150 protein similar to ubiquitin-conjugating enzyme	NM_014176
A_23_P118834	topoisomerase (DNA) II alpha 170kDa	NM_001067
A_23_P250801	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	X67334
A_23_P202232	antigen identified by monoclonal antibody Ki-67	X65550
A_23_P54617	kinesin family member 22 A	B017430
A_23_P104651	cell division cycle associated 5	NM_080668
A_23_P143207	ubiquitin-conjugating enzyme E2C B	C016292
A_23_P34788	kinesin family member 2C	NM_006845
A_23_P154068	tubulin, alpha 1 (testis specific) A	K054731
A_23_P214168	collagen, type XII, alpha 1	NM_004370
A_23_P115872	chromosome 10 open reading frame 3	NM_018131
A_23_P259586	TTK protein kinase	NM_003318
A_23_P143994	Fanconi anemia, complementation group D2 A	L832427
A_23_P51085	AD024 protein	NM_020675
A_23_P218827	polymerase (DNA directed), theta	NM_006596
A_23_P82699	T-LAK cell-originated protein kinase A	B027249
A_23_P88630	Bloom syndrome	NM_000057
A_23_P68610	TPX2, microtubule-associated protein homolog (Xenopus laevis)	NM_012112
A_23_P206632	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	U56816
A_23_P114783	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)	NM_001618
A_23_P141965	similar to RIKEN cDNA 2410004L22 gene (M. musculus) B	C010176
A_23_P48175	hypothetical protein MGC5576	NM_024056
A_23_P124417	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	NM_004336
A_23_P155815	chromosome condensation protein G	NM_022346
A_23_P89509	sperm associated antigen 5	NM_006461
A_23_P100344	origin recognition complex, subunit 6 homolog-like (yeast)	NM_014321
A_23_P65757	cyclin B2	NM_004701
A_23_P53276	timeless homolog (Drosophila)	NM_003920
A_23_P93690	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	NM_005916
A_23_P128155	tubulin alpha 6 B	C005946
A_23_P19712	geminin, DNA replication inhibitor	NM_015895
A_23_P57379	CDC45 cell division cycle 45-like (S. cerevisiae)	NM_003504
A_23_P163143		NM_001107
A_23_P200493	lamin B receptor	NM_002296
A_23_P19455	mediator of DNA damage checkpoint 1	D79992
A_23_P76682	reticulon 3 A	F059524
A_23_P7873	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	NM_002388
A_23_P131866	serine/threonine kinase 6	NM_003600
A_23_P63711	ADP-ribosylation factor-like 3	NM_004311
A_23_P123974	deoxythymidylate kinase (thymidylate kinase) A	F258562
A_23_P116264	neurogranin (protein kinase C substrate, RC3)	NM_006176
A_23_P48835	kinesin family member 23	NM_138555
A_23_P87192	flap structure-specific endonuclease 1 B	C000323
A_23_P202624	galanin B	C030241
A_23_P37704	DNA replication factor	NM_030928
A_23_P154294	hypothetical protein MGC13005	NM_032685
A_23_P212844	transforming, acidic coiled-coil containing protein 3	NM_006342
A_23_P15843	BRCA1 interacting protein C-terminal helicase 1 A	F360549
A_23_P151625	A	F152961
A_23_P254702	DEK oncogene (DNA binding) B	C035259
A_23_P200310	hypothetical protein FLJ20354	NM_017779
A_23_P88484	dUTP pyrophosphatase	U31930
A_23_P71558	RecQ protein-like 4	NM_004260
A_23_P95302	replication factor C (activator 1) 5, 36.5kDa	NM_181578
A_23_P19291	tubulin, beta polypeptide	NM_001069
A_23_P128597	tubulin, alpha 2 B	C011721
A_23_P207400	breast cancer 1, early onset	NM_007294
A_23_P256455	replication protein A3, 14kDa	NM_002947
A_23_P74349	cell division cycle associated 1	NM_145697
A_23_P206396	chemokine-like factor	NM_016951
