Affy ID	Accession	Gene Symbol	Description	BC mean	BC SD	SD/mean BC	ctrl mean	ctrl SD	SD/mean ctrl	BC/ctrl	direction	P-value
237239_at	AW183655		Transcribed sequences	0.84	0.33	0.39	1.26	0.23	0.18	0.67	down	1.53E-04
242113_at	AW468298		Transcribed sequence with moderate similarity to protein ref:NP_055301.1 (H.sapiens)  neuronal thread protein [Homo sapiens]	0.93	0.18	0.19	1.3	0.29	0.22	0.71	down	6.30E-04
234156_at	AK026905		flavoprotein oxidoreductase MICAL2	0.99	0.34	0.34	1.37	0.42	0.31	0.72	down	0.003934113
239679_at	AI871160		Transcribed sequences	0.98	0.32	0.33	1.34	0.3	0.22	0.73	down	7.00E-04
202251_at	NM_004698	HPRP3P	PRP3 pre-mRNA processing factor 3 homolog (yeast) /// PRP3 pre-mRNA processing factor 3 homolog (yeast)	0.99	0.21	0.22	1.34	0.42	0.31	0.73	down	0.004658583
212400_at	AL043266		hypothetical protein MGC50853	0.92	0.22	0.24	1.24	0.25	0.2	0.74	down	0.002770437
1561973_at	AL833124	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	0.98	0.16	0.16	1.31	0.43	0.33	0.75	down	0.011014583
203288_at	NM_014686	FLJ21369	KIAA0355	0.93	0.2	0.21	1.23	0.33	0.26	0.75	down	0.001301052
242644_at	BE676000	EVER2	epidermodysplasia verruciformis 2	1	0.27	0.27	1.32	0.24	0.18	0.76	down	2.22E-04
221865_at	BF969986	DKFZp547P234	chromosome 9 open reading frame 91	0.93	0.25	0.27	1.23	0.38	0.31	0.76	down	0.025024684
1569527_at	BC017275	C22orf1; 239AB; FAM1A	---	0.96	0.19	0.2	1.26	0.36	0.28	0.76	down	0.006992892
242539_at	AW665509		Transcribed sequence with weak  similarity to protein ref:NP_110386.1 (H.sapiens)  nuclear receptor binding factor-2 [Homo sapiens]	1.05	0.51	0.49	1.37	0.47	0.34	0.77	down	0.028361428
229111_at	AA033699	MASP2	mannan-binding lectin serine protease 2	0.95	0.19	0.2	1.24	0.31	0.25	0.77	down	0.006992892
239808_at	AI084489		Transcribed sequences	0.98	0.3	0.31	1.28	0.35	0.27	0.77	down	0.009497343
201875_s_at	NM_024569	MPZL1	myelin protein zero-like 1	1	0.39	0.39	1.29	0.28	0.22	0.78	down	0.005061696
202116_at	NM_006268	REQ	D4, zinc and double PHD fingers family 2 /// D4, zinc and double PHD fingers family 2	0.97	0.22	0.23	1.24	0.3	0.24	0.78	down	0.003934113
227208_at	BF446390	na	similar to DLNB14	0.97	0.23	0.23	1.25	0.36	0.29	0.78	down	0.020589577
1557799_at	AF085883	SELH	selenoprotein H	0.89	0.23	0.26	1.13	0.21	0.19	0.78	down	0.011846416
226959_at	AL137430	na	MRNA; cDNA DKFZp761D1624 (from clone DKFZp761D1624)	0.92	0.32	0.35	1.17	0.2	0.17	0.79	down	0.005494224
214351_x_at	AA789278		ribosomal protein L13	0.88	0.22	0.25	1.12	0.14	0.12	0.79	down	0.001301052
224610_at	AL530869		RNA, U22 small nucleolar	0.98	0.26	0.26	1.24	0.32	0.26	0.79	down	0.011024637
212901_s_at	BF732638	CSTF2T	cleavage stimulation factor, 3 pre-RNA, subunit 2, 64kDa, tau variant	0.98	0.23	0.24	1.24	0.31	0.25	0.79	down	0.013668535
232436_at	AI057616	ZNF274	zinc finger protein 274	0.96	0.19	0.2	1.21	0.17	0.14	0.79	down	2.22E-04
221601_s_at	AI084226	TOSO	regulator of Fas-induced apoptosis	0.93	0.42	0.45	1.17	0.22	0.19	0.79	down	0.008168216
241751_at	AW292752	OFD1	oral-facial-digital syndrome 1	1.02	0.35	0.34	1.28	0.3	0.23	0.79	down	0.003934113
213340_s_at	AI073551	KIAA0495	KIAA0495	0.99	0.17	0.18	1.24	0.2	0.16	0.8	down	1.73E-04
201027_s_at	NM_015904	IF2	eukaryotic translation initiation factor 5B	0.98	0.28	0.29	1.24	0.39	0.32	0.8	down	0.040700539
227603_at	N95430	HKR1	CDNA FLJ41385 fis, clone BRCAN2022191	0.97	0.23	0.24	1.21	0.28	0.23	0.8	down	0.012730241
238656_at	AA877043	RAD50	RAD50 homolog (S. cerevisiae)	0.99	0.28	0.29	1.23	0.34	0.28	0.8	down	0.012730241
202217_at	NM_004649	C21orf33	chromosome 21 open reading frame 33 /// chromosome 21 open reading frame 33	0.97	0.28	0.29	1.2	0.31	0.26	0.81	down	0.036169262
230913_at	BE674309		Full length insert cDNA clone ZE12B03	0.95	0.28	0.29	1.17	0.25	0.21	0.81	down	8.65E-04
225187_at	AK022661	DBC-1	p30 DBC protein	0.95	0.24	0.25	1.18	0.3	0.25	0.81	down	0.048269105
227981_at	AI741458	FLJ39035	cytochrome b-561 domain containing 1	0.97	0.09	0.09	1.2	0.18	0.15	0.81	down	5.04E-04
214298_x_at	AL568374	6-Sep	septin 6	1.09	0.45	0.41	1.34	0.34	0.25	0.81	down	0.005494224
237768_x_at	AA825925	TAF15	---	1.07	0.33	0.31	1.32	0.33	0.25	0.81	down	0.002530978
1555372_at	AF455755	BCL2L11; BAM; BIM; BOD; BimL; BimEL	BCL2-like 11 (apoptosis facilitator)	1	0.26	0.26	1.24	0.23	0.19	0.81	down	0.002105193
228549_at	AI491983	KIAA0792	KIAA0792 gene product	1.02	0.31	0.3	1.25	0.37	0.3	0.81	down	0.036169262
