CloneID	UGCluster	Name	Symbol	Redundant (Y=1, N=0)	CSR. Activated=2, Quiescent=-2, cell cycle=0
809894	Hs.14779	acetyl-Coenzyme A synthetase 2 (ADP forming)	ACAS2	0	-2
417404	Hs.227133	apoptotic chromatin condensation inducer in the nucleus	ACINUS	0	-2
144797	Hs.8230	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	ADAMTS1	0	2
472185	Hs.8230	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	ADAMTS1	1	0
796323	Hs.324470	adducin 3 (gamma)	ADD3	0	-2
1558492	Hs.22599	atrophin-1 interacting protein 1	AIP1	0	-2
245174	Hs.172788	ALEX3 protein	ALEX3	1	-2
251452	Hs.172788	ALEX3 protein	ALEX3	1	-2
283233	Hs.172788	ALEX3 protein	ALEX3	1	-2
785342	Hs.172788	ALEX3 protein	ALEX3	0	-2
825842	Hs.262476	adenosylmethionine decarboxylase 1	AMD1	0	0
1942271	Hs.72160	AND-1 protein	AND-1	0	2
461699	Hs.172572	ankyrin repeat domain 10	ANKRD10	0	0
2327739	Hs.279905	nucleolar protein ANKT	ANKT	0	0
461933	Hs.279905	nucleolar protein ANKT	ANKT	1	0
951241	Hs.279905	nucleolar protein ANKT	ANKT	1	0
128711	Hs.62180	anillin, actin binding protein (scraps homolog, Drosophila)	ANLN	1	0
129858	Hs.62180	anillin, actin binding protein (scraps homolog, Drosophila)	ANLN	0	0
1637791	Hs.71331	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	ANP32E	0	0
159608	Hs.75736	apolipoprotein D	APOD	1	-2
838611	Hs.75736	apolipoprotein D	APOD	0	-2
323371	Hs.177486	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	APP	0	-2
2316441	Hs.179735	ras homolog gene family, member C	ARHC	0	2
290050	Hs.13531	Rho GTPase activating protein 12	ARHGAP12	0	-2
293745	Hs.25951	Rho guanine nucleotide exchange factor (GEF) 3	ARHGEF3	0	-2
1703236	Hs.245540	ADP-ribosylation factor-like 4	ARL4	0	0
295710	Hs.26516	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	ASF1B	0	0
770377	Hs.267871	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	ATP6V0A1	0	-2
1585327	Hs.127337	axin 2 (conductin, axil)	AXIN2	0	-2
753400	Hs.274350	BAF53	BAF53A	0	2
1015874	Hs.54089	BRCA1 associated RING domain 1	BARD1	0	0
2326129	Hs.87246	BCL2 binding component 3	BBC3	0	-2
415437	Hs.279862	BRCA2 and CDKN1A interacting protein	BCCIP	0	2
201727	Hs.155024	B-cell CLL/lymphoma 6 (zinc finger protein 51)	BCL6	0	-2
826182	Hs.155024	B-cell CLL/lymphoma 6 (zinc finger protein 51)	BCL6	1	-2
230376	Hs.69771	B-factor, properdin	BF	0	-2
138728	Hs.106826	BRAF35/HDAC2 complex (80 kDa)	BHC80	0	-2
469297	Hs.171825	basic helix-loop-helix domain containing, class B, 2	BHLHB2	0	-2
796694	Hs.1578	baculoviral IAP repeat-containing 5 (survivin)	BIRC5	0	0
448036	Hs.283532	uncharacterized bone marrow protein BM039	BM039	1	2
970649	Hs.283532	uncharacterized bone marrow protein BM039	BM039	0	2
1456155	Hs.373498	potent brain type organic ion transporter	BOCT	0	-2
711698	Hs.34012	breast cancer 2, early onset	BRCA2	0	2
1844857	Hs.97515	BRCA1 interacting protein C-terminal helicase 1	BRIP1	0	2
244767	Hs.1192	barren homolog (Drosophila)	BRRN1	0	0
781047	Hs.98658	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	0	0
842968	Hs.36708	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUB1B	0	0
742952	Hs.40323	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	BUB3	0	0
726860	Hs.32017	chromosome 11 open reading frame 14	C11orf14	0	2
306446	Hs.303025	chromosome 11 open reading frame 24	C11orf24	0	2
1292829	Hs.121025	chromosome 11 open reading frame 5	C11orf5	0	0
242840	Hs.44235	chromosome 13 open reading frame 1	C13orf1	0	2
703559	Hs.88523	chromosome 13 open reading frame 3	C13orf3	0	0
195813	Hs.274201	chromosome 1 open reading frame 33	C1orf33	0	2
377346	Hs.284609	complement component 1, s subcomponent	C1S	0	-2
85634	Hs.284609	complement component 1, s subcomponent	C1S	1	-2
1540227	Hs.9329	chromosome 20 open reading frame 1	C20orf1	1	0
2308994	Hs.9329	chromosome 20 open reading frame 1	C20orf1	0	0
232837	Hs.9329	chromosome 20 open reading frame 1	C20orf1	1	0
80692	Hs.352413	chromosome 20 open reading frame 108	C20orf108	0	-2
200402	Hs.70704	chromosome 20 open reading frame 129	C20orf129	0	0
293727	Hs.208912	chromosome 22 open reading frame 18	C22orf18	0	0
79412	Hs.10235	chromosome 5 open reading frame 4	C5orf4	0	-2
796623	Hs.88663	chromosome 6 open reading frame 139	C6orf139	0	0
24208	Hs.267288	chromosome 6 open reading frame 55	C6orf55	0	2
