Gene symbol	Gene description	Chr	Start (bp)	End (bp)	Strand	Fold change PPTC/NPPTC	FDR-adjusted
ANLN	Anillin, actin binding protein (scraps homolog, Drosophila)	7	36202672	36266638	1	5.85	9.58E -05
BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	17	73721944	73732372	1	6	7.03E -05
UBE2C	Ubiquitin-conjugating enzyme E2C	20	43874662	43879001	1	8.08	1.94E -06
CENPA	Centromere protein A, 17 kDa	2	26898803	26935583	1	5.98	7.25E -05
CCNB2	Cyclin B2	15	57184612	57204535	1	6.74	1.35E -05
PRC1	Protein regulator of cytokinesis 1	15	89310279	89338808	-1	6.75	1.35E -05
NUSAP1	Nucleolar and spindle-associated protein 1	15	39412380	39460535	1	5.78	1.09E -04
ASPM	Asp (abnormal spindle)-like, microcephaly associated (Drosophila)	1	193785111	193847224	-1	7.54	3.89E -06
D2S448	Interleukin 1 receptor antagonist	2	1605957	1718575	-1	7.1	8.04E -06
DIAPH3	Diaphanous homolog 3 (Drosophila)	13	59246299	59636042	-1	6.18	4.88E -05
RRM2	Ribonucleotide reductase M2 polypeptide	2	10213331	10221218	1	5.73	1.15E -04
C10orf3	Chromosome 10 open reading frame 3. CEP55, centrosomalprotein 55 kDa	10	95246386	95278837	1	5.8	1.06E -04
SIAH1	Seven in absentia homolog 1	16	46951950	46976717	-1	-6.64	1.76E -05
SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	6	80397719	80470088	1	-6.15	5.15E -05
C6orf209	Chromosome 6 open reading frame 209	6	70442472	70563609	-1	-8.06	1.94E -06
SDK2	Sidekick homolog 2 (chicken)	17	68842119	68945808	-1	-6.98	8.50E -06
APLP2	Amyloid beta (A4) precursor-like protein 2	11	129445011	129519910	1	-7.08	8.04E -06
PTPRN2	Protein tyrosine phosphatase, receptor type, N polypeptide 2	7	156831227	157879837	-1	-7.69	2.92E -06
NCRMS	Non-coding RNA in rhabdomyosarcoma (RMS)	12	96382930	96482924	1	-6.03	6.60E -05
C7orf23	Chromosome 7 open reading frame 23	7	86470131	86493682	-1	-7.42	4.67E -06
PDK2	Pyruvate dehydrogenase kinase, isoenzyme 2. The reference sequence status is provisional	17	45527695	45543421	1	-6.38	3.13E -05
ORMDL3	ORM1-like 3 (S. cerevisiae)	17	35330822	35337380	-1	-7.05	8.04E -06
PPAP2B	Phosphatidic acid phosphatase type 2B	1	56671960	56757154	-1	-6.77	1.35E -05
