Gene Name	P-value	Common	Genbank	Description
	0.00102	SLC39A3	NM_144564.3	Homo sapiens solute carrier family 39 (zinc transporter), member 3 (SLC39A3), mRNA.
	0.00102	hmm35341	null	Gnomon gene hmm35341 , RefSeq build 34
	0.00102	LOC155340	XM_055725.3	Homo sapiens similar to unc-93 homolog B1; unc93 (C.elegans) homolog B; unc-93 related protein (LOC155340), mRNA.
Hs.465673	0.00101		null	Cluster 465673 , UniGene build 163
	0.000994	LOC285513	NM_198281.1	Homo sapiens hypothetical protein LOC285513 (LOC285513), mRNA.
	0.000993	CIB1	NM_006384.2	Homo sapiens calcium and integrin binding 1 (calmyrin) (CIB1), mRNA.
	0.000978	FLJ10211	XM_290820.2	Homo sapiens hypothetical protein FLJ10211 (FLJ10211), mRNA.
	0.000975	TM4SF7	NM_003271.3	Homo sapiens transmembrane 4 superfamily member 7 (TM4SF7), mRNA.
	0.000965	FEM1B	NM_015322.2	Homo sapiens fem-1 homolog b (C. elegans) (FEM1B), mRNA.
	0.000959	RNASE3L	NM_013235.2	Homo sapiens nuclear RNase III Drosha (RNASE3L), mRNA.
	0.00095	RAP2B	NM_002886.2	Homo sapiens RAP2B, member of RAS oncogene family (RAP2B), mRNA.
	0.000943	GORASP2	NM_015530.3	Homo sapiens golgi reassembly stacking protein 2, 55kDa (GORASP2), mRNA.
	0.000942	C14orf161	NM_024764.1	Homo sapiens chromosome 14 open reading frame 161 (C14orf161), mRNA.
	0.000941	TBK1	NM_013254.2	Homo sapiens TANK-binding kinase 1 (TBK1), mRNA.
	0.000935	hmm27927	null	Gnomon gene hmm27927 , RefSeq build 34
	0.000928	DKFZP564D116	NM_015631.1	Homo sapiens DKFZP564D116 protein (DKFZP564D116), mRNA.
	0.000919	LOC401964	XM_377601.1	Homo sapiens similar to AG3 (LOC401964), mRNA.
	0.000908	RAP1A	NM_002884.1	Homo sapiens RAP1A, member of RAS oncogene family (RAP1A), mRNA.
	0.000897	CKN1	NM_000082.1	Homo sapiens Cockayne syndrome 1 (classical) (CKN1), mRNA.
