EntrezGene.ID	HUGO.gene.symbol	agilent	affy	coefficient	NMSE
2099	ESR1	NM_000125	205225_at	1	0
23158	TBC1D9	AB020689	212956_at	0.82	0.33
2625	GATA3	NM_002051	209602_s_at	0.81	0.34
771	CA12	NM_001218	204508_s_at	0.77	0.4
3169	FOXA1	NM_004496	204667_at	0.75	0.45
4602	MYB	NM_005375	204798_at	0.72	0.48
7802	DNALI1	NM_003462	205186_at	0.72	0.48
18	ABAT	NM_020686	209459_s_at	0.68	0.5
7494	XBP1	NM_005080	200670_at	0.71	0.5
57758	SCUBE2	NM_020974	219197_s_at	0.71	0.51
2066	ERBB4	AF007153	214053_at	0.71	0.51
9	NAT1	NM_000662	214440_at	0.69	0.52
10551	AGR2	NM_006408	209173_at	0.68	0.52
987	LRBA	M83822	212692_s_at	0.67	0.55
56521	DNAJC12	AF176012	218976_at	0.65	0.55
2203	FBP1	NM_000507	209696_at	0.67	0.56
51466	EVL	NM_016337	217838_s_at	0.65	0.56
51442	VGLL1	NM_016267	215729_s_at	-0.66	0.57
57496	MKL2	NM_014048	218259_at	0.65	0.57
7031	TFF1	NM_003225	205009_at	0.64	0.57
1153	CIRBP	NM_001280	200810_s_at	0.64	0.58
26227	PHGDH	NM_006623	201397_at	-0.65	0.58
1555	CYP2B6	M29873	206754_s_at	0.63	0.6
6648	SOD2	NM_000636	215223_s_at	-0.63	0.61
55638	NA	NM_017786	218692_at	0.63	0.61
221061	C10orf38	AL050367	212771_at	-0.62	0.62
7033	TFF3	NM_003226	204623_at	0.62	0.62
53335	BCL11A	NM_018014	219497_s_at	-0.62	0.62
79818	ZNF552	Contig43054	219741_x_at	0.61	0.63
57613	KIAA1467	AB040900	213234_at	0.59	0.63
8416	ANXA9	NM_003568	210085_s_at	0.6	0.63
582	BBS1	Contig1503_RC	218471_s_at	0.61	0.63
54463	NA	NM_019000	218532_s_at	0.6	0.64
55733	HHAT	NM_018194	219687_at	0.58	0.64
2674	GFRA1	NM_005264	205696_s_at	0.58	0.64
4478	MSN	NM_002444	200600_at	-0.59	0.64
51097	SCCPDH	NM_016002	201825_s_at	0.59	0.65
54502	NA	NM_019027	218035_s_at	0.6	0.65
26018	LRIG1	AL117666	211596_s_at	0.59	0.65
55793	FAM63A	NM_018379	221856_s_at	0.59	0.66
3868	KRT16	NM_005557	209800_at	-0.55	0.66
54961	SSH3	NM_017857	219919_s_at	0.58	0.66
60481	ELOVL5	AF111849	208788_at	0.58	0.66
3667	IRS1	NM_005544	204686_at	0.57	0.67
83439	TCF7L1	Contig57725_RC	221016_s_at	-0.58	0.67
10950	BTG3	NM_006806	205548_s_at	-0.58	0.67
3572	IL6ST	NM_002184	204863_s_at	0.57	0.67
4783	NFIL3	NM_005384	203574_at	-0.55	0.67
51161	C3orf18	NM_016210	219114_at	0.55	0.68
2296	FOXC1	NM_001453	213260_at	-0.56	0.68
6664	SOX11	NM_003108	204914_s_at	-0.58	0.68
5613	PRKX	NM_005044	204061_at	-0.56	0.68
8543	LMO4	NM_006769	209204_at	-0.57	0.68
55686	MREG	NM_018000	219648_at	0.57	0.68
8100	IFT88	NM_006531	204703_at	0.55	0.68
2617	GARS	NM_002047	208693_s_at	-0.56	0.68
3945	LDHB	NM_002300	201030_x_at	-0.56	0.69
8382	NME5	NM_003551	206197_at	0.56	0.69
10614	HEXIM1	NM_006460	202815_s_at	0.55	0.69
9633	MTL5	NM_004923	219786_at	0.56	0.69
2568	GABRP	NM_014211	205044_at	-0.56	0.69
23324	MAN2B2	AB023152	214703_s_at	0.56	0.69
55765	C1orf106	NM_018265	219010_at	-0.54	0.7
5104	SERPINA5	J02639	209443_at	0.55	0.7
5174	PDZK1	NM_002614	205380_at	0.55	0.7
56674	TMEM9B	Contig1462_RC	218065_s_at	0.53	0.7
1054	CEBPG	NM_001806	204203_at	-0.55	0.7
9120	SLC16A6	NM_004694	207038_at	0.55	0.7
79641	ROGDI	Contig292_RC	218394_at	0.55	0.7
23303	KIF13B	AF279865	202962_at	0.54	0.7
2173	FABP7	NM_001446	205029_s_at	-0.53	0.7
23171	GPD1L	D42047	212510_at	0.54	0.71
9674	KIAA0040	NM_014656	203143_s_at	0.53	0.71
27134	TJP3	NM_014428	213412_at	0.54	0.71
