Affymetrix ID	Symbol	Description	cluster
100481_at	Col11a1	procollagen, type XI, alpha 1	1
101139_r_at	Muc10	mucin 10, submandibular gland salivary mucin	1
101446_at	Tpd52l1	tumor protein D52-like 1	1
101635_f_at	Mup1	major urinary protein 1	1
101682_f_at	Mup4	major urinary protein 4	1
102096_f_at	Mup1	major urinary protein 1	1
102198_at	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	1
102801_at	Bglap2	bone gamma-carboxyglutamate protein 2	1
102856_at	Sox10	SRY-box containing gene 10	1
103412_at	3732412D 22Rik	RIKEN cDNA 3732412D22 gene	1
103549_at	Nes	nestin	1
103721_at	Npnt	nephronectin	1
103905_at	Car12	carbonic anyhydrase 12	1
103980_at	Epha2	Eph receptor A2	1
104483_at	Col9a1	procollagen, type IX, alpha 1	1
160622_at	BC011209	cDNA sequence BC011209	1
160806_at	Stk39	serine/threonine kinase 39, STE20/SPS1 homolog (yeast)	1
160829_at	Phlda1	pleckstrin homology-like domain, family A, member 1	1
92202_g_at	Zfp145	zinc finger protein 145	1
92275_at	Tcfap2c	transcription factor AP-2, gamma	1
92374_at	Mybph	myosin binding protein H	1
92927_at	Etv1	ets variant gene 1	1
92994_at	Lalba	lactalbumin, alpha	1
93479_at	A930031D 07Rik	RIKEN cDNA A930031D07 gene	1
94384_at	Ier3	immediate early response 3	1
95671_at	Hey1	hairy/enhancer-of-split related with YRPW motif 1	1
96090_g_at	4931406C 07Rik	RIKEN cDNA 4931406C07 gene	1
96803_at	Gbe1	glucan (1,4-alpha-), branching enzyme 1	1
97487_at	Serpine2	serine (or cysteine) proteinase inhibitor, clade E, member 2	1
97520_s_at	Nnat	neuronatin	1
98122_at	Lmo4	LIM domain only 4	1
99011_at	Galnt3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransfer ase 3	1
99034_at	Irx3	Iroquois related homeobox 3 (Drosophila)	1
99460_at	Sema3b	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	1
99643_f_at	Cpe	carboxypeptidase E	1
99952_at	Chi3l1	chitinase 3-like 1	1
100283_at	Sox10	SRY-box containing gene 10	2
100336_s_at	Bglap2	bone gamma-carboxyglutamate protein 2	2
100566_at	Igfbp5	insulin-like growth factor binding protein 5	2
101453_at	Mia	melanoma inhibitory activity	2
102410_at	Hs3st1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	2
104063_at	Srcasm	Src activating and signaling molecule	2
160469_at	Thbs1	thrombospondin 1	2
160546_at	Aldo3	aldolase 3, C isoform	2
161075_at	D9Ertd280 e	DNA segment, Chr 9, ERATO Doi 280, expressed	2
161815_f_at	Mup1	major urinary protein 1	2
92335_at	Ltbp2	latent transforming growth factor beta binding protein 2	2
92403_at	Siat7e	sialyltransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) E	2
93285_at	Dusp6	dual specificity phosphatase 6	2
93689_at	Emid1	EMI domain containing 1	2
94181_at	Scrg1	scrapie responsive gene 1	2
94628_r_at	Abpa	androgen binding protein, alpha	2
95733_at	Slc29a1	solute carrier family 29 (nucleoside transporters), member 1	2
96343_at	Actn4	actinin alpha 4	2
97206_at	Spint1	serine protease inhibitor, Kunitz type 1	2
97413_at	1600029D 21Rik	RIKEN cDNA 1600029D21 gene	2
97531_at	G0s2	G0/G1 switch gene 2	2
98485_at	Rhpn2	rhophilin, Rho GTPase binding protein 2	2
99065_at	Csnk	casein kappa	2
99475_at	Socs2	suppressor of cytokine signaling 2	2
99810_at	Gpx2	glutathione peroxidase 2	2
99956_at	Kit	kit oncogene	2
100024_at	Shrm	shroom	3
102338_at	Pde9a	phosphodiesterase 9A	3
102381_at	Acsl4	acyl-CoA synthetase long-chain family member 4	3
103051_at	Expi	extracellular proteinase inhibitor	3
103059_at	Fxyd3	FXYD domain-containing ion transport regulator 3	3
104017_at	Acsl4	acyl-CoA synthetase long-chain family member 4	3
104643_at	BC037006	cDNA sequence BC037006	3
104716_at	Rbp1	retinol binding protein 1, cellular	3
160564_at	Lcn2	lipocalin 2	3
160565_at	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous	3
160702_at	2210008M 09Rik	RIKEN cDNA 2210008M09 gene	3
161227_r_at	1700051C 09Rik	RIKEN cDNA 1700051C09 gene	3
93097_at	Arg1	arginase 1, liver	3
93975_at	1300002F 13Rik	RIKEN cDNA 1300002F13 gene	3
94545_at	Rtn1	reticulon 1	3
95348_at	Cxcl1	chemokine (C-X-C motif) ligand 1	3
96123_at	Lbp	lipopolysaccharide binding protein	3
96144_at	Idb4	inhibitor of DNA binding 4	3
96518_at	BC037006	cDNA sequence BC037006	3
96771_at	Erbb3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	3
99561_f_at	Cldn7	claudin 7	3
99582_at	Tacstd1	tumor-associated calcium signal transducer 1	3
99993_at	Anpep	alanyl (membrane) aminopeptidase	3
101320_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	4
101486_at	Psmb10	proteasome (prosome, macropain) subunit, beta type 10	4
101745_f_at	---	Clone L2MZB-4.6 immunoglobulin heavy chain variable region mRNA, partial cds	4
101793_at	Fcgr1	Fc receptor, IgG, high affinity I	4
101800_at	Fpr-rs2	formyl peptide receptor, related sequence 2	4
102718_at	Ccr5	chemokine (C-C motif) receptor 5	4
102879_s_at	Fcgr1	Fc receptor, IgG, high affinity I	4
103887_at	S100a9	S100 calcium binding protein A9 (calgranulin B)	4
160553_at	Ly6d	lymphocyte antigen 6 complex, locus D	4
92715_at	Ubd	ubiquitin D	4
93078_at	Ly6a	lymphocyte antigen 6 complex, locus A	4
96020_at	C1qb	complement component 1, q subcomponent, beta polypeptide	4
97009_f_at	---	IgM heavy chain variable region mRNA, partial cds	4
97949_at	Fgl2	fibrinogen-like protein 2	4
98035_g_at	H2-DMb1	histocompatibility 2, class II, locus Mb1	4
99413_at	Ccr1	chemokine (C-C motif) receptor 1	4
100360_f_at	Igh-1a	immunoglobulin heavy chain 1a (serum IgG2a)	5
100377_f_at	Igh-V	immunoglobulin heavy chain variable region	5
100944_at	AW11201 0	expressed sequence AW112010	5
101319_f_at	---	---	5
101747_f_at	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	5
101871_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	5
102330_at	Aif1	allograft inflammatory factor 1	5
102719_f_at	Ccr5	chemokine (C-C motif) receptor 5	5
102860_at	Serpina3g	serine (or cysteine) proteinase inhibitor, clade A, member 3G	5
102995_s_at	Gzma	granzyme A	5
103448_at	S100a8	S100 calcium binding protein A8 (calgranulin A)	5
104388_at	Ccl9	chemokine (C-C motif) ligand 9	5
161650_at	Slpi	secretory leukocyte protease inhibitor	5
161825_f_at	Ceacam10	CEA-related cell adhesion molecule 10	5
92470_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	5
93092_at	H2-DMa	histocompatibility 2, class II, locus DMa	5
93904_f_at	Igh-V3609N	immunoglobulin heavy chain (V3609N non-productive)	5
97577_f_at	AI324046	expressed sequence AI324046	5
97720_at	Igh-VS107	immunoglobulin heavy chain (S107 family)	5
98034_at	H2-DMb1	histocompatibility 2, class II, locus Mb1	5
98092_at	Plac8	placenta-specific 8	5
98997_f_at	Krt1-24	keratin complex 1, acidic, gene 24	5
100362_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	6
100376_f_at	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	6
100682_f_at	---	Similar to anti-colorectal carcinoma light chain (LOC243436), mRNA	6
100721_f_at	LOC56304	recombinant antineuraminidase single chain Ig VH and VL domains	6
100880_at	---	Diabetic nephropathy-related gene 1 mRNA, partial sequence	6
101436_at	Cxcl9	chemokine (C-X-C motif) ligand 9	6
101720_f_at	Igk-V8	immunoglobulin kappa chain variable 8 (V8)	6
101743_f_at	---	Clone L2MZB-17.8 immunoglobulin heavy chain variable region mRNA, partial cds	6
101752_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	6
101870_at	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	6
102076_at	---	Recombinant antineuraminidase single chain Ig VH and VL domains (LOC56304), mRNA	6
