Up in M	Gene Name	Gene Symbol	p53mA	p53mB	p53hetA	p53hetB	Mean Diff
1415707_at	anaphase promoting complex subunit 2	Anapc2	9.24	9.18	8.53	7.80	1.04
1415712_at	C-terminal binding protein 2	Ctbp2	10.11	9.96	8.39	7.68	2.00
1415719_s_at	armadillo repeat containing 1	Armc1	7.15	6.96	5.48	6.28	1.18
1415731_at	DNA segment, Chr 1, ERATO Doi 396, expressed	D1Ertd396e	7.60	6.99	6.30	6.13	1.08
1415763_a_at	gene model 1366, (NCBI)	Gm1366	10.61	10.31	9.37	8.86	1.34
1415765_at	RIKEN cDNA 1110031M08 gene	1110031M08Rik	8.25	8.33	7.20	6.82	1.28
1415833_x_at	ribosomal protein S29	Rps29	13.42	13.48	12.37	11.37	1.58
1415859_at	eukaryotic translation initiation factor 3, subunit 8	Eif3s8	10.01	9.29	7.91	7.79	1.80
1415876_a_at	ribosomal protein S26	Rps26	13.84	13.57	12.73	12.30	1.19
1415895_at	small nuclear ribonucleoprotein N	Snrpn	9.58	9.70	8.02	7.99	1.64
1415896_x_at	small nuclear ribonucleoprotein N	Snrpn	5.58	5.66	3.88	3.85	1.75
1415904_at	lipoprotein lipase	Lpl	9.41	9.52	8.41	7.68	1.42
1415906_at	thymosin, beta 4, X chromosome	Tmsb4x	12.50	12.59	11.67	11.08	1.17
1415964_at	stearoyl-Coenzyme A desaturase 1	Scd1	7.33	7.15	5.03	6.18	1.64
1415971_at	myristoylated alanine rich protein kinase C substrate	Marcks	5.62	5.90	4.01	4.41	1.55
1416088_a_at	ribosomal protein S15	Rps15	12.14	12.25	11.41	10.57	1.20
1416250_at	B-cell translocation gene 2, anti-proliferative	Btg2	10.15	9.97	8.71	7.91	1.75
1416252_at	serine/threonine kinase 38	Stk38	10.44	10.55	8.96	9.35	1.34
1416473_a_at	NA	NA	8.00	8.47	7.11	6.66	1.35
1416495_s_at	NADH dehydrogenase (ubiquinone) Fe-S protein 5	Ndufs5	7.49	7.36	6.46	6.26	1.06
1416530_a_at	purine-nucleoside phosphorylase	Pnp	11.74	11.74	10.64	10.51	1.16
1416532_at	transformation/transcription domain-associated protein	Trrap	8.86	9.25	8.19	7.33	1.29
1416687_at	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	Plod2	9.13	9.11	7.09	7.62	1.76
1416728_at	casein kinase II, beta subunit	Csnk2b	6.14	5.03	2.74	2.92	2.76
1416801_at	transient receptor potential cation channel, subfamily M, member 7	Trpm7	5.22	5.91	4.10	4.00	1.51
1416850_s_at	DNA segment, Chr 10, ERATO Doi 214, expressed	D10Ertd214e	8.57	8.38	6.95	7.77	1.12
1416970_a_at	cytochrome c oxidase, subunit VIIa 2	Cox7a2	11.76	11.87	10.87	10.61	1.07
1416979_at	RIKEN cDNA 2510048O06 gene	2510048O06Rik	9.00	9.55	8.20	8.28	1.04
1417084_at	eukaryotic translation initiation factor 4E binding protein 2	Eif4ebp2	8.16	8.06	6.44	6.87	1.46
1417180_at	proprotein convertase subtilisin/kexin type 7	Pcsk7	5.84	5.48	4.82	4.01	1.24
1417181_a_at	kinesin-associated protein 3	Kifap3	7.07	7.26	6.35	5.82	1.08
1417220_at	fumarylacetoacetate hydrolase	Fah	4.98	5.30	3.94	4.10	1.12
1417236_at	EH-domain containing 3	Ehd3	4.63	4.73	3.10	3.02	1.62
1417248_at	ralA binding protein 1	Ralbp1	8.12	8.03	5.82	6.45	1.94
1417366_s_at	calmodulin 1	Calm1	6.04	5.62	4.86	4.75	1.03
1417513_at	ecotropic viral integration site 5	Evi5	9.91	10.18	8.75	9.09	1.13
1417590_at	cytochrome P450, family 27, subfamily a, polypeptide 1	Cyp27a1	4.92	5.03	3.75	3.77	1.21
1417652_a_at	tubulin cofactor a	Tbca	9.01	9.18	7.44	7.80	1.47
1417754_at	topoisomerase I binding, arginine/serine-rich	Topors	8.77	8.61	7.86	7.17	1.17
1417757_at	unc-13 homolog B (C. elegans)	Unc13b	6.11	6.99	4.29	4.63	2.09
1417831_at	SMC (structural maintenance of chromosomes 1)-like 1 (S. cerevisiae)	Smc1l1	12.39	12.48	11.37	11.33	1.08
1417834_at	synaptojanin 2 binding protein	Synj2bp	7.91	7.49	6.43	6.15	1.41
1417878_at	E2F transcription factor 1	E2f1	6.89	6.49	5.54	5.77	1.03
1417930_at	NA	NA	5.45	6.11	4.51	4.50	1.28
1417982_at	insulin induced gene 2	Insig2	7.85	8.12	6.29	6.74	1.47
1418102_at	hairy and enhancer of split 1 (Drosophila)	Hes1	6.55	6.59	5.40	5.53	1.11
1418162_at	toll-like receptor 4	Tlr4	5.49	6.34	4.59	4.01	1.62
1418176_at	vitamin D receptor	Vdr	7.78	7.73	6.83	6.56	1.06
1418180_at	trans-acting transcription factor 1	Sp1	11.94	11.90	10.68	10.94	1.11
1418209_a_at	profilin 2	Pfn2	9.36	9.83	8.07	8.54	1.29
1418334_at	expressed sequence AA545217	AA545217	8.17	8.74	7.42	7.38	1.06
1418349_at	heparin-binding EGF-like growth factor	Hbegf	10.19	11.08	9.32	8.99	1.48
1418350_at	heparin-binding EGF-like growth factor	Hbegf	10.04	10.44	9.45	8.88	1.08
1418415_at	homeo box B5	Hoxb5	9.63	9.85	8.47	8.21	1.40
1418431_at	kinesin family member 5B	Kif5b	8.17	7.83	6.40	6.44	1.58
1418507_s_at	RIKEN cDNA D130043N08 gene	D130043N08Rik	10.43	10.20	8.32	7.89	2.21
1418514_at	transmembrane emp24 protein transport domain containing 5	Tmed5	10.77	10.96	9.27	8.70	1.88
1418571_at	tumor necrosis factor receptor superfamily, member 12a	Tnfrsf12a	9.36	9.28	8.32	7.79	1.27
1418572_x_at	tumor necrosis factor receptor superfamily, member 12a	Tnfrsf12a	9.60	9.56	8.76	8.35	1.03
1418701_at	catechol-O-methyltransferase	Comt	4.46	4.17	2.60	1.13	2.45
1418841_s_at	cell division cycle 2-like 1	Cdc2l1	11.56	11.38	10.58	9.95	1.20
1418968_at	RB1-inducible coiled-coil 1	Rb1cc1	8.67	9.11	7.81	7.78	1.10
1418989_at	cathepsin E	Ctse	10.65	10.67	6.72	6.14	4.23
1419038_a_at	casein kinase II, alpha 1 polypeptide	Csnk2a1	5.87	6.88	3.67	4.84	2.12
1419054_a_at	protein tyrosine phosphatase, non-receptor type 21	Ptpn21	9.85	9.37	8.35	6.98	1.94
1419055_a_at	protein tyrosine phosphatase, non-receptor type 21	Ptpn21	4.71	5.32	3.50	3.53	1.50
1419089_at	tissue inhibitor of metalloproteinase 3	Timp3	6.61	7.44	4.86	4.55	2.32
1419183_at	PAP associated domain containing 4	Papd4	9.40	8.95	7.84	8.42	1.04
1419256_at	spectrin beta 2	Spnb2	10.87	11.51	9.86	8.99	1.76
1419350_at	hook homolog 2 (Drosophila)	Hook2	6.33	5.71	4.77	4.07	1.60
1419392_at	piccolo (presynaptic cytomatrix protein)	Pclo	7.70	6.80	3.93	4.02	3.28
1419394_s_at	S100 calcium binding protein A8 (calgranulin A)	S100a8	6.25	8.18	4.02	4.03	3.19
1419458_at	Rho-guanine nucleotide exchange factor	Rgnef	8.76	8.04	7.15	7.18	1.24
1419459_a_at	RIKEN cDNA 2610529C04 gene	2610529C04Rik	8.39	9.08	7.62	7.84	1.01
1419469_at	guanine nucleotide binding protein, beta 4	Gnb4	9.08	8.19	6.03	5.91	2.66
1419470_at	guanine nucleotide binding protein, beta 4	Gnb4	10.36	9.98	9.40	8.92	1.01
1419484_a_at	glioblastoma amplified sequence	Gbas	8.22	8.18	7.14	7.25	1.00
1419568_at	mitogen activated protein kinase 1	Mapk1	7.38	7.73	6.04	6.12	1.48
1419584_at	expressed sequence AI428795	AI428795	8.89	8.41	7.73	7.10	1.23
1419620_at	pituitary tumor-transforming 1	Pttg1	7.17	7.37	5.54	4.08	2.46
1419642_at	purine rich element binding protein B	Purb	10.52	10.81	8.57	8.67	2.05
1419730_at	RIKEN cDNA 4631427C17 gene	4631427C17Rik	9.94	10.22	8.54	8.69	1.46
1419764_at	chitinase 3-like 3	Chi3l3	5.24	5.60	4.23	4.30	1.16
1419833_s_at	centaurin, delta 3	Centd3	5.54	5.09	2.85	3.62	2.08
1419999_at	immunoglobulin (CD79A) binding protein 1	Igbp1	6.95	6.52	5.61	5.47	1.20
1420326_s_at	T-complex expressed gene 4	Tce4	10.93	10.38	9.33	8.81	1.58
1420357_s_at	X-linked lymphocyte-regulated 3a	Xlr3a	5.60	6.01	3.40	3.47	2.37
1420479_a_at	nucleosome assembly protein 1-like 1	Nap1l1	8.70	8.98	6.65	7.58	1.72
1420747_at	per-pentamer repeat gene	MGI:1349458	7.35	7.17	4.95	6.13	1.72
1420880_a_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	Ywhab	12.70	12.86	11.77	11.62	1.09
1420908_at	CD2-associated protein	Cd2ap	5.60	5.96	4.75	4.20	1.30
1420935_a_at	serine/arginine repetitive matrix 1	Srrm1	10.17	10.39	9.22	8.94	1.20
1420947_at	alpha thalassemia/mental retardation syndrome X-linked homolog (human)	Atrx	8.31	7.99	6.86	6.22	1.61
1420985_at	ash1 (absent, small, or homeotic)-like (Drosophila)	Ash1l	12.30	12.20	10.99	11.37	1.07
1421027_a_at	myocyte enhancer factor 2C	Mef2c	9.79	9.37	8.17	8.82	1.09
1421205_at	ataxia telangiectasia mutated homolog (human)	Atm	7.50	7.37	6.10	5.26	1.76
1421375_a_at	S100 calcium binding protein A6 (calcyclin)	S100a6	9.07	9.64	7.70	7.40	1.81
1421504_at	trans-acting transcription factor 4	Sp4	7.95	7.04	5.94	5.42	1.82
1421653_a_at	immunoglobulin heavy chain (J558 family)	Igh-VJ558	8.52	10.06	3.97	2.71	5.95
1421800_at	per-hexamer repeat gene 1	Phxr1	7.54	8.34	5.40	5.43	2.52
1421905_at	NA	LOC330731	7.28	6.83	5.71	5.73	1.34
1421907_at	peroxisome proliferator activated receptor binding protein	Pparbp	11.62	10.91	8.70	9.54	2.15
1422208_a_at	guanine nucleotide binding protein, beta 5	Gnb5	6.14	6.01	4.95	5.00	1.10
1422272_at	per-hexamer repeat gene 4	Phxr4	9.52	9.80	8.44	8.78	1.05
1422461_at	ATPase family, AAA domain containing 3A	Atad3a	8.02	8.06	7.03	6.65	1.20
1422536_at	troponin I, cardiac	Tnni3	6.02	7.18	4.69	4.07	2.22
1422557_s_at	metallothionein 1	Mt1	8.55	9.22	5.02	3.61	4.57
1422632_at	cathepsin W	Ctsw	5.02	5.54	4.30	4.06	1.10
1422662_at	lectin, galactose binding, soluble 8	Lgals8	9.58	10.04	8.52	8.86	1.12
1422730_at	LIM domains containing 1	Limd1	8.24	7.92	6.59	6.58	1.50
1422842_at	5-3 exoribonuclease 2	Xrn2	8.05	8.22	5.24	6.30	2.37
1422850_at	NA	NA	12.64	12.63	11.35	11.64	1.14
1422886_a_at	CDC like kinase 4	Clk4	9.48	9.44	7.72	8.12	1.54
1422900_at	meningioma expressed antigen 5 (hyaluronidase)	Mgea5	10.07	10.32	8.69	9.16	1.27
1422910_s_at	SMC6 structural maintenance of chromosomes 6-like 1 (yeast)	Smc6l1	9.63	9.76	8.11	8.30	1.48
1422912_at	bone morphogenetic protein 4	Bmp4	8.24	8.69	5.80	4.77	3.18
1423021_s_at	insulin-like 3	Insl3	7.25	6.62	5.75	5.73	1.20
1423060_at	proliferation-associated 2G4	Pa2g4	8.42	8.71	6.69	7.35	1.55
1423092_at	inner centromere protein	Incenp	7.94	7.87	6.66	7.04	1.06
1423184_at	SH3 domain protein 1B	Sh3d1B	8.00	7.48	6.52	6.52	1.22
1423194_at	Rho GTPase activating protein 5	Arhgap5	7.38	7.68	6.54	6.49	1.01
1423375_at	RIKEN cDNA 1700023B02 gene	1700023B02Rik	7.77	7.87	6.54	5.91	1.60
1423403_at	mitogen activated protein kinase binding protein 1	Mapkbp1	7.70	8.30	6.52	6.98	1.25
1423432_at	pleckstrin homology domain interacting protein	Phip	9.95	9.73	8.76	8.72	1.10
1423991_at	RIKEN cDNA 2610033H07 gene	2610033H07Rik	8.57	8.27	7.20	7.06	1.29
1424005_at	RIKEN cDNA B230219D22 gene	B230219D22Rik	10.36	10.56	9.52	9.05	1.17
1424097_at	ELOVL family member 7, elongation of long chain fatty acids (yeast)	Elovl7	5.56	5.53	4.21	4.48	1.20
1424098_at	ELOVL family member 7, elongation of long chain fatty acids (yeast)	Elovl7	5.44	5.65	4.29	4.47	1.16
1424106_at	RIKEN cDNA 1200003C05 gene	1200003C05Rik	5.42	5.28	3.93	4.14	1.32
1424112_at	insulin-like growth factor 2 receptor	Igf2r	6.54	6.66	3.91	3.93	2.68
1424119_at	protein kinase, AMP-activated, beta 1 non-catalytic subunit	Prkab1	9.35	9.55	7.36	7.02	2.26
1424142_at	inhibitor of kappa light polypeptide enhancer in B-cells, kinase complex-associated protein	Ikbkap	7.00	5.40	3.82	4.25	2.17
1424164_at	mitochondrial ribosomal protein L50	Mrpl50	6.25	6.13	4.27	4.22	1.94
1424192_at	RIKEN cDNA 1500011H22 gene	1500011H22Rik	8.34	9.10	6.62	7.02	1.90
1424244_at	cDNA sequence BC016198	BC016198	7.71	8.06	6.77	6.93	1.04
1424253_at	RIKEN cDNA 1810073G14 gene	1810073G14Rik	8.40	8.37	7.31	6.91	1.27
1424262_at	RIKEN cDNA 2810003C17 gene	2810003C17Rik	8.68	8.67	7.28	7.30	1.38
1424275_s_at	tripartite motif-containing 41	Trim41	10.00	10.23	9.25	8.47	1.25
1424318_at	RIKEN cDNA 1110067D22 gene	1110067D22Rik	8.11	8.33	6.61	7.33	1.25
1424402_at	DNA segment, Chr 5, Brigham & Womens Genetics 0860 expressed	D5Bwg0860e	8.60	7.89	7.05	6.73	1.36
1424414_at	opioid growth factor receptor-like 1	Ogfrl1	6.58	6.62	3.64	5.26	2.15
1424442_a_at	praja 2, RING-H2 motif containing	Pja2	9.68	9.65	8.58	8.13	1.31
1424454_at	RIKEN cDNA A930025J12 gene	A930025J12Rik	5.71	4.87	2.07	2.08	3.21
1424505_at	RIKEN cDNA 0610042C05 gene	0610042C05Rik	5.38	5.16	4.04	3.77	1.36
1424515_at	RIKEN cDNA B230354K17 gene	B230354K17Rik	8.63	8.72	7.68	7.39	1.14
1424516_at	RIKEN cDNA B230354K17 gene	B230354K17Rik	10.85	10.80	9.23	8.47	1.97
1424542_at	S100 calcium binding protein A4	S100a4	8.16	8.52	6.62	6.16	1.95
1424636_at	RIKEN cDNA 2610204L23 gene	2610204L23Rik	6.83	8.06	5.24	5.82	1.92
1424723_s_at	cleavage stimulation factor, 3 pre-RNA, subunit 3	Cstf3	8.42	9.12	7.67	7.80	1.04
1424726_at	cDNA sequence BC014685	BC014685	7.42	6.94	6.03	5.20	1.56
1424766_at	cDNA sequence BC004701	BC004701	7.73	7.62	6.38	5.63	1.67
1424893_at	nuclear distribution gene E-like homolog 1 (A. nidulans)	Ndel1	7.72	8.27	6.16	6.49	1.67
1424908_at	RIKEN cDNA 2310020P08 gene	2310020P08Rik	7.92	7.70	6.72	6.18	1.36
1424927_at	GLI pathogenesis-related 1 (glioma)	Glipr1	12.40	12.66	11.05	11.68	1.16
1425148_a_at	sorting nexin 6	Snx6	10.34	10.37	9.32	8.64	1.37
1425270_at	kinesin family member 1B	Kif1b	8.30	8.79	5.30	6.19	2.80
1425311_at	G protein-coupled receptor 146	Gpr146	7.51	8.20	6.62	6.16	1.46
1425346_at	zinc finger protein 318	Zfp318	9.15	8.82	7.93	7.56	1.24
1425424_at	NA	NA	8.44	8.15	6.60	6.61	1.69
1425469_a_at	NA	NA	10.32	10.15	8.63	8.51	1.67
1425522_at	RIKEN cDNA 2600011C06 gene	2600011C06Rik	7.88	8.40	7.05	6.38	1.42
1425533_a_at	staufen (RNA binding protein) homolog 2 (Drosophila)	Stau2	7.44	7.96	6.67	6.55	1.09
1425544_at	pleckstrin homology domain containing, family A member 5	Plekha5	3.86	4.38	2.97	2.34	1.47
1425603_at	RIKEN cDNA 0610011I04 gene	0610011I04Rik	11.01	11.56	10.37	10.11	1.05
1425617_at	DEAH (Asp-Glu-Ala-His) box polypeptide 9	Dhx9	9.86	10.43	8.88	9.14	1.13
1425740_at	suppressor of variegation 4-20 homolog 1 (Drosophila)	Suv420h1	7.85	8.45	5.27	5.84	2.60
1425763_x_at	immunoglobulin heavy chain (J558 family)	Igh-VJ558	9.06	10.82	3.90	3.42	6.28
1425883_at	expressed sequence AI317223	AI317223	6.81	7.36	5.22	5.21	1.87
1425918_at	EGL nine homolog 3 (C. elegans)	Egln3	9.91	10.27	8.41	8.46	1.66
1426114_at	heterogeneous nuclear ribonucleoprotein A/B	Hnrpab	8.83	8.91	7.58	7.63	1.26
1426208_x_at	pleiomorphic adenoma gene-like 1	Plagl1	9.31	9.22	8.09	8.12	1.16
1426258_at	sortilin-related receptor, LDLR class A repeats-containing	Sorl1	6.38	6.38	4.32	4.29	2.07
1426287_at	spinocerebellar ataxia 7 homolog (human)	Sca7	7.31	7.50	6.69	5.85	1.14
1426365_at	RIKEN cDNA 2810403A07 gene	2810403A07Rik	9.23	9.42	7.97	8.40	1.14
1426404_a_at	ring finger protein 11	Rnf11	9.15	9.57	8.38	8.29	1.03
1426407_at	CUG triplet repeat, RNA binding protein 1	Cugbp1	11.76	11.57	10.71	9.99	1.31
1426408_at	CUG triplet repeat, RNA binding protein 1	Cugbp1	10.42	10.28	9.40	9.22	1.04
1426417_at	RIKEN cDNA 2310034L04 gene	2310034L04Rik	7.89	8.28	6.83	7.08	1.13
1426420_at	RIKEN cDNA 1700009P03 gene	1700009P03Rik	5.01	4.43	2.31	2.69	2.22
1426472_at	zinc finger protein 52	Zfp52	6.40	7.18	5.46	4.81	1.66
1426505_at	ecotropic viral integration site 2a	Evi2a	8.76	8.38	6.69	6.94	1.75
1426666_a_at	unc-84 homolog A (C. elegans)	Unc84a	7.49	7.63	5.78	6.56	1.39
1426697_a_at	low density lipoprotein receptor-related protein associated protein 1	Lrpap1	7.48	7.87	6.87	6.40	1.04
1426724_at	calponin 3, acidic	Cnn3	6.27	6.86	5.49	5.46	1.08
1426753_at	PHD finger protein 17	Phf17	8.26	7.17	5.42	5.39	2.31
1426829_at	retinoid X receptor interacting protein 110	Rxrip110	9.63	9.14	8.24	8.30	1.11
1426864_a_at	neural cell adhesion molecule 1	Ncam1	5.77	5.35	3.19	3.39	2.27
1426870_at	F-box only protein 33	Fbxo33	9.82	10.16	8.84	8.80	1.17
1426892_at	utrophin	Utrn	8.88	8.61	7.69	7.26	1.27
1426896_at	zinc finger protein 191	Zfp191	7.84	7.79	4.52	5.43	2.84
1426951_at	cysteine-rich motor neuron 1	Crim1	8.93	8.92	8.16	7.56	1.06
1427088_at	cyclin T2	Ccnt2	9.41	9.58	7.84	8.27	1.44
1427095_at	CUB domain containing protein 1	Cdcp1	5.77	6.77	5.02	4.54	1.49
1427136_s_at	splicing factor, arginine/serine-rich 12	Sfrs12	10.95	10.59	9.78	9.62	1.07
1427150_at	myeloid/lymphoid or mixed-lineage leukemia 3	Mll3	10.05	9.95	8.71	8.04	1.62
1427155_at	FCH and double SH3 domains 1	Fchsd1	6.87	7.38	6.00	5.28	1.49
1427266_at	RIKEN cDNA 2310032M22 gene	MGI:1923998	9.69	9.56	8.63	8.17	1.23
1427310_at	fetal Alzheimer antigen	Falz	12.76	12.49	11.61	10.78	1.43
1427410_at	deleted in lymphocytic leukemia, 2	Dleu2	5.52	5.75	3.78	4.59	1.45
1427455_x_at	immunoglobulin kappa chain variable 8 (V8)	Igk-V8	7.26	9.23	4.43	2.40	4.83
1427526_at	FGFR1 oncogene partner 2	Fgfr1op2	9.89	9.85	8.84	8.34	1.28
1427564_at	diaphanous homolog 2 (Drosophila)	Diap2	6.76	6.49	5.39	4.05	1.91
1427672_a_at	ubiquitously transcribed tetratricopeptide repeat gene, X chromosome	Utx	8.04	7.94	6.64	7.07	1.13
1427703_at	platelet-activating factor acetylhydrolase, isoform 1b, beta1 subunit	Pafah1b1	10.66	10.51	9.47	9.10	1.29
1427749_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3	Galnt3	8.97	9.39	7.90	7.77	1.34
1427819_at	B-cell leukemia/lymphoma 2	Bcl2	7.79	8.14	3.73	5.53	3.34
1427944_at	C1q domain containing 1	C1qdc1	7.01	7.17	5.62	5.66	1.45
1427997_at	RIKEN cDNA 1110007M04 gene	1110007M04Rik	10.40	9.67	8.30	9.03	1.37
1428171_at	PRP39 pre-mRNA processing factor 39 homolog (yeast)	Prpf39	6.64	7.26	5.77	5.75	1.19
1428267_at	DEAH (Asp-Glu-Ala-His) box polypeptide 40	Dhx40	7.86	8.16	6.29	6.16	1.79
1428360_x_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a)	Ndufa7	8.00	8.06	7.10	6.23	1.37
1428510_at	latrophilin 1	Lphn1	6.20	5.73	4.42	5.05	1.23
1428871_at	RIKEN cDNA 4121402D02 gene	4121402D02Rik	10.64	10.93	8.90	9.48	1.60
1428942_at	metallothionein 2	Mt2	9.60	10.17	7.67	6.79	2.65
1429109_at	ring finger protein 184	Rnf184	8.60	9.61	7.44	7.58	1.60
1429150_at	RIKEN cDNA 2700091N06 gene	2700091N06Rik	7.01	6.74	5.10	4.62	2.02
1429207_at	RIKEN cDNA 1810009A15 gene	1810009A15Rik	10.04	9.56	6.50	7.67	2.71
1429240_at	StAR-related lipid transfer (START) domain containing 4	Stard4	11.12	11.19	9.80	9.45	1.53
1429381_x_at	immunoglobulin heavy chain (J558 family)	Igh-VJ558	7.47	9.21	5.38	5.18	3.06
1429782_at	gene rich cluster, C10 gene	Grcc10	7.09	6.47	5.85	5.24	1.23
1429907_at	RIKEN cDNA 1700094D03 gene	1700094D03Rik	9.06	8.61	7.79	7.69	1.10
1430290_at	NudC domain containing 3	Nudcd3	7.50	7.46	5.89	5.84	1.62
1430533_a_at	catenin beta	Catnb	8.71	8.90	5.88	5.89	2.92
1430820_a_at	bobby sox homolog (Drosophila)	Bbx	8.86	9.06	8.00	7.89	1.01
1431182_at	heat shock protein 8	Hspa8	9.81	9.15	8.32	8.63	1.01
1431405_a_at	RIKEN cDNA 4930413O22 gene	4930413O22Rik	8.33	8.13	6.46	7.27	1.36
1431507_a_at	synaptojanin 2 binding protein	Synj2bp	8.16	7.83	6.75	6.72	1.26
1431929_a_at	syntaxin 17	Stx17	6.10	6.49	5.43	4.55	1.31
1432007_s_at	adaptor protein complex AP-2, alpha 2 subunit	Ap2a2	9.22	9.39	8.07	8.51	1.01
1432195_s_at	cyclin L2	Ccnl2	11.77	12.05	10.74	10.63	1.23
1432411_a_at	F-box and WD-40 domain protein 2	Fbxw2	6.96	6.88	5.99	5.83	1.01
1433545_s_at	RIKEN cDNA 5730439E10 gene	5730439E10Rik	5.85	6.35	4.76	4.78	1.33
1433736_at	host cell factor C1	Hcfc1	8.23	8.08	6.69	7.09	1.26
1433924_at	paternally expressed 3	Peg3	6.75	7.43	5.77	5.83	1.30
1434087_at	5,10-methylenetetrahydrofolate reductase	Mthfr	8.87	9.02	7.99	7.75	1.08
1434229_a_at	polymerase (DNA directed), beta	Polb	7.86	7.43	6.78	6.37	1.07
1434585_at	tubby like protein 4	Tulp4	6.64	7.06	5.09	5.81	1.40
1434597_at	DNA segment, Chr 13, Wayne State University 64, expressed	D13Wsu64e	11.09	10.81	9.51	9.82	1.29
1434600_at	tight junction protein 2	Tjp2	8.39	8.31	7.52	7.07	1.05
1434676_at	L-threonine dehydrogenase	Tdh	11.06	10.55	8.76	8.91	1.97
1434935_at	AP2 associated kinase 1	Aak1	10.96	10.84	9.66	9.84	1.15
1434942_at	RIKEN cDNA 2610101J03 gene	2610101J03Rik	10.50	10.11	9.29	9.21	1.05
1435035_at	RNA (guanine-9-) methyltransferase domain containing 2	Rg9mtd2	8.97	9.56	7.43	7.41	1.85
