ProbeSet ID	Gene Title	Gene Symbol	GO Biological Process	GO Molecular Function	GO Cellular Component	Metagene
200983_x_at	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	CD59	immune response cell surface receptor linked signal transduction blood coagulation	---	membrane fraction plasma membrane	Mgene 79
201481_s_at	phosphorylase, glycogen; brain	PYGB	carbohydrate metabolism glycogen catabolism	phosphorylase activity transferase activity, transferring glycosyl groups	---	Mgene 79
201627_s_at	insulin induced gene 1	INSIG1	metabolism cell proliferation	---	---	Mgene 79
202812_at	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)	GAA	carbohydrate metabolism glycogen catabolism generation of precursor metabolites and energy	hydrolase activity, hydrolyzing O-glycosyl compounds alpha-glucosidase activity	lysosome	Mgene 79
203796_s_at	B-cell CLL/lymphoma 7A	BCL7A	---	actin binding	---	Mgene 79
203856_at	vaccinia related kinase 1	VRK1	protein amino acid phosphorylation	protein serine/threonine kinase activity ATP binding transferase activity	---	Mgene 79
205118_at	---	---	---	---	---	Mgene 79
206022_at	Norrie disease (pseudoglioma)	NDP	vacuole organization and biogenesis signal transduction cell-cell signaling neurogenesis visual perception perception of sound cell proliferation	growth factor activity	extracellular space	Mgene 79
206986_at	---	---	---	---	---	Mgene 79
208341_x_at	chorionic somatomammotropin hormone 2	CSH2	signal transduction cell-cell signaling pregnancy	growth hormone receptor binding hormone activity structural constituent of chorion (sensu Insecta)	extracellular region extracellular space	Mgene 79
208871_at	dentatorubral-pallidoluysian atrophy (atrophin-1)	DRPLA	central nervous system development	protein binding	nucleus cytoplasm	Mgene 79
209479_at	chromosome 6 open reading frame 80	C6orf80	---	receptor activity	---	Mgene 79
210220_at	frizzled homolog 2 (Drosophila)	FZD2	establishment of tissue polarity G-protein coupled receptor protein signaling pathway development Wnt receptor signaling pathway	non-G-protein coupled 7TM receptor activity G-protein coupled receptor activity	integral to plasma membrane	Mgene 79
210842_at	neuropilin 2	NRP2	angiogenesis electron transport cell adhesion neurogenesis axon guidance	receptor activity vascular endothelial growth factor receptor activity electron transporter activity semaphorin receptor activity	membrane fraction integral to membrane	Mgene 79
210890_x_at	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	KIR2DL1	immune response negative regulation of natural killer cell activity	receptor activity HLA-C specific inhibitory MHC class I receptor activity	integral to plasma membrane	Mgene 79
211090_s_at	PRP4 pre-mRNA processing factor 4 homolog B (yeast) PRP4 pre-mRNA processing factor 4 homolog B (yeast)	PRPF4B	nuclear mRNA splicing, via spliceosome protein amino acid phosphorylation RNA splicing	protein serine/threonine kinase activity ATP binding transferase activity	nucleus	Mgene 79
211168_s_at	regulator of nonsense transcripts 1	RENT1	mRNA catabolism, nonsense-mediated decay regulation of translational termination DNA restriction	RNA binding helicase activity protein binding ATP binding type III site-specific deoxyribonuclease activity hydrolase activity	cytoplasm	Mgene 79
211207_s_at	acyl-CoA synthetase long-chain family member 6	ACSL6	lipid metabolism fatty acid metabolism acyl-CoA metabolism metabolism	magnesium ion binding catalytic activity long-chain-fatty-acid-CoA ligase activity ligase activity	mitochondrial outer membrane peroxisomal membrane microsome plasma membrane	Mgene 79
213457_at	malignant fibrous histiocytoma amplified sequence 1	MFHAS1	small GTPase mediated signal transduction	GTP binding	---	Mgene 79
200045_at	ATP-binding cassette, sub-family F (GCN20), member 1 ATP-binding cassette, sub-family F (GCN20), member 1	ABCF1	---	nucleotide binding ATP binding ATPase activity	---	Mgene 40
200881_s_at	DnaJ (Hsp40) homolog, subfamily A, member 1	DNAJA1	protein folding response to unfolded protein	heat shock protein binding unfolded protein binding	---	Mgene 40
200981_x_at	GNAS complex locus	GNAS	signal transduction G-protein coupled receptor protein signaling pathway G-protein signaling, adenylate cyclase activating pathway pregnancy protein secretion	GTPase activity signal transducer activity GTP binding	extracellular region heterotrimeric G-protein complex plasma membrane	Mgene 40
200995_at	Importin 7	IPO7	protein-nucleus import, docking signal transduction protein transport	small GTPase regulatory/interacting protein activity binding RAN protein binding protein transporter activity	soluble fraction nucleus nuclear pore cytoplasm	Mgene 40
201116_s_at	carboxypeptidase E	CPE	protein modification proteolysis and peptidolysis neuropeptide signaling pathway metabolism	carboxypeptidase activity carboxypeptidase A activity carboxypeptidase E activity metallopeptidase activity hydrolase activity	plasma membrane	Mgene 40
201120_s_at	progesterone receptor membrane component 1	PGRMC1	---	receptor activity steroid binding	microsome integral to plasma membrane	Mgene 40
201138_s_at	Sjogren syndrome antigen B (autoantigen La)	SSB	transcription from Pol III promoter RNA processing tRNA modification RNA-nucleus export histone mRNA metabolism	tRNA binding mRNA binding	nucleus cytoplasm ribonucleoprotein complex	Mgene 40
201159_s_at	N-myristoyltransferase 1	NMT1	N-terminal protein myristoylation protein-lipoylation	glycylpeptide N-tetradecanoyltransferase activity acyltransferase activity transferase activity	---	Mgene 40
201182_s_at	chromodomain helicase DNA binding protein 4	CHD4	chromatin assembly or disassembly regulation of transcription from Pol II promoter chromosome organization and biogenesis (sensu Eukaryota) protein ubiquitination chromatin modification	chromatin binding ATP-dependent DNA helicase activity ubiquitin-protein ligase activity ATP binding zinc ion binding	ubiquitin ligase complex chromatin nucleus	Mgene 40
201455_s_at	aminopeptidase puromycin sensitive	NPEPPS	proteolysis and peptidolysis	aminopeptidase activity membrane alanyl aminopeptidase activity metallopeptidase activity zinc ion binding	nucleus cytosol	Mgene 40
202666_s_at	actin-like 6A	ACTL6A	regulation of cell growth chromatin remodeling regulation of transcription, DNA-dependent signal transduction response to pest, pathogen or parasite chromatin modification	chromatin binding motor activity structural constituent of cytoskeleton	nucleus actin filament TIP60 histone acetyltransferase complex	Mgene 40
203018_s_at	synovial sarcoma, X breakpoint 2 interacting protein	SSX2IP	cell adhesion	protein binding	nucleus	Mgene 40
205556_at	msh homeo box homolog 2 (Drosophila)	MSX2	skeletal development regulation of transcription, DNA-dependent development	transcription factor activity	nucleus	Mgene 40
206302_s_at	nudix (nucleoside diphosphate linked moiety X)-type motif 4	NUDT4	intracellular signaling cascade cyclic nucleotide metabolism calcium-mediated signaling cyclic-nucleotide-mediated signaling regulation of RNA-nucleus export intracellular transport	diphosphoinositol-polyphosphate diphosphatase activity hydrolase activity	intracellular	Mgene 40
209963_s_at	erythropoietin receptor	EPOR	signal transduction small GTPase mediated signal transduction	erythropoietin receptor activity guanyl-nucleotide exchange factor activity	integral to plasma membrane	Mgene 40
210349_at	calcium/calmodulin-dependent protein kinase IV	CAMK4	protein amino acid phosphorylation signal transduction	protein serine/threonine kinase activity calcium- and calmodulin-dependent protein kinase activity calmodulin binding ATP binding transferase activity	nucleus	Mgene 40
211442_x_at	cytochrome P450, family 3, subfamily A, polypeptide 43	CYP3A43	electron transport xenobiotic metabolism	unspecific monooxygenase activity	membrane fraction endoplasmic reticulum microsome membrane	Mgene 40
211444_at	---	---	---	---	---	Mgene 40
211720_x_at	ribosomal protein, large, P0 ribosomal protein, large, P0	RPLP0	protein biosynthesis translational elongation	RNA binding structural constituent of ribosome	intracellular ribosome cytosolic large ribosomal subunit (sensu Eukaryota)	Mgene 40
211778_s_at	zinc finger protein 339 zinc finger protein 339	ZNF339	regulation of transcription, DNA-dependent	DNA binding zinc ion binding	nucleus	Mgene 40
212360_at	adenosine monophosphate deaminase 2 (isoform L)	AMPD2	purine nucleotide metabolism purine ribonucleoside monophosphate biosynthesis	AMP deaminase activity hydrolase activity	---	Mgene 40
