Probe Set	Genbank	Gene name	FC M/T	M	T	% of I	% of D	% of NC	Description
212314_at	AB018289	KIAA0746	2.16	1.68	0.78	76.92	7.69	15.38	KIAA0746 protein
202992_at	NM_000587	C7	2.99	1.67	0.56	76.92	7.69	15.38	complement component 7
217028_at	AJ224869	CXCR4	1.66	1.18	0.71	73.08	11.54	15.38	chemokine (C-X-C motif) receptor 4
228592_at	AW474852	MS4A1	4.92	2.29	0.47	73.08	3.85	23.08	membrane-spanning 4-domains, subfamily A, member 1
210356_x_at	BC002807	MS4A1	3.09	2.13	0.69	73.08	0	26.92	membrane-spanning 4-domains, subfamily A, member 1
212829_at	BE878277	---	1.6	1.31	0.82	69.23	15.38	15.38	CDNA FLJ13267 fis, clone OVARC1000964
226218_at	BE217880	IL7R	2.13	1.43	0.67	69.23	11.54	19.23	interleukin 7 receptor
218499_at	NM_016542	MST4	1.78	1.4	0.79	69.23	3.85	26.92	Mst3 and SOK1-related kinase
217418_x_at	X12530	MS4A1	3.14	1.81	0.58	69.23	0	30.77	membrane-spanning 4-domains, subfamily A, member 1
211742_s_at	BC005926	EVI2B	1.71	1.37	0.8	65.38	7.69	26.92	ecotropic viral integration site 2B
203159_at	NM_014905	GLS	1.6	1.21	0.75	65.38	7.69	26.92	glutaminase
227346_at	AI741188	ZNFN1A1	2.25	1.53	0.68	65.38	7.69	26.92	zinc finger protein, subfamily 1A, 1 (Ikaros)
205267_at	NM_006235	POU2AF1	3.24	2.2	0.68	65.38	3.85	30.77	POU domain, class 2, associating factor 1
205544_s_at	NM_001877	CR2	7.39	3.94	0.53	65.38	0	34.62	complement component (3d
206070_s_at	AF213459	EPHA3	5.01	1.92	0.38	65.38	0	34.62	EphA3
219667_s_at	NM_017935	BANK1	4.37	2.84	0.65	65.38	0	34.62	B-cell scaffold protein with ankyrin repeats 1
202741_at	AA130247	PRKACB	1.24	0.97	0.78	61.54	19.23	19.23	protein kinase, cAMP-dependent, catalytic, beta
203868_s_at	NM_001078	VCAM1	1.77	1.15	0.65	61.54	11.54	26.92	vascular cell adhesion molecule 1
212587_s_at	AI809341	PTPRC	2.02	1.32	0.65	61.54	11.54	26.92	protein tyrosine phosphatase, receptor type, C
205668_at	NM_002349	LY75	1.73	1.45	0.84	61.54	11.54	26.92	lymphocyte antigen 75
212646_at	D42043	RAFTLIN	1.39	1.1	0.79	61.54	7.69	30.77	raft-linking protein
213400_s_at	AV753028	TBL1X	1.26	1.07	0.85	61.54	7.69	30.77	transducin (beta)-like 1X-linked
219286_s_at	NM_022768	RBM15	1.46	1.14	0.78	61.54	3.85	34.62	RNA binding motif protein 15
213618_at	AB011152	CENTD1	1.62	1.09	0.67	61.54	0	38.46	centaurin, delta 1
221969_at	BF510692	PAX5	3.99	1.97	0.49	61.54	0	38.46	paired box gene 5 (B-cell lineage specific activator protein)
203915_at	NM_002416	CXCL9	1.56	1.23	0.79	57.69	19.23	23.08	chemokine (C-X-C motif) ligand 9
224833_at	BE218980	ETS1	1.63	1.19	0.73	57.69	15.38	26.92	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
226811_at	AL046017	FLJ20202	1.46	0.94	0.64	57.69	15.38	26.92	FLJ20202 protein
203936_s_at	NM_004994	MMP9	1.85	1.23	0.66	57.69	15.38	26.92	matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
210260_s_at	BC005352	TNFAIP8	1.75	1.41	0.81	57.69	15.38	26.92	tumor necrosis factor, alpha-induced protein 8
206201_s_at	NM_005924	MEOX2	2.05	1.45	0.7	57.69	15.38	26.92	mesenchyme homeo box 2 (growth arrest-specific homeo box)
225626_at	AK000680	PAG	1.57	0.98	0.63	57.69	15.38	26.92	phosphoprotein associated with glycosphingolipid-enriched microdomains
204224_s_at	NM_000161	GCH1	1.33	1.1	0.83	57.69	11.54	30.77	GTP cyclohydrolase 1 (dopa-responsive dystonia)
226789_at	W84421	---	1.47	1.09	0.75	57.69	11.54	30.77	CDNA FLJ46881 fis, clone UTERU3015647, moderately  similar to Embigin precursor
212588_at	Y00062	PTPRC	2	1.47	0.74	57.69	11.54	30.77	protein tyrosine phosphatase, receptor type, C
200790_at	NM_002539	ODC1	1.39	1.22	0.88	57.69	11.54	30.77	ornithine decarboxylase 1
208296_x_at	NM_014350	TNFAIP8	1.7	1.4	0.82	57.69	11.54	30.77	tumor necrosis factor, alpha-induced protein 8
229723_at	BF591040	TAGAP	1.67	1.25	0.75	57.69	11.54	30.77	T-cell activation GTPase activating protein
212288_at	AB011126	FNBP1	1.65	1.28	0.78	57.69	11.54	30.77	formin binding protein 1
226525_at	N51102	---	1.55	1.18	0.76	57.69	7.69	34.62	Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry
209201_x_at	L01639	CXCR4	1.9	1.27	0.67	57.69	7.69	34.62	chemokine (C-X-C motif) receptor 4
225176_at	AA156754	---	1.39	1.01	0.73	57.69	3.85	38.46	MSTP146 (MST146) mRNA, complete cds
210279_at	AF261135	GPR18	3	1.87	0.62	57.69	3.85	38.46	G protein-coupled receptor 18
34210_at	N90866	CDW52	2.39	1.57	0.66	57.69	3.85	38.46	CDW52 antigen (CAMPATH-1 antigen)
213106_at	AI769688	ATP8A1	1.93	1.38	0.71	57.69	3.85	38.46	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1
229152_at	AI718421	C4orf7	3.54	2.33	0.66	57.69	0	42.31	chromosome 4 open reading frame 7
33304_at	U88964	ISG20	1.48	1.35	0.91	53.85	19.23	26.92	interferon stimulated gene 20kDa
225225_at	BF791544	---	1.25	0.95	0.76	53.85	15.38	30.77	Clone IMAGE:5302006, mRNA
235278_at	BF032500	---	1.49	0.83	0.56	53.85	15.38	30.77	CDNA FLJ43911 fis, clone TESTI4010928
224810_s_at	AL569476	ANKRD13	1.41	1.1	0.78	53.85	15.38	30.77	ankyrin repeat domain 13
205569_at	NM_014398	LAMP3	1.9	1.21	0.64	53.85	15.38	30.77	lysosomal-associated membrane protein 3
224964_s_at	AK026424	GNG2	1.36	1.17	0.86	53.85	11.54	34.62	guanine nucleotide binding protein (G protein), gamma 2
207186_s_at	NM_004459	FALZ	1.44	1.35	0.94	53.85	11.54	34.62	fetal Alzheimer antigen
201153_s_at	NM_021038	MBNL1	1.52	1.29	0.85	53.85	11.54	34.62	muscleblind-like (Drosophila)
219014_at	NM_016619	PLAC8	1.98	1.83	0.92	53.85	11.54	34.62	placenta-specific 8
209723_at	BC002538	SERPINB9	1.88	1.41	0.75	53.85	11.54	34.62	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 9
41220_at	AB023208	MSF	1.29	1.12	0.87	53.85	7.69	38.46	MLL septin-like fusion
