Gene symbol	Gene name	Unigene ID
AREG	Amphiregulin (schwannoma-derived growth factor)	270833
TM6SF1	Transmembrane 6 superfamily member 1	151155
KIAA0152	KIAA0152 gene product	181418
EMP1	Epithelial membrane protein 1	306692
ALCAM	Activated leukocyte cell adhesion molecule	434858
C14orf1	Chromosome 14 open reading frame 1	15106
SV2A	Synaptic vesicle glycoprotein 2A	7979
ADAM28	A disintegrin and metalloproteinase domain 28	528304
ITGA9	Integrin, alpha 9	8042
FLT3	Fms-related tyrosine kinase 3	385
LAPTM4B	Lysosomal associated protein transmembrane 4 beta	296398
GPR125	G protein-coupled receptor 125	356876
TRO	Trophinin	434971
ATP9A	ATPase, Class II, type 9A	368002
KIAA0286	KIAA0286 protein	14912
PTPRD	Protein tyrosine phosphatase, receptor type, D	323079
DSG2	Desmoglein 2	412597
TM7SF3	Transmembrane 7 superfamily member 3	10071
TNFRSF21	Tumor necrosis factor receptor superfamily, member 21	159651
PILRB	Paired immunoglobin-like type 2 receptor beta	349256
FLVCR	Feline leukemia virus subgroup C cellular receptor	497689
VEZATIN	Transmembrane protein vezatin	24135
CYYR1	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	132275
SLC16A14	Cysteine and tyrosine-rich 1	132554
IGFBP7	Solute carrier family 16 (monocarboxylic acid transporters), member 14	435795
SEPP1	Selenoprotein P, plasma, 1	275775
CRHBP	Corticotropin releasing hormone binding protein	155617
FSTL1	Follistatin-like 1	433622
PON2	Paraoxonase 2	165598
DST	Dystonin	443518
MMP28	Matrix metalloproteinase 28	380710
LRP6	Low density lipoprotein receptor-related receptor activity	210343
