Affy ID	Gene Symbol	Gene name	Cellular location	Family	UniGene ID	RefSeq Transcript ID	MSC	MAPC- 1	MAPC-2	ESC
1429177_x_at	Sox17	SRY (sex determining region Y)-box 17	Nucleus	transcription regulator	Mm.279103	NM_011441	1.4	7280.0	7841.2	17.0
1417426_at	Prg1	proteoglycan 1, secretory granule	Extracellular Space	other	Mm.338790	NM_011157	6.3	6774.3	5900.5	13.6
1448649_at	Enpep	glutamyl aminopeptidase (aminopeptidase A)	Plasma Membrane	peptidase	Mm.1193	NM_007934	1.2	3427.1	1557.1	5.5
1425900_at	Hkdc1	hexokinase domain containing 1	Unknown	kinase	Mm.213213	NM_145419	5.4	1895.9	1843.6	4.6
1450344_a_at	Ptger3	prostaglandin E receptor 3 (subtype EP3)	Plasma Membrane	G-protein coupled receptor	Mm.30424	NM_011196	5.4	1887.7	1962.9	11.3
1418153_at	Lama1	laminin, alpha 1	Extracellular Space	other	Mm.303386	NM_008480	1.1	9423.3	8599.6	82.9
1419614_at	Pla2g12b	phospholipase A2, group XIIB	Extracellular Space	enzyme	Mm.30268	NM_023530	14.9	2025.4	2275.2	13.1
1430352_at	8430417a20rik	RIKEN cDNA 8430417A20 gene			Mm.257557	NM_175209	19.1	7249.3	6315.4	88.1
1417828_at	Aqp8	aquaporin 8	Plasma Membrane	transporter	Mm.273175	NM_007474	12.1	2069.3	499.7	8.2
1419537_at	Tfec	transcription factor EC	Nucleus	transcription regulator	Mm.36217	NM_031198	0.6	477.7	640.4	1.3
1421113_at	Pga5	pepsinogen 5, group I (pepsinogen A)			Mm.34037	NM_021453	19.8	2315.7	3316.0	40.1
1449347_a_at	Xlr4a	X-linked lymphocyte-regulated 4A			Mm.104764	NM_021365 /// XM_486700 /// XM_622956	0.9	2064.2	4133.8	49.1
1427961_s_at	Ugt2b7	UDP glucuronosyltransferase 2 family, polypeptide B7	Cytoplasm	enzyme	Mm.281844	NM_153598	8.2	1187.0	702.8	9.6
1449568_at	Loc152831	klotho beta			Mm.45274	NM_031180	2.4	813.8	1346.4	12.8
1424807_at	Lama4	laminin, alpha 4	Extracellular Space	enzyme	Mm.258065	NM_010681	3.5	1148.2	877.8	12.1
1453782_at	3021401c12rik	RIKEN cDNA 3021401C12 gene			---	---	2.1	523.1	556.1	3.0
1449330_at	Pdzk2	PDZ domain containing 2	Plasma Membrane	transporter	Mm.29872	NM_133226	4.1	853.8	478.0	5.5
1443163_at	Slc39a2	solute carrier family 39 (zinc transporter), member 2			Mm.281343	XM_139051 /// XM_359330	4.1	1036.0	675.0	9.5
1435189_at	Frmpd1	FERM and PDZ domain containing 1			Mm.24783	XM_204152	1.1	531.4	432.9	2.0
1422833_at	Foxa2	forkhead box A2	Nucleus	transcription regulator	Mm.938	NM_010446	8.5	988.4	1090.0	14.5
1420448_at	4930539i12rik	reproductive homeobox on X chromosome, 2			Mm.350894	NM_029203	2.2	855.1	2990.8	34.9
1452035_at	Col4a1	collagen, type IV, alpha 1	Extracellular Space	other	Mm.738	NM_009931	202.5	12556.7	10328.8	247.2
1424652_at	Flj13391	hypothetical protein FLJ13391			Mm.205854	NM_145570	3.5	1148.1	986.7	17.0
1425464_at	Gata6	GATA binding protein 6	Nucleus	transcription regulator	Mm.329287	NM_010258	72.1	3633.1	2797.8	13.8
1423450_a_at	Hs3st1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	Cytoplasm	enzyme	Mm.12559	NM_010474	60.7	2579.2	2614.5	22.2
1424939_at	Asz1	ankyrin repeat, SAM and basic leucine zipper domain containing 1			Mm.73091	NM_023729	4.4	1437.3	429.2	17.4
1453486_a_at	Scube2	signal peptide, CUB domain, EGF-like 2	Unknown	other	Mm.40447	NM_020052	8.4	769.9	575.3	10.4
1455080_at	Ppp1r16b	protein phosphatase 1, regulatory (inhibitor) subunit 16B			Mm.150540	NM_153089	2.5	839.9	892.0	16.0
1437785_at	Adamts9	ADAM metallopeptidase with thrombospondin type 1 motif, 9			Mm.158235	XM_620350	63.2	2762.4	2169.2	53.5
1430637_at	2210016h18rik	RIKEN cDNA 2210016H18 gene			---	---	2.7	416.0	266.8	0.8
1418863_at	Gata4	GATA binding protein 4	Nucleus	transcription regulator	Mm.247669	NM_008092	15.6	817.6	655.3	11.7
1439491_at	Loc126755	leucine rich repeat containing 38			Mm.94020	XM_144076	2.3	415.2	209.6	2.1
1419430_at	Cyp26a1	cytochrome P450, family 26, subfamily A, polypeptide 1			Mm.42230	NM_007811	10.7	2443.2	1652.2	63.8
1424051_at	Col4a2	collagen, type IV, alpha 2	Extracellular Space	other	Mm.181021	NM_009932	149.8	4931.7	3737.8	62.1
1417092_at	Pthr1	parathyroid hormone receptor 1	Plasma Membrane		Mm.3542	NM_011199	111.6	3968.3	2414.7	38.0
1416832_at	Slc39a8	solute carrier family 39 (zinc transporter), member 8			Mm.30239	NM_026228	79.3	2245.2	2343.8	53.4
1428573_at	Chn2	chimerin (chimaerin) 2			Mm.321147	NM_023543	2.7	689.8	547.6	15.6
1454713_s_at	Hdc	histidine decarboxylase	Cytoplasm	enzyme	Mm.18603	NM_008230	1.3	437.5	632.2	12.4
1423885_at	Lamc1	laminin, gamma 1 (formerly LAMB2)	Extracellular Space	other	Mm.1249	NM_010683	158.6	5965.3	4789.1	199.6
1456020_at	Sh3tc2	SH3 domain and tetratricopeptide repeats 2			Mm.262320	NM_172628	2.1	328.9	308.6	4.6
1429310_at	Flrt3	fibronectin leucine rich transmembrane protein 3			Mm.234783	NM_178382	77.4	1917.2	2294.5	41.8
1441075_at	Nostrin	nitric oxide synthase trafficker	Cytoplasm	other	Mm.90047	NM_181547	4.0	379.0	211.5	1.8
1438989_s_at	B130021b11rik	RIKEN cDNA B130021B11 gene			---	---	2.3	339.2	2028.2	41.1
1438877_at	Trpm6	transient receptor potential cation channel, subfamily M, member 6			Mm.215171	NM_153417	18.0	707.7	759.8	23.0
1440452_at	Drp2	dystrophin related protein 2	Plasma Membrane	other	Mm.121662	NM_010078	59.1	2110.1	1020.3	28.5
1415938_at	Spink1	serine peptidase inhibitor, Kazal type 1	Extracellular Space	other	Mm.272	NM_009258	3.7	1513.7	2818.5	86.8
1443502_at	Birc7	baculoviral IAP repeat-containing 7 (livin)	Cytoplasm	other	Mm.187879	XM_283820	3.0	327.6	286.4	5.5
1452270_s_at	Cubn	cubilin (intrinsic factor-cobalamin receptor)	Plasma Membrane	transmembrane receptor	Mm.313915	XM_130038	62.5	1263.9	1903.6	11.8
1424927_at	Glipr1	GLI pathogenesis-related 1 (glioma)	Extracellular Space	other	Mm.173790	NM_028608	193.3	3953.1	4931.2	22.2
1418374_at	Fxyd3	FXYD domain containing ion transport regulator 3			Mm.263847	NM_008557	13.6	508.1	441.1	12.7
1433110_at	5830474e16rik	RIKEN cDNA 5830474E16 gene			---	---	9.5	763.8	609.0	23.2
1446469_at	A030008j09	hypothetical protein A030008J09			Mm.227476	NM_177808	4.8	290.5	270.9	2.3
1435321_at	Kiaa1102	hypothetical protein			Mm.261329	NM_001001980	4.6	1114.7	685.3	34.1
1422011_s_at	Xlr	X-linked lymphocyte-regulated complex			Mm.335676	NM_011725 /// NM_027510	0.9	235.5	164.2	1.4
1416564_at	Sox7	SRY (sex determining region Y)-box 7	Nucleus	transcription regulator	Mm.42162	NM_011446	3.1	892.2	567.8	26.3
1450441_at	Loc123872	leucine rich repeat containing 50			Mm.358716	NM_026648	5.4	695.3	425.4	18.7
