Affy probeID	Gene name	GenBank accession number	t-statistic	Raw P-value	Results of MCCV number of selections (rank)
209771_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	AA761181	-7.078	0.001	1000 (1)
205170_at	signal transducer and activator of transcription 2, 113 kDa	NM_005419	-5.9022	0.001	926 (3)
215833_s_at	SPPL2b	AC_004410	-5.3517	0.001	661 (8)
216379_x_at	KIAA1919	AK000168	-5.3234	0.001	560 (14)
210622_x_at	cyclin-dependent kinase (CDC2-like) 10	AF153430	-5.1544	0.001	572 (13)
208651_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	M58664	-5.01	0.001	393 (25)
266_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	L33930	-4.9832	0.001	351 (30)
207980_s_at	Cbp/p300-interacting transactivator, with Glu/ Asp-rich carboxy-terminal domain, 2	NM_006079	-4.8488	0.001	414 (21)
202242_at	transmembrane 4 superfamily member 2	NM_004615	-4.7549	0.001	335 (35)
200661_at	protective protein for beta-galactosidase (galactosialidosis)	NM_000308	-4.7356	0.001	303 (45)
213827_at	sorting nexin 26	AL137579	-4.5749	0.001	303 (45)
208156_x_at	epiplakin 1	NM_031308	-4.5742	0.001	329 (37)
210079_x_at	potassium voltage-gated channel, shaker-related subfamily, beta member 1	U16953	-4.5151	0.001	241 (62)
211065_x_at	phosphofructokinase, liver	BC006422	-4.5081	0.001	327 (39)
209357_at	Cbp/p300-interacting transactivator, with Glu/ Asp-rich carboxy-terminal domain, 2	AF109161	-4.485	0.001	314 (41)
216103_at	thioesterase, adipose associated	AB014607	-4.4782	0.001	291 (49)
218862_at	ankyrin repeat and SOCS box-containing 13	NM_024701	-4.4725	0.001	323 (40)
208677_s_at	basigin (OK blood group)	AL550657	-4.4229	0.002	305 (44)
211799_x_at	major histocompatibility complex, class I, C	U62824	-4.4191	0.001	279 (55)
200646_s_at	nucleobindin 1	NM_006184	-4.3714	0.001	240 (63)
217310_s_at	forkhead box J3	AK027075	-4.3431	0.001	257 (59)
207722_s_at	BTB (POZ) domain containing 2	NM_017797	-4.3382	0.001	173 (91)
217800_s_at	Nedd4 family interacting protein 1	NM_030571	-4.334	0.001	207 (80)
217729_s_at	amino-terminal enhancer of split	NM_001130	-4.3109	0.001	291 (49)
