AceGene ID number	GenBank accession number	Cy3/Cy5 ratio	Cy5/Cy3 ratio	Gene product information
AGmmA110706	NM_025274	0.231	0.109	Developmental pluripotency associated 5 (Dppa5)
AGmmA071017	NM_025285	0.244	0.14	Superiorcervical ganglia neural specific 10 (Scg10)
AGmmA230322	NM_008828	0.263	0.155	Phosphoglycerate kinase 1 (Pgk1)
AGmmA110102	AK005168	0.288	0.271	Unknown protein
AGmmB221611	BC014284	0.289	0.17	Unknown protein
AGmmA161007	NM_008108	0.294	0.363	Growth differentiation factor 3 (Gdf3)
AGmmA200620	AF176530	0.307	0.258	F-box protein (Fbx15)
AGmmB010523	NM_023844	0.309	0.243	Junction adhesion molecule 2
AGmmB200205	BC005509	0.318	0.2	Lactate dehydrogenase 1, A chain
AGmmA110708	BC004045	0.321	0.377	Lactamase beta 2
AGmmA021413	NM_009556	0.329	0.358	Rex-1, Zinc finger protein 42
AGmmA250502	NM_009477	0.337	0.319	Uridine phosphorylase 1
AGmmB071003	NM_010890	0.341	0.214	Neural precursor cell expressed, developmentally downregulated gene 4A (Nedd4)
AGmmA041010	NM_025748	0.344	0.364	Unknown protein
AGmmA210323	NM_011623	0.348	0.378	Topoisomerase II alpha
AGmmA120907	NM_013525	0.358	0.213	Growth arrest specific 5 (Gas5)
AGmmA111211	AK011820	0.36	0.325	F-box only protein 31
AGmmA130621	NM_009094	0.39	0.226	Ribosomal protein S4
AGmmB160617	BC010564	0.394	0.369	Histone 2 H2aa1 protein
AGmmA111002	NM_008492	0.395	0.337	Lactate dehydrogenase 2, B chain
AGmmB231018	AK013109	0.395	0.312	Unknown protein
AGmmB061306	M24849	0.397	0.278	Vimentin
