Gene name	Gene ID	Symbol	GO no.	Molecular function GO no.	Padjusted	Fold increase/decrease
    BCL2-associated X protein	AI565203	BAX	GO:0006915	GO:0005515	0.023	2.65	Apoptosis
    CASP2 and RIPK1	AA285065	CRADD	GO:0042981	GO:0005515	0.004	1.89	Apoptosis
    TNF receptor–associated factor 1	R71691	TRAF1	GO:0006915	GO:0006461	0.017	1.72	Apoptosis
    TIA1 cytotoxic granule-associated RNA binding protein	R82978	TIA1	GO:0006915	GO:0000166	0.017	1.56	Apoptosis
    TNFRSF1A-associated via death domain	AA916906	TRADD	GO:0006915	GO:0005515	0.027	1.42	Apoptosis
    Protein phosphatase 1F	AA806330	PPM1F	GO:0006915	GO:0016787	0.014	1.35	Apoptosis
    Mdm4	AI310969	MDM4	GO:0006915	GO:0004842	0.013	–1.25	Apoptosis
    Programmed cell death	AA416757	PDCD5	GO:0006915	GO:0005554	0.001	–2.15	Apoptosis
    Baculoviral inhibitor of apoptosis protein repeat–containing 6	H10434	BIRC6	GO:0006916	GO:0004840	0.013	–1.26	Antiapoptosis
    BCL2-associated athanogene 4	H22928	BAG4	GO:0006916	GO:0005057	0.026	–1.27	Antiapoptosis
    Sema domain	AA436152	SEMA5A	GO:0007155	GO:0004872	0.05	1.81	Cell adhesion
    Fibulin 5	H17615	FBLN5	GO:0007160	GO:0004888	0.01	1.79	Cell adhesion
    Intercellular adhesion molecule 3	W95068	ICAM3	GO:0016337	GO:0005178	0.019	1.7	Cell adhesion
    Formin binding protein 4	N49573	FNBP4	GO:0007155	GO:0005198	0.027	1.29	Cell adhesion
    Sidekick homologue 1 (chicken)	N23940	SDK1	GO:0007155	GO:0005515	0.026	1.26	Cell adhesion
    Epithelial V-like antigen 1	AA668897	EVA1	GO:0007155	GO:0005515	0.011	1.25	Cell adhesion
    Neuropilin 1	AA098867	NRP1	GO:0007155	GO:0004872	0.017	1.25	Cell adhesion
    Discs, large homologue 5 (Drosophila)	AA478949	DLG5	GO:0016337	GO:0005515	0.013	–1.80	Cell adhesion
    Collagen, type XVI, 1	AA088202	COL16A1	GO:0007155	GO:0005198	0.01	–1.78	Cell adhesion
    Down syndrome cell adhesion molecule	N53145	DSCAM	GO:0007155	GO:0005515	0.012	–2.10	Cell adhesion
    Laminin, 1 (formerly LAMB2)	AA599005	LAMC1	GO:0007155	GO:0005515	0.001	–2.91	Cell adhesion
    Egf-like module containing	AI174266	EMR2	GO:0007165	GO:0004872	0.011	1.51	Cell signaling-signal transduction
    Low-density lipoprotein receptor–related protein 5	R83038	LRP5	GO:0016055	GO:0004872	0.014	1.4	Cell signaling-signal transduction
    G protein–coupled receptor kinase interactor 1	AI079118	GIT1	GO:0008277	GO:0005096	0.012	1.35	Cell signaling-signal transduction
    Insulin receptor substrate 1	AA456306	IRS1	GO:0007165	GO:0004871	0.022	1.29	Cell signaling-signal transduction
    Cornichon homologue 2 (Drosophila)	R42919	CNIH2	GO:0007242	GO:0005554	0.01	1.25	Cell signaling-signal transduction
