Gene Symbol	UniGeneb	GenBankc	Gene description	Clusterd	Pearson’se	Functionf
CLDN4	Hs.5372	AB000712	Claudin 4	2	?0·40	Cell communication, adhesion or motility
ITGAE	Hs.851	AA425588	Integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	8	?0·88	Cell communication, adhesion or motility
BAK1	Hs.93213	AI741331	BCL2-antagonist/killer 1	1	?0·41	Cell death
ME1	Hs.14732	X77244	Malic enzyme 1, NADP(+)-dependent, cytosolic	8	?0·62	Citrate metabolism
TPD52L1	Hs.16611	U44427	Tumor protein D52-like 1	7	?0·82	Expressed in breast cancer
G6PD	Hs.80206	M12996	Glucose-6-phosphate dehydrogenase	7	?0·78	Glycid metabolism
PCK2	Hs.75812	X92720	Phosphoenolpyruvate carboxykinase 2 (mitochondrial)	7	?0·46	Glycid metabolism
TKT	Hs.89643	AI378884	Transketolase (Wernicke-Korsakoff syndrome)	8	?0·50	Glycid metabolism
CTSD	Hs.343475	M63138	Cathepsin D (lysosomal aspartyl protease)	7	?0·51	Other enzymes
WARS	Hs.82030	X62570	Tryptophanyl-tRNA synthetase	7	?0·90	Protein biosynthesis
AKAP1	Hs.78921	AA868550	A kinase (PRKA) anchor protein 1	5	?0·72	Signal transduction
SQLE	Hs.71465	AF098865	Squalene epoxidase	7	?0·87	Sterol metabolism
HMGCR	Hs.11899	AA602498	3-Hydroxy-3-methylglutaryl-Coenzyme A reductase	8	?0·73	Sterol metabolism
FDFT1	Hs.48876	X69141	Farnesyl-diphosphate farnesyltransferase 1	8	?0·89	Sterol metabolism
RXRA	Hs.20084	AA865269	Retinoid X receptor, alpha	1	?0·47	Transcription
BLVRB	Hs.76289	AA280097	Biliverdin reductase B (flavin reductase (NADPH))	7	?0·57	Xenobiotic metabolism
PCM1	Hs.75737	H00568	Pericentriolar material 1	1	?0·53	Unknown
MGC11034	Hs.103378	AA775792	Hypothetical protein MGC11034	2	?0·57	Unnamed
