Probe Set ID	Status	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
203256_at	Basal	CDH3	cadherin 3, type 1, P-cadherin (placental)	NM_001793	16q22.1
224650_at	Basal	MAL2	mal, T-cell differentiation protein 2	NM_052886	8q23
225846_at	Basal	FLJ20171	hypothetical protein FLJ20171	NM_017697	8q22.1
201820_at	Basal	KRT5	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	NM_000424	12q12-q13
226482_s_at	Basal	F11R	F11 receptor	NM_016946 /// NM_144501 /// NM_144502 /// NM_144503 /// NM_144504	1q21.2-q21.3
202597_at	Basal	IRF6	interferon regulatory factor 6	NM_006147	1q32.3-q41
1552477_a_at	Basal	IRF6	interferon regulatory factor 6	NM_006147	1q32.3-q41
266_s_at	Basal	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	NM_013230	6q21
229616_s_at	Basal	LOC196996	hypothetical protein LOC196996	NM_001012642	15q22.33
228153_at	Basal	IBRDC2	IBR domain containing 2	NM_182757	6p22.3
203021_at	Basal	SLPI	secretory leukocyte protease inhibitor (antileukoproteinase)	NM_003064	20q12
228865_at	Basal	SARG	specifically androgen-regulated protein	NM_023938	1q32.1
202504_at	Basal	TRIM29	tripartite motif-containing 29	NM_012101 /// NM_058193	11q22-q23
201531_at	Basal	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	NM_003407	19q13.1
238028_at	Basal		Similar to hypothetical protein BC006605 (LOC389389), mRNA	XM_371820	6p21.1
223895_s_at	Basal	EPN3	epsin 3	NM_017957	17q21.33
218186_at	Basal	RAB25	RAB25, member RAS oncogene family	NM_020387	1q22
209800_at	Basal	KRT16	keratin 16 (focal non-epidermolytic palmoplantar keratoderma)	NM_005557	17q12-q21
218677_at	Basal	S100A14	S100 calcium binding protein A14	NM_020672	1q21.1
219121_s_at	Basal	FLJ20171	hypothetical protein FLJ20171	NM_017697	8q22.1
208650_s_at	Basal	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	NM_013230	6q21
203453_at	Basal	SCNN1A	sodium channel, nonvoltage-gated 1 alpha	NM_001038	12p13
238778_at	Basal	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	NM_173496	10p12.1
219476_at	Basal	SARG	specifically androgen-regulated protein	NM_023938	1q32.1
