Gene  Symbol	Gene/protein	Code	PCA	G-score	Function	Crom. location	GenBank accession	Reference	Status
HMG1	highmobilitygroupprotein	D08a	10.78	0.96	Chromatin protein, activated during cell proliferation	6p21	M23619	1,2	Up-regulated
DPLANDDPII	desmoplakinI&II	D10g	9.21	0.9	Part of desmosomes, attaches IF to plasma membrane	6p24	M77830	3	Up-regulated
NM23H2S	nucleosidediphosphate kinase B	A09b	8.38	0.9	Transcriptionfactor,bindstoc-myc promoter	16	L16785	4,5	Up-regulated
CCNB1	G2/mitotic-specificcyclinB1	A05i	8	0.96	Cellcyclecontrol,G2toMtransition	5q12	M25753	6,7	Up-regulated
HDGF	hepatoma-derivedgrowth factor	E04b	7.99	0.94	Mitogenicgrowthfactor	Xq25	D16431	8	Up-regulated
KRT8;CK8	cytokeratin8	F03g	7.64	0.92	Intermediatefilamentofcytoskeleton	12q13	M34225	9	Up-regulated
	histoneH4	D08b	7.35	0.87	Corehistoneprotein	6p21.3	X67081	10	Up-regulated
MMP12	matrixmetalloproteinase12	E11i	6.95	0.93	Matrix-degradingenzyme	11q22.2 - 22.3	L23808	11	Up-regulated
TOP2A	DNAtopoisomeraseIIalpha	C12e	6.83	0.95	DNAdouble-strandendonuclease and ligase	17q21 - 22	J04088	12	Up-regulated
	14-3-3proteinsigma;stratifin	B03m	6.77	0.95	Cellcyclecontrol,up-regulatedin lung tumours	1p36 - p35	AF029082	12,13	Up-regulated
PLK	polo-likekinase1	A02k	6.51	0.91	ActivatorofCCNB1	16p12.1 - 12.2	U01038	7,14	Up-regulated
IGFBP3	insulin-likegrowthfactor-bindingprotein3precursor	E02f	6.5	0.96	NegativemodulatorofIGFs and growth regulator of tumour cells	7p14 - p12	M31159	15,16	Up-regulated
MIF	macrophagemigration inhibitory factor	E07h	6.28	0.91	Positiveregulatoroftumourgrowth	22q11.2	M25639	17	Up-regulated
TNC	tenascin	F11a	5.84	0.88	Extracellular matrix hexameric glycoprotein	9q33	X78565	18	Up-regulated
RRM2	ribonucleotidereductase	F07e	5.83	0.92	Supplies deoxyribonucleotide precursors to intranuclear replication enzymes	2p25 - p24	X59618	19	Up-regulated
TIMP3	tissue inhibitor of  metalloproteinase3	A08g	712.54	70.83	Inhibitorofmetalloproteinases	12q22.1 - 13.2	Z30183	11	Down-regulated
COPEB	DNA-bindingproteinCPBP	D03b	711.58	70.95	RegulatorofTATA-boxlessgenes	10p15	U44975	20,21	Down-regulated
	gravin	F09g	79.7	70.91	Scaffold pre-assembly protein for protein kinase A and C	6q24	M96322	22,23	Down-regulated
TYROBP;DAP12	DNAX activation protein 12	D08k	79.68	70.9	Transmembrane adapter protein of CD3 zeta family	19q13.1	AF019562	24	Down-regulated
CAV1	caveolin1	B04k	78.24	71	Tumour suppressor gene, preassembly of signal complexes in caveolae	7q31.1	Z18951	25,26	Down-regulated
BMPR2	bone morphogenetic protein 4 type II receptor precursor	D11i	78.11	70.94	Serine/threonine kinase; universal regulator of development	2q33	Z48923	27,28	Down-regulated
AHR	arylhydrocarbonreceptor	C09m	77.97	70.89	Receptor for xenobiotics; regulator of bax	7p21-p15	L19872	29	Down-regulated
	chitinaseprecursor	D05n	77.71	70.9	Glykosylhydrolase, defence against some pathogens	1q31-32	U58514	30,31	Down-regulated
EGRA;TIEG	early growth response alpha	F06n	76.81	70.95	Zinc-fingertranscriptionfactor	8q22.2	S81439	27,28,30	Down-regulated
C-193	nuclearproteinC-193	D09b	76.3	70.93	Cytokineinducibleprotein, homologue of muscleankyrinrepeat protein	10q23	X83703	32	Down-regulated
CAV2	caveolin2	B03k	76.12	70.93	Scaffoldpre-assemblyofsignalcomplexes	7q31.1	U32114	25	Down-regulated
