Rank (Ql)	Chromosome	Probe set	Symbol	CKSIB Amplification Index r^	CKSIB r	PCLI r	Adjusted Survival P-value
1	9q31.3	201921_at	GNGIO	-0.2	-0.3		0.6
2	Ipl3	227278_at	NA			-0.12	0.9
3	Xp22.3	209740_s_at	PNPLA4				0.029
4	20qll.21	227547_at	NA	-0.29	-0.28	-0.15	0.63
5	10q25.1	225582_at	KIAA1754	-0.21	-0.32		0.003
6	Ipl3.2	200850_s_at	AHCYLl			-0.13	0.019
7	Ipl3.3	213628_at	MCLC	-0.3	-0.28	-0.15	0.44
Ip22	209717_at	EVI5	-0.33	-0.29	-0.16	0.87
Ipl3.3	222495_at	AD -020	-0.3	-0.24	-0.2	0.92
10	6p21.31	1557277_a_at	NA		-0.11		0.46
11	Ip22.1	1554736_at	PARGl		-0.2	-0.11	0.28
12	Ip22	218924_s_at	CTBS	-0.16	-0.11	-0.13	0.46
13	9pl3.2	226954_at	NA	-0.22	-0.4		0.09
14	Ip34	202838_at	FUCAl	-0.17	-0.23		0.066
15	13ql4	230192_at	RFP2	-0.28	-0.18		0.88
16	12ql3.11	48106_at	FLJ20489	-0.23	-0.23	-0.11	0.3
17	Ilql3.1	237964_at	NA	-0.16	-0.2		0.044
18	2p22-p21	202729_s_at	LTBPl	-0.24	-0.21		0.097
19	Ipl3.1	212435_at	NA	-0.21	-0.21	-0.11	0.034
