Accession No.	Gene Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
AB056100.1	mtap mRNA for methylthioadenosine phosphorylase	29.98055065	5152.475	171.8605859	4.31888	0.124071201
BC024597.1	Similar to chromosome 20 open reading frame 13	29.42801235	255.825	8.693247676	6.09358	0.124071201
AK016443.1	EST	28.5473822	420.9	14.74390881	4.8748	0.124071201
AK010239.1	frizzled homolog 7	20.67875509	1520.625	73.53561632	3.91447	0.124071201
BC003858.1	EST	17.51573409	4015	229.2224796	4.62676	0.124071201
NM_008592.1	forkhead box C1 (Foxc1)	17.22851908	1066.05	61.87705369	2.85998	0.124071201
BC025832.1	EST	17.12972309	286.575	16.72969251	3.28665	0.124071201
NM_011031.1	alpha II polypeptide (P4ha2)	15.66234976	2047.65	130.737088	2.93663	0.124071201
BC027209.1	EST	14.91959486	1959.025	131.3055092	3.144	0.124071201
AK019971.1	paired related homeobox 2	13.76491513	2374.275	172.487442	2.6624	0.124071201
BG075800	beta-galactoside alpha-2,6-sialyltransferase	13.33884438	307.95	23.08670761	2.61146	0.124071201
NM_013464.1	aryl-hydrocarbon receptor	13.17267687	4654.4	353.3374459	31.87496	0.124071201
NM_016768.1	pre B-cell leukemia transcription factor 3	12.8635432	744.95	57.91172684	3.2391	0.124071201
BI157086	EST	11.69437912	550.1	47.0396927	3.66586	0.124071201
D86949.1	plexin 2	11.69140076	1240.575	106.1100398	4.05862	0.124071201
AB075019.1	URB	10.95891683	4578.3	417.7693899	3.76396	0.124071201
BC024679.1	EST	10.80459534	964.75	89.29071098	3.52718	0.124071201
NM_018865.1	WNT1 inducible signaling pathway protein 1 (Wisp1)	10.48035808	2262.825	215.9110389	4.71701	0.124071201
M87276.1	thrombospondin 1	10.32315883	6987.4	676.8664626	5.3063	0.124071201
BG075139	EST	10.00303667	5808.9	580.7136566	3.6029	0.124071201
AF144628.1	SLIT2 (Slit2) mRNA	9.957909658	3906.725	392.3238043	3.85987	0.124071201
NM_009386.1	tight junction protein 1	9.85105509	2004.35	203.4655153	3.5677	0.124071201
AV162270	lymphocyte antigen 6 complex, locus A	9.811461614	1903.875	194.0460122	5.72719	0.124071201
BC027288.1	EST	9.761409355	1541.975	157.9664313	3.04934	0.124071201
NM_010119.1	EH-domain containing 1 (Ehd1)	9.507532163	481.875	50.68349933	2.50845	0.124071201
U41739.1	RBP associated molecule RAM14-1	9.375746847	3712.475	395.9657893	3.31979	0.124071201
BC005676.1	Similar to Cell surface glycoprotein CD44	9.128856373	3191.075	349.5591199	4.23155	0.124071201
NM_021367.1	thymic stromal lymphopoietin	9.114459855	219.325	24.06341171	5.27743	0.124071201
AI505784	transmembrane 4 superfamily member 10	8.996026036	432.45	48.07122593	3.79903	0.124071201
NM_011857.2	odd Ozten-m homolog 3 (Drosophila)	8.945795134	97	10.8430831	2.97959	0.124071201
AV370981	Nedd4 WW binding protein 4	8.88879523	1590.725	178.9584481	6.9903	0.124071201
NM_009390.1	tolloid-like (Tll), mRNA	8.879304329	413.75	46.59711895	6.4138	0.124071201
BQ175052	EST	8.826265664	1261.8	142.959667	4.39719	0.124071201
NM_010217.1	connective tissue growth factor (Ctgf)	8.618519313	8759.15	1016.317268	6.34526	0.124071201
BC025893.1	EST	8.540397334	657.65	77.00461399	5.41376	0.124071201
AI266824	syndecan 2	8.442937064	2130	252.2818758	3.66742	0.124071201
BB378796	EST	8.303212333	2077.675	250.2254449	3.1223	0.124071201
BB737680	sorbin and SH3 domain containing 1	8.128427536	574.4	70.6655743	7.29997	0.124071201
BI248354	EST	7.986933691	667.525	83.57713058	4.67529	0.124071201
M12233.1	skeletal muscle alpha-actin mRNA	7.978064997	315.275	39.51772768	8.22693	0.124071201
BC003858.1	EST	7.867842546	4740.425	602.506338	2.71074	0.124071201
BC022952.1	v-maf oncogene family, protein F (avian)	7.670122649	202.45	26.39462356	7.32656	0.124071201
BG073496	EST	7.63484425	529.2	69.31379117	3.29563	0.124071201
BC019379.1	G protein-coupled receptor kinase 5	7.597032506	518.2	68.21084411	2.53643	0.124071201
NM_027722.1	EST	7.513562103	834.85	111.1124109	2.74975	0.124071201
NM_019703.1	phosphofructokinase, platelet (Pfkp)	7.467852514	1046.525	140.1373418	3.14617	0.124071201
BC027159.1	EST	7.310496298	1752.35	239.7032881	4.03898	0.124071201
AF237627.1	smooth muscle leiomodin mRNA	7.292388497	333.925	45.79089555	6.29409	0.124071201
NM_019753.1	cadherin 17 (Cdh17)	7.248216174	406.575	56.09311177	22.25882	0.124071201
AK006387.1	malic enzyme, supernatant	7.244829508	1759.575	242.8732102	2.56011	0.124071201
AV026492	thrombospondin 1	7.231941034	2956.4	408.7975809	2.97974	0.124071201
BM121820	Rho-associated coiled-coil forming kinase 2	7.221945649	788.25	109.1464874	2.74112	0.124071201
NM_013642.1	protein tyrosine phosphatase, non-receptor type 16 (Ptpn16)	7.193473318	2953.675	410.6048454	6.08947	0.124071201
BB398993	Axin2	7.143164274	769	107.655371	7.72938	0.124071201
BI157485	proprotein convertase subtilisinkexin type 6	7.11859102	1136.75	159.6874995	4.48296	0.124071201
NM_009398.1	tumor necrosis factor induced protein 6 (Tnfip6)	7.05536936	750.225	106.3339085	5.37513	0.124071201
NM_007657.1	CD9 antigen (Cd9)	7.032241447	2689.05	382.3887476	2.66222	0.124071201
L07264.1	heparin-binding EGF-like growth factor precursor mRNA	7.021001009	369.325	52.60289801	3.03709	0.124071201
AK004614.1	EST	6.995445886	168.975	24.15500066	3.20163	0.124071201
BG074158	EST	6.985117418	2187.075	313.1049729	6.89906	0.124071201
NM_010516.1	cysteine rich protein 61	6.888679114	3957.325	574.4678964	2.61844	0.124071201
NM_026509.1	EST	6.876405715	359.325	52.25477014	5.58323	0.124071201
BC010816.1	EST	6.87385614	530.375	77.15829211	3.52981	0.124071201
NM_130878.1	photoreceptor cadherin (Prcad-pending)	6.87202543	133.6	19.44113877	2.92577	0.124071201
NM_021457.1	frizzled homolog 1	6.763147377	959.375	141.8533334	2.6531	0.124071201
NM_033037.1	cysteine dioxygenase 1, cytosolic (Cdo1)	6.611123405	899.825	136.1077301	2.81261	0.124071201
BF227641	NFAT cytoplasmic, calcineurin-dependent 4	6.593015858	227.7	34.53654669	3.26906	0.124071201
AF205078.1	actin-associated protein palladin mRNA	6.569343305	1810.525	275.6021288	4.64988	0.124071201
BC020532.1	cAMP-regulated guanine nucleotide exchange factor I (cAMP-GEFI)	6.490332267	82.25	12.6726948	2.956	0.124071201
AK007410.1	growth arrest and DNA-damage-inducible 45 gamma	6.466004557	1785.9	276.1983825	3.35599	0.124071201
BF124540	cysteine rich protein	6.419508152	3790.9	590.5281075	2.55863	0.124071201
BI111620	tissue inhibitor of metalloproteinase 3	6.388745311	8226.275	1287.619806	3.20939	0.124071201
AK018666.1	cysteine-rich motor neuron 1	6.376657929	167.65	26.29120173	3.04451	0.124071201
BC017516.1	Similar to huntingtin interacting protein 1	6.267574622	266.1	42.45661457	2.53637	0.124071201
D43775.1	endothelin-1	6.255308993	642.75	102.7527178	7.45493	0.124071201
BC011135.1	EST	6.104350169	824.925	135.1372345	3.19995	0.124071201
NM_019808.1	enigma homolog (R. norvegicus)	6.101713314	1360.925	223.0398136	3.52163	0.124071201
NM_009676.1	aldehyde oxidase 1 (Aox1)	6.091427772	252.625	41.47221464	3.00258	0.124071201
AK007972.1	transient receptor protein 2	6.057404894	2946.325	486.4005381	3.8688	0.124071201
NM_008393.1	Iroquois related homeobox 3 (Drosophila) (Irx3)	6.053431794	410.45	67.80451386	3.12476	0.124071201
NM_133662.1	immediate early response 3	5.927252044	1366.875	230.6085501	3.44041	0.124071201
BB371842	platelet derived growth factor, alpha	5.846084272	432.125	73.91699809	2.55988	0.124071201
NM_022886.1	sciellin (Scel), mRNA	5.844024517	132.125	22.6085636	4.55892	0.124071201
BB039269	gap junction membrane channel protein alpha 1	5.727356553	757.925	132.3341742	5.1041	0.124071201
NM_013847.1	glycine C-acetyltransferase	5.720449205	298.125	52.11566248	5.30661	0.124071201
BC019952.1	naked cuticle 1 homolog (Drosophila)	5.715839948	959.9	167.9368227	28.44532	0.124071201
BB787243	insulin-like growth factor binding protein 4	5.708809886	1009.875	176.8976407	7.13812	0.124071201
NM_021495.1	nectin-3 alpha	5.646969986	852.375	150.9437809	2.58103	0.124071201
BG070704	poliovirus receptor-related 3	5.578155055	877.6	157.3280038	2.69078	0.124071201
BB114067	transgelin	5.574479749	2506.175	449.5800708	6.6366	0.124071201
NM_008380.1	inhibin beta-A (Inhba)	5.542890597	1154.975	208.3705207	8.32736	0.124071201
NM_013928.1	schwannomin interacting protein 1 (Schip1)	5.530103509	342.475	61.92922058	2.55071	0.124071201
BG064688	EST	5.511809431	2386.75	433.024768	4.81529	0.124071201
NM_016873.1	WNT1 inducible signaling pathway protein 2 (Wisp2)	5.39442247	4066.9	753.9083234	2.61223	0.124071201
NM_053072.1	ethanol decreased 4 (Etohd4)	5.361784754	192.325	35.86958612	3.2119	0.124071201
BC027199.1	EST	5.345140859	637.725	119.3092973	2.61235	0.124071201
BB667844	EST	5.341768248	127.425	23.85446056	2.83082	0.124071201
AV291712	EST	5.323134865	243.825	45.80477598	4.13803	0.124071201
AI303435	solute carrier family 1 member 4	5.291684971	439.525	83.05955522	2.66219	0.124071201
BI648645	EST	5.286304107	104.2	19.71131397	3.41483	0.124071201
NM_008764.1	TNF receptor superfamily, member 11b (osteoprotegerin)	5.227696633	392.1	75.0043523	2.71129	0.124071201
BC004827.1	Similar to phosphoserine aminotransferase	5.216074489	3719.875	713.1560349	2.70258	0.124071201
BC023110.1	similar to proline-rich protein 48	5.194350917	195.725	37.68035759	3.06515	0.124071201
NM_009468.1	dihydropyrimidinase-like 3 (Dpysl3)	5.17998465	604.45	116.689535	5.41769	0.124071201
BC002008.1	fatty acid binding protein 5, epidermal	5.17834681	3484.525	672.90298	4.37541	0.124071201
BM118009	tubulin, alpha 4	5.075713707	599.3	118.0720652	3.03359	0.124071201
BB226235	cAMP-regulated guanine nucleotide exchange factor I (cAMP-GEFI)	5.065084613	92.175	18.19811652	2.66908	0.124071201
AV173139	EST	4.972785187	1002.225	201.5419855	7.79244	0.124071201
NM_009610.1	actin, gamma 2, smooth muscle, enteric (Actg2),	4.923720963	1421.025	288.6079473	4.37395	0.124071201
NM_007739.1	procollagen, type VIII, alpha 1 (Col8a1)	4.875406561	96.7	19.83424332	3.74716	0.124071201
NM_019971.1	platelet-derived growth factor, C polypeptide (Pdgfc)	4.854650414	689.275	141.9824171	3.33455	0.124071201
