Probe Set ID	Status	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
225846_at	Luminal	FLJ20171	hypothetical protein FLJ20171	NM_017697	8q22.1
218186_at	Luminal	RAB25	RAB25, member RAS oncogene family	NM_020387	1q22
224650_at	Luminal	MAL2	mal, T-cell differentiation protein 2	NM_052886	8q23
236279_at	Luminal	FAM31C	family with sequence similarity 31, member C	NM_139161 /// NM_174881 /// NM_174882	19p13.3
226482_s_at	Luminal	F11R	F11 receptor	NM_016946 /// NM_144501 /// NM_144502 /// NM_144503 /// NM_144504	1q21.2-q21.3
219388_at	Luminal	TFCP2L3	transcription factor CP2-like 3	NM_024915	8q22.3
223895_s_at	Luminal	EPN3	epsin 3	NM_017957	17q21.33
235515_at	Luminal	FLJ36445	hypothetical protein FLJ36445	NM_153233	19q13.13
219121_s_at	Luminal	FLJ20171	hypothetical protein FLJ20171	NM_017697	8q22.1
218792_s_at	Luminal	BSPRY	B-box and SPRY domain containing	NM_017688	9q33.1
213412_at	Luminal	TJP3	tight junction protein 3 (zona occludens 3)	NM_014428	19p13.3
202454_s_at	Luminal	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	NM_001005915 /// NM_001982	12q13
214404_x_at	Luminal	SPDEF	SAM pointed domain containing ets transcription factor	NM_012391	6p21.3
219127_at	Luminal	MGC11242	hypothetical protein MGC11242	NM_024320	17q21.32
234970_at	Luminal	MTAC2D1	membrane targeting (tandem) C2 domain containing 1	NM_152332	14q32.12
202597_at	Luminal	IRF6	interferon regulatory factor 6	NM_006147	1q32.3-q41
202525_at	Luminal	PRSS8	protease, serine, 8 (prostasin)	NM_002773	16p11.2
201839_s_at	Luminal	TACSTD1	tumor-associated calcium signal transducer 1	NM_002354	2p21
201650_at	Luminal	KRT19	keratin 19	NM_002276	17q21.2
202489_s_at	Luminal	FXYD3	FXYD domain containing ion transport regulator 3	NM_005971 /// NM_021910	19q13.13
266_s_at	Luminal	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	NM_013230	6q21
207655_s_at	Luminal	BLNK	B-cell linker	NM_013314	10q23.2-q23.33
227134_at	Luminal	SYTL1	synaptotagmin-like 1	NM_032872	1p35.3
204179_at	Luminal	MB	myoglobin	NM_005368 /// NM_203377 /// NM_203378	22q13.1
1552797_s_at	Luminal	PROM2	prominin 2	NM_144707	2q11.2
217979_at	Luminal	TM4SF13	transmembrane 4 superfamily member 13	NM_014399	7p21.2
206043_s_at	Luminal	KIAA0703	KIAA0703 gene product	NM_014861	16q24.1
202005_at	Luminal	ST14	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	NM_021978	11q24-q25
1552477_a_at	Luminal	IRF6	interferon regulatory factor 6	NM_006147	1q32.3-q41
220192_x_at	Luminal	SPDEF	SAM pointed domain containing ets transcription factor	NM_012391	6p21.3
222746_s_at	Luminal	BSPRY	B-box and SPRY domain containing	NM_017688	9q33.1
229372_at	Luminal	FLJ42654	FLJ42654 protein	NM_198447	1q32.1
1568617_a_at	Luminal	KIAA1543	KIAA1543	XM_048362	19p13.3-p13.2
226213_at	Luminal	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	NM_001005915 /// NM_001982	12q13
229691_at	Luminal		CDNA FLJ43013 fis, clone BRTHA2016215	XM_372535	14q32.33
205980_s_at	Luminal	ARHGAP8	Rho GTPase activating protein 8	NM_181335	22q13.31
204942_s_at	Luminal	ALDH3B2	aldehyde dehydrogenase 3 family, member B2	NM_000695	11q13
216905_s_at	Luminal	ST14	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	NM_021978	11q24-q25
219734_at	Luminal	FLJ20174	hypothetical protein FLJ20174	NM_017699	3q13.31
225981_at	Luminal	C17orf28	chromosome 17 open reading frame 28	NM_030630	17q25.2
211778_s_at	Luminal	ZNF339	zinc finger protein 339	NM_021220	20pter-q11.23
235247_at	Luminal		Transcribed sequences	NM_024915
202826_at	Luminal	SPINT1	serine protease inhibitor, Kunitz type 1	NM_003710 /// NM_181642	15q14
235144_at	Luminal	FLJ31614	hypothetical protein FLJ31614	NM_152573	9q21.33
243729_at	Luminal		CDNA FLJ37931 fis, clone CTONG2004397	---
1553132_a_at	Luminal	MTAC2D1	membrane targeting (tandem) C2 domain containing 1	NM_152332	14q32.12
228320_x_at	Luminal	LOC92558	hypothetical protein LOC92558	NM_207311	12q24.31
238805_at	Luminal	MGC14839	similar to RIKEN cDNA 2310030G06 gene	NM_080659	11q23.2
222830_at	Luminal	TFCP2L2	transcription factor CP2-like 2	NM_014552 /// NM_198182	2p25.1
210108_at	Luminal	CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	NM_000720	3p14.3
232653_at	Luminal		Transcribed sequences	---
219518_s_at	Luminal	ELL3	elongation factor RNA polymerase II-like 3	NM_025165	15q15.1
205759_s_at	Luminal	SULT2B1	sulfotransferase family, cytosolic, 2B, member 1	NM_004605 /// NM_177973	19q13.3
226455_at	Luminal	CREB3L4	cAMP responsive element binding protein 3-like 4	NM_130898	1q22
37117_at	Luminal	ARHGAP8	Rho GTPase activating protein 8	NM_181335	22q13.31
236496_at	Luminal	C14orf66	chromosome 14 open reading frame 66	---	14q32.32
225822_at	Luminal	MGC17299	hypothetical protein MGC17299	NM_144626	1p34.1
203143_s_at	Luminal	KIAA0040	KIAA0040 gene product	NM_014656	1q24-25
216379_x_at	Luminal	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	NM_013230	6q21
205709_s_at	Luminal	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	NM_001263	4q21.23
205150_s_at	Luminal	KIAA0644	KIAA0644 gene product	XM_376588 /// XM_379800	7p15.1
223611_s_at	Luminal	LNX	ligand of numb-protein X	NM_032622	4q12
238028_at	Luminal		Similar to hypothetical protein BC006605 (LOC389389), mRNA	XM_371820	6p21.1
204567_s_at	Luminal	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	NM_004915 /// NM_016818 /// NM_207174 /// NM_207627 /// NM_207628 /// NM_207629 /// NM_207630	21q22.3
223103_at	Luminal	STARD10	START domain containing 10	NM_006645	11q13
217200_x_at	Luminal	CYB561	cytochrome b-561	---	17q11-qter
209603_at	Luminal	GATA3	GATA binding protein 3	NM_001002295 /// NM_002051	10p15
208650_s_at	Luminal	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	NM_013230	6q21
