Probe Set ID	Cluster Figure 1	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
224733_at	Stromal	CKLFSF3	chemokine-like factor super family 3	NM_144601 /// NM_181553 /// NM_181554 /// NM_181555	16q22.1
1555705_a_at	Stromal	CKLFSF3	chemokine-like factor super family 3	NM_144601 /// NM_181553 /// NM_181554 /// NM_181555	16q22.1
1558688_at	Stromal	LOC441461	hypothetical gene supported by BC030123	XM_499157	9q31.1
217430_x_at	Stromal
214701_s_at	Stromal	FN1	fibronectin 1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478 /// NM_212482	2q34
204135_at	Stromal	DOC1	downregulated in ovarian cancer 1	NM_014890 /// NM_182909	3q12.1
1554966_a_at	Stromal	DOC1	downregulated in ovarian cancer 1	NM_014890 /// NM_182909	3q12.1
218469_at	Stromal	GREM1	gremlin 1 homolog, cysteine knot superfamily (Xenopus laevis)	NM_013372	15q13-q15
218468_s_at	Stromal	GREM1	gremlin 1 homolog, cysteine knot superfamily (Xenopus laevis)	NM_013372	15q13-q15
215446_s_at	Stromal	LOX	lysyl oxidase	NM_002317	5q23.2
222899_at	Stromal	ITGA11	integrin, alpha 11	NM_001004439 /// NM_012211	15q23
225681_at	Stromal	CTHRC1	collagen triple helix repeat containing 1	NM_138455	8q22.3
213905_x_at	Stromal	BGN /// SDCCAG33	biglycan /// serologically defined colon cancer antigen 33	NM_001711 /// NM_005786	Xq28 /// 18q22.3
201261_x_at	Stromal	BGN	biglycan	NM_001711	Xq28
229479_at	Stromal		Transcribed locus
1556499_s_at	Stromal	COL1A1	collagen, type I, alpha 1	NM_000088	17q21.3-q22.1
229218_at	Stromal	COL1A2	Collagen, type I, alpha 2	NM_000089	7q22.1
228481_at	Stromal	POSTN	Periostin, osteoblast specific factor	NM_006475	13q13.3
232458_at	Stromal	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	NM_000090	2q31
226997_at	Stromal		CDNA FLJ10196 fis, clone HEMBA1004776
213909_at	Stromal	LRRC15	leucine rich repeat containing 15	NM_130830	3q29
203083_at	Stromal	THBS2	thrombospondin 2	NM_003247	6q27
207173_x_at	Stromal	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	NM_001797 /// NM_033664	16q22.1
207172_s_at	Stromal	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	NM_001797 /// NM_033664	16q22.1
221730_at	Stromal	COL5A2	collagen, type V, alpha 2	NM_000393	2q14-q32
202403_s_at	Stromal	COL1A2	collagen, type I, alpha 2	NM_000089	7q22.1
202404_s_at	Stromal	COL1A2	collagen, type I, alpha 2	NM_000089	7q22.1
