Accession no.	Symbol	Gene	PAM Score Benign	PAM Score Borderline	PAM Score Malignant
H08561	IGFBP5	Insulin-like growth factor binding protein 5	0.276	0	-0.0547
AA977242	CIRBP	Cold-inducible RNA-binding protein	0.2298	0	0
AA459941	PEG3	Paternally expressed 3	0.2251	0	0
AA001614	INSR	Insulin receptor	0.1515	0	0
AA424584	LTBP2	Latent transforming growth factor beta binding protein 2	0.127	0	0
AA448277	FOXO1A	Forkhead box O1A (rhabdomyosarcoma)	0.1233	0	0
AA481438	SERPING1	Serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1	0.1197	0	0
AA700832	RBP1	Retinol binding protein 1, cellular	0.1105	0	0
AA481026	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	0.1064	0	0
AA156802	LAMB2	Laminin, beta 2 (laminin S)	0.1022	0	0
AA056232	GSTM5	Glutathione S-transferase M5	0.0977	0	0
AA679454	STAR	Steroidogenic acute regulatory protein	0.0815	0	0
AA682423	MAOB	Monoamine oxidase B	0.0663	0	-0.0675
AA398366	SH3GL1	SH3-domain GRB2-like 1	0.0514	0	0
N78902	LEPR	Leptin receptor	0.0481	0	0
AA405767	PAX8	Paired box gene 8	0	0	0.0471
AA478553	DCT	Dopachrome tautomerase	0.0447	0	0
AA045735	¾	Transcribed sequence with moderate similarity to protein sp:P39195	0.0345	0	0
AA460833	PGCP	Plasma glutamate carboxypeptidase	0.0147	0	0
AA490471	SPARCL1	SPARC-like 1 (mast9, hevin, SC-1)	0	0	-0.0093
W15267	LRP6	Low density lipoprotein receptor-related protein 6	0	0	-0.008
AA464856	ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	0.0036	0	0
AI934925	SLC23A1	Solute carrier family 23 (nucleobase transporters), member 1	0	0	0.0013
R38201	OPCML	Opioid-binding protein/cell adhesion molecule-like	0	0	0.0012
H99676	COL6A1	Collagen, type VI, alpha 1	0.0005	0	0
